#/home/enes/bim/BIM.py trees/r8040017.trees,trees/r8040018.trees,trees/r8040019.trees,trees/r8040020.trees,trees/r8040021.trees,trees/r8040022.trees,trees/r8040023.trees,trees/r8040024.trees,trees/r8040025.trees,trees/r8040026.trees,trees/r8040027.trees,trees/r8040028.trees,trees/r8040029.trees,trees/r8040030.trees,trees/r8040031.trees,trees/r8040032.trees,trees/r8040033.trees 250 --stats=all --eta=etas/BC.json --out=outs/238408894.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FulD,FayH,TajD,bsfs,ZngE,Colless,btree,path
0,10001.0,250,89,0.02288634212546305,0.2894744901912418,0.050805985022406755,0.6171440775910106,0.4083758579679423,0.2565168205864251,0.029287570244459285,0.4983881329585264,r8040017.trees
0,10001.0,250,103,-0.2712709286969645,-0.5143206798988206,0.05310047054714188,1.183436972579242,0.597794502753857,0.748810291309885,0.0311134388063663,0.23388739506493295,r8040018.trees
0,10001.0,250,94,-0.26007577956963607,-0.6634802630363545,0.07807831458890097,1.4858898498527828,1.7764110137434863,0.8733334585772076,0.029021171534774334,0.592876118392466,r8040019.trees
0,10001.0,250,104,-0.5751631147590041,-1.4222003839254311,0.08254269417951614,2.117123688217656,1.3130366129186408,1.4124982183486352,0.03601084880625519,0.15368218116840482,r8040020.trees
0,10001.0,250,88,-1.072540869913903,-2.161111768488036,0.014933310925383053,2.1384035209464436,0.6656454163349405,1.8189524215844532,0.024942511983417535,1.0531521969801512,r8040021.trees
0,10001.0,250,99,-0.07942502936464481,-0.7832640185924586,0.1388678055583961,1.9535745476667228,2.3678857577626884,0.9373903799159867,0.03516647234097681,0.12912057581111924,r8040022.trees
0,10001.0,250,102,0.19691886277187307,-1.0297858013493537,0.14314432838199867,1.5125414803659274,1.7418390235584695,0.5174527743671338,0.03173775044075319,0.3740575637281318,r8040023.trees
0,10001.0,250,122,0.1847222643101918,0.1519197694268331,0.08115337133833522,0.7349528175518539,1.176708287627042,0.18084909560905446,0.03893562866265822,-0.08706226432753227,r8040024.trees
0,10001.0,250,93,-0.8174613908317735,-1.228068343892946,0.08778274062221307,2.6209028721443577,2.121982897282778,1.8299029250145307,0.03189316405406573,0.2204611669685673,r8040025.trees
0,10001.0,250,96,0.9288082829969229,0.2411789865920161,0.1555626534005151,0.3438772045904724,1.2488531310249975,-0.5969859993946761,0.028551224868753056,0.4855589139887112,r8040026.trees
0,10001.0,250,75,-1.1131703701627533,-1.277026424078354,0.04681384894642569,2.6283939954695277,2.023937346013093,2.0633934445568176,0.032378018645669894,0.09584103609421234,r8040027.trees
0,10001.0,250,102,-1.2362381133829128,0.23056041017699977,-0.04745417526942026,1.6143467952329498,0.585392926799098,1.7213965758342549,0.03587759932493706,0.021220474738135854,r8040028.trees
0,10001.0,250,67,0.3002971228322431,-0.5318002723678149,0.1289824715842178,1.0947771650344553,1.3630692326866534,0.2410046411020144,0.026161995652862348,0.8909963302683281,r8040029.trees
0,10001.0,250,84,0.38445932155238993,-1.0333549355823886,0.1312644425777958,0.998294142068893,3.717755105168771,0.13356700642666858,0.03353043510447319,0.11699568889241539,r8040030.trees
0,10001.0,250,73,-0.43646673064600794,-1.2288906286319266,0.06669261209743686,1.6502509085576218,1.146064443786241,1.0829488907155949,0.030668314989539484,0.4192702608407054,r8040031.trees
0,10001.0,250,90,0.1730985035375087,0.050229453521819095,0.12069979757058565,1.251926277875603,2.0582310846216325,0.4182151314080958,0.030007587955508674,0.4957633931604922,r8040032.trees
0,10001.0,250,94,-1.1768403495056055,-2.026210336442906,0.06883716141291994,3.0254449004493584,3.850809757499101,2.3012343773412782,0.025883932753345888,0.8690256026881685,r8040033.trees
