#/home/enes/bim/BIM.py trees/ir3120010.trees,trees/ir3120011.trees,trees/ir3120012.trees,trees/ir3120013.trees,trees/ir3120014.trees,trees/ir3120015.trees,trees/ir3120016.trees,trees/ir3120017.trees,trees/ir3120018.trees,trees/ir3120019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/221243489.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,FayH,FulD,TajD,FerL,Colless,btree,path
0,100001.0,50,391,-0.34232874836084554,0.4296496665134645,-0.06872115503968733,-0.5643257850254823,-0.07556272596414293,-0.5347022345273724,0.1439771030363365,-0.3677769083156341,ir3120010.trees
0,100001.0,50,449,-0.8472857952841395,-0.2603462720251153,-0.01904235569347686,1.1617568198298585,-0.3882801168262674,0.0680555179078174,0.1532551617138083,-0.8451685662958967,ir3120011.trees
0,100001.0,50,339,-0.6189976150411066,1.218332610827427,-0.16864890254927623,-0.8876812380058327,-0.0231364182461649,-1.404153440324104,0.14919926303854872,-0.5347477444771762,ir3120012.trees
0,100001.0,50,463,-1.4378776367253874,0.3049928973043303,-0.11389531105422446,0.6751383643250901,-0.5211430154030919,-0.655151678560683,0.16555059523809532,-0.8092289423690596,ir3120013.trees
0,100001.0,50,491,-0.05868118701401219,-0.47005897866892976,0.03125473776877528,-0.33604826156879697,-0.23031472393514743,0.4001926688973915,0.13132543339916614,-0.3921484854003582,ir3120014.trees
0,100001.0,50,421,0.15092731281511593,-0.3315589075367838,0.03210179294477155,-0.5478515086239938,-0.0910931269407853,0.32455709523468473,0.13679757617332639,-0.7647915969488351,ir3120015.trees
0,100001.0,50,411,-0.41953828884324534,-0.20513957875274696,-0.0009285023643293372,1.248540350615346,-0.20528424729440117,0.11309783308350496,0.1543633078231292,-1.0167812552868976,ir3120016.trees
0,100001.0,50,420,-1.775617450412523,0.5076551089167743,-0.10790428949182353,1.5745847196829503,-0.2812132640566662,-0.7448055852400961,0.14521591245193732,-0.5648920805593486,ir3120017.trees
0,100001.0,50,500,-1.563074619147603,0.5858236051995835,-0.155504160591232,0.1740312768437569,-0.548637322241192,-0.991748411811351,0.15411086309523814,-0.8103333384145893,ir3120018.trees
0,100001.0,50,369,-0.4609698217786662,-0.2555570562179184,0.00023798595354526675,1.0822633895000457,-0.24605828093944354,0.14681097822562467,0.1702380952380952,-1.3470623147162715,ir3120019.trees
