#/home/enes/bim/BIM.py trees/r8030221.trees,trees/r8030222.trees,trees/r8030223.trees,trees/r8030224.trees,trees/r8030225.trees,trees/r8030226.trees,trees/r8030227.trees,trees/r8030228.trees,trees/r8030229.trees,trees/r8030230.trees,trees/r8030231.trees,trees/r8030232.trees,trees/r8030233.trees,trees/r8030234.trees,trees/r8030235.trees,trees/r8030236.trees,trees/r8030237.trees 250 --stats=all --eta=etas/BC.json --out=outs/797403352.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,bsfs,FayH,ZngE,TajD,FulD,Colless,btree,path
0,10001.0,250,54,-0.25381709291763194,2.2346362352021427,0.16209951788283922,1.2984706894659943,2.4994196051870587,0.04871861545163341,0.03674914712613896,-0.07744164917911386,r8030221.trees
0,10001.0,250,54,-1.2986439843273938,5.9385088303091855,0.03094639387370383,2.262537435349679,2.7786391359372202,-1.9194344519444837,0.028984216435635018,0.5531998641858011,r8030222.trees
0,10001.0,250,32,-1.1434649584870118,5.43790533832558,0.030249388036852027,1.9892725944771354,2.5110842525839105,0.3979736129788978,0.027847950943559185,0.41718154276180824,r8030223.trees
0,10001.0,250,55,-1.64014111866643,6.264608224913657,0.031042299338292955,2.8140561507095128,3.407099626734062,-1.6174449469784478,0.03167508744656043,0.2186312391783442,r8030224.trees
0,10001.0,250,42,-0.19009565720812696,4.927763282306541,0.0378571687852322,0.5064786106574131,0.8170796232866763,0.4608151284522731,0.03392278792589713,-0.05719912174892226,r8030225.trees
0,10001.0,250,53,-1.392411000377007,6.143243380122275,0.01586888508186234,2.330451532695963,2.7636700174336775,-0.22947315298874746,0.04240926841004571,-0.618563097215417,r8030226.trees
0,10001.0,250,36,-1.2621827129384853,4.094770037893413,0.022060039326204522,2.142560162765459,2.62805008853281,0.9965491512867024,0.03853721336960746,-0.0959084151809519,r8030227.trees
0,10001.0,250,55,-1.4035082326591366,6.253236192204722,0.015593770956411724,2.347725739121316,2.777805034111103,-0.6499569649883469,0.034509003756963336,-0.25349510363565847,r8030228.trees
0,10001.0,250,31,-1.1441630721211862,5.6118365731645685,0.026393478980374748,1.969635982587543,2.468653775355053,-1.1288947793421404,0.03020376436622064,0.3890950018208116,r8030229.trees
0,10001.0,250,26,-0.23908707311696986,4.790251499538478,0.0351966896244092,0.554328736678242,0.860507769642675,-0.16565173675077818,0.03327596098680436,0.07338427335910658,r8030230.trees
0,10001.0,250,65,-2.247729507092361,3.29111787850568,-0.0058548902990059526,3.5931582183993567,4.037317917669558,-2.1126185960107624,0.032853996631688046,-0.02855739371015956,r8030231.trees
0,10001.0,250,41,-1.5406974124640505,5.979952734131352,0.03462092408782415,2.6612041896343954,3.290182081580207,-0.3042463519847459,0.03930931097662539,-0.447182174832295,r8030232.trees
0,10001.0,250,40,-0.7721642186950602,5.587618135024247,0.03012344175959534,1.400356282288399,1.8055694930497983,0.19143033971055987,0.03717126570799327,-0.3847804250117018,r8030233.trees
0,10001.0,250,62,-1.4984326817970073,6.34158752161184,0.019524032917964434,2.525511836093118,2.992723081366834,0.5299740207269266,0.03835908148723928,-0.2566906695515435,r8030234.trees
0,10001.0,250,68,-1.161177596795805,1.6316683746835745,0.010691087761337871,1.9338637916908508,2.2574889259363284,-0.832375264723595,0.028816880424925504,0.7276274034368608,r8030235.trees
0,10001.0,250,31,-0.8717403834507836,5.448250497047832,0.03661829858537246,1.5837712170198968,2.076020310750994,-0.044151606450134995,0.03051723021116725,0.4342442235797326,r8030236.trees
0,10001.0,250,61,-2.1668282866814654,6.252851897827783,0.010479396787280226,3.552601857161055,4.104669799931438,-1.7569752104449947,0.02694459050623747,0.38065388298672753,r8030237.trees
