#/home/enes/bim/BIM.py trees/r3060020.trees,trees/r3060021.trees,trees/r3060022.trees,trees/r3060023.trees,trees/r3060024.trees,trees/r3060025.trees,trees/r3060026.trees,trees/r3060027.trees,trees/r3060028.trees,trees/r3060029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/818901681.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FayH,bsfs,TajD,FerL,FulD,btree,Colless,path
0,100001.0,50,484,-0.137814051458109,-0.1126879442445713,-2.3583709956011436,-0.9409117702068119,-0.3978327276006466,0.9930727202818128,-1.5327683121738989,0.21816409490625538,r3060020.trees
0,100001.0,50,400,0.3203048611738935,-0.15215256830558013,-2.718646917625257,-0.7788703192299826,-0.824144769794763,1.8543788904125798,-1.974548469421844,0.18671451631500072,r3060021.trees
0,100001.0,50,388,0.6592735627374199,-0.10467185738425851,-1.2342916347338218,-0.11028544413925749,-0.8171462747859941,0.639563164466971,-0.6734502515022195,0.13893586005830905,r3060022.trees
0,100001.0,50,328,1.181386264991438,-0.3183467433295981,-3.479648736837998,-1.1279004125713814,-2.011486506077881,1.2666606183775815,-1.7611109014475745,0.21525253937191316,r3060023.trees
0,100001.0,50,331,1.3055047758660827,-0.34544147849431145,-3.4067280719614015,-1.2013721589590938,-2.19638105525189,1.3595030201255458,-1.997477959127324,0.1687782495548556,r3060024.trees
0,100001.0,50,307,0.45238802944508333,-0.12553128674587527,-0.8942645200159467,-0.4568573326204643,-0.7848242224706643,0.13313630566438184,-1.2106179435993263,0.20648688046647246,r3060025.trees
0,100001.0,50,444,1.0850102428094228,-0.19526262621969395,-2.151385007309718,-0.34897866925376625,-1.4433093594077646,0.7446736450556114,-1.596218813776828,0.19175653215831784,r3060026.trees
0,100001.0,50,324,0.13078155469867017,-0.1895952892760118,-3.337501091877058,-1.2277245439969418,-0.8708551364913295,1.5965362338399423,-2.098469946261974,0.16944230522397646,r3060027.trees
0,100001.0,50,403,0.33524878749229375,-0.13190345765111774,-1.111694475622868,-0.619531963577892,-0.747370225698523,0.30969405327842353,-1.1711021663779946,0.17317848191908347,r3060028.trees
0,100001.0,50,375,0.42790690871306114,-0.22562596035458812,-3.2468019833524733,-1.1994524706110423,-1.1942639497872645,1.2492392779129189,-2.1083599706280265,0.23102221020858688,r3060029.trees
