#/home/enes/bim/BIM.py trees/ir3090080.trees,trees/ir3090081.trees,trees/ir3090082.trees,trees/ir3090083.trees,trees/ir3090084.trees,trees/ir3090085.trees,trees/ir3090086.trees,trees/ir3090087.trees,trees/ir3090088.trees,trees/ir3090089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/143391784.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,TajD,FulD,ZngE,FerL,btree,Colless,path
0,100001.0,50,475,-0.08944753972729826,-0.7940368918555815,-0.27049990586160233,0.387728630267649,0.38322666511653536,-0.5965957798189063,-1.254185789331862,0.17882152861144457,ir3090080.trees
0,100001.0,50,357,-0.06113007562829918,-1.9011984440989147,-0.8719273255369018,1.2703633389052489,-0.44825374132011647,-0.0014231603494330352,-1.3510792519435222,0.17880333951762534,ir3090081.trees
0,100001.0,50,444,-0.11936011746871844,-1.226925177079083,-0.3888860280378463,0.17738985892696738,0.48178858116006346,-0.7787783759463043,-1.565728125001666,0.19584347500468074,ir3090082.trees
0,100001.0,50,351,0.01465636314629259,-0.561415980963282,-0.3791824103766749,1.6853050895674027,-0.4989050693953044,0.34633337656499,-0.7995561251042734,0.15239984882842025,ir3090083.trees
0,100001.0,50,419,-0.08662640821644398,-0.914299775299989,-0.33407299218063835,0.10153675010536747,0.2956462593818025,-0.534095176565003,-0.920107649700214,0.15771402900782952,ir3090084.trees
0,100001.0,50,456,-0.1613498690356575,-1.7609962623547888,-0.5944388206798377,0.5410249326547255,0.5805913439894277,-1.0126800739780693,-1.398713781233497,0.18363609179935717,ir3090085.trees
0,100001.0,50,423,-0.026169807797143663,0.059331947542026434,0.22292275214696808,-0.07061398163692716,0.42388793414518733,-0.352197556930157,0.07178008328379785,0.13393616375121473,ir3090086.trees
0,100001.0,50,441,-0.05481063948692586,-1.0497500219177731,-0.15665579597023163,1.1080643109765653,0.24386187078435267,-0.37049878202358716,-1.1800816504012606,0.14561893133321702,ir3090087.trees
0,100001.0,50,393,-0.029716807318195194,-0.2519576162315286,0.010971656789158766,0.3635816565778786,0.23086452497545729,-0.256941207188303,-0.9643994689343846,0.16438948460740233,ir3090088.trees
0,100001.0,50,286,-0.07291701576402325,-0.7666927146813377,-0.4463614574337401,0.6937074598509141,0.07607836609441156,-0.3488382120267333,-1.3692392622463658,0.14786617772108845,ir3090089.trees
