#/home/enes/bim/BIM.py trees/ir8100073.trees,trees/ir8100074.trees,trees/ir8100075.trees,trees/ir8100076.trees,trees/ir8100077.trees,trees/ir8100078.trees,trees/ir8100079.trees,trees/ir8100080.trees,trees/ir8100081.trees,trees/ir8100082.trees,trees/ir8100083.trees,trees/ir8100084.trees,trees/ir8100085.trees,trees/ir8100086.trees,trees/ir8100087.trees,trees/ir8100088.trees,trees/ir8100089.trees 250 --stats=all --eta=etas/BC.json --out=outs/160088968.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FayH,FerL,FulD,ZngE,bsfs,btree,Colless,path
0,10001.0,250,104,2.700472722999762,0.12349588732355511,-0.6019269516097372,-1.4222003839254318,1.6952235364481698,4.003409658119591,-1.1294460442231502,0.04884268255818975,ir8100073.trees
0,10001.0,250,105,1.8909855201799306,0.13144741373178223,-0.09581233516713987,-0.7374510251309683,0.9240195596492333,3.8062802202923014,-0.5635818005913614,0.044216291690057724,ir8100074.trees
0,10001.0,250,100,2.5772634529170255,0.12521140230358477,-0.5224897736221342,-2.273812059355387,1.5745800337447657,1.5859127480394752,-0.8865007343285147,0.051922528824977325,ir8100075.trees
0,10001.0,250,90,1.9643034523092828,0.10174552451404581,-0.3556310180816133,-0.35560824160210935,1.162905191669539,4.510309453497187,-0.29647530750000456,0.03891263980653798,ir8100076.trees
0,10001.0,250,124,3.390169983594894,0.11574274047596554,-1.0374592077994853,-2.137745252739606,2.363148910172365,2.217350110089451,-0.9520645096932925,0.04654394704919384,ir8100077.trees
0,10001.0,250,127,2.095176400473979,0.07185233203984603,-0.6386250544237576,-0.994119595788387,1.4589638249408614,1.1534897002183762,-0.09618017886601202,0.037611274591453366,ir8100078.trees
0,10001.0,250,99,2.7522224058270996,0.06755232420931787,-1.0351931550532094,-0.9685330358631387,2.066808634669585,5.447221038931946,-0.8095094546795095,0.0501210798529104,ir8100079.trees
0,10001.0,250,100,1.8800972166193552,0.10407096940649205,-0.28932389414153964,-0.9893412654493802,1.0744277217468536,1.2177234774054817,-0.32919132638733895,0.04245444777211314,ir8100080.trees
0,10001.0,250,91,2.1144776896711823,0.08031195043701973,-0.5917305093228225,-1.3887625998440805,1.4209139684959267,1.9012604209615371,-1.3373582753919713,0.055841963680147544,ir8100081.trees
0,10001.0,250,94,2.360101128613695,0.09589861413275444,-0.6149949602472299,0.11522263605310358,1.5502952822336828,3.4961842614303413,-0.3821899848398843,0.04178973960357559,ir8100082.trees
0,10001.0,250,108,2.1933409362776324,0.11991443301166851,-0.34585071133573236,-0.6311555683139961,1.262257434261659,2.0703754012147355,-0.6275163263456351,0.043942372907188526,ir8100083.trees
0,10001.0,250,101,2.3611364510529187,0.1818414836447255,0.006195089895431483,-1.5550240233093509,1.0509410262142522,1.9984977788163627,-0.3419285284713776,0.0397986633440784,ir8100084.trees
0,10001.0,250,108,2.7550662395185435,0.028752079395879756,-1.3182239366522546,-1.483387087547217,2.3000502421796765,1.0409442672787381,-0.8585499970218292,0.04655071900505247,ir8100085.trees
0,10001.0,250,97,2.823178629555211,0.08997568100963561,-0.913000534466478,-1.4924479137393423,1.99899163708986,4.352620529263068,-2.0165633472867968,0.05834089044349441,ir8100086.trees
0,10001.0,250,120,1.389246580848414,0.15639728303359465,0.37019481580780766,-1.1813179360232813,0.3246208748722952,1.1975059434582322,-0.14902265095889397,0.038055447596838966,ir8100087.trees
0,10001.0,250,93,3.178114610124026,0.18339895336722736,-0.4390951738412497,-2.2114333544174913,1.772810763661386,1.8340774267005706,-0.4326062490924055,0.040286954268687655,ir8100088.trees
0,10001.0,250,104,2.240570852970352,0.03787596645593619,-0.9666042709257971,-1.4222003839254316,1.7841708275356636,1.798940265518665,-0.2011208407258703,0.04082782743878741,ir8100089.trees
