#/home/enes/bim/BIM.py trees/r8030119.trees,trees/r8030120.trees,trees/r8030121.trees,trees/r8030122.trees,trees/r8030123.trees,trees/r8030124.trees,trees/r8030125.trees,trees/r8030126.trees,trees/r8030127.trees,trees/r8030128.trees,trees/r8030129.trees,trees/r8030130.trees,trees/r8030131.trees,trees/r8030132.trees,trees/r8030133.trees,trees/r8030134.trees,trees/r8030135.trees 250 --stats=all --eta=etas/BC.json --out=outs/118920415.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FerL,FulD,ZngE,TajD,bsfs,btree,Colless,path
0,10001.0,250,38,-0.006945394250079905,-1.7608812916284138,-1.0079856785780834,2.7948481922128043,3.203638004884779,5.142785242001171,-0.13408714278418374,0.03527011270890012,r8030119.trees
0,10001.0,250,42,0.0108708242859357,-1.4167837974155348,-2.0177600833468854,2.3370539746323753,2.767064661268832,4.83699453975245,-0.47998433857182465,0.03866757351988599,r8030120.trees
0,10001.0,250,59,0.03609228445270201,-1.3045822559671298,-0.2027469493003794,2.3035641959559734,2.849820114632642,6.0182677767737625,0.28486807453757634,0.029452119327750884,r8030121.trees
0,10001.0,250,44,0.010780654120421748,-1.6090147846034653,-1.2719698952517688,2.6470616803531692,3.118189382261422,5.822847511555469,-0.8168599850693357,0.049293949993522476,r8030122.trees
0,10001.0,250,39,0.043632038721722305,-0.9891690720548445,-1.4988376812542152,1.8192285715754033,2.3750176716034597,4.725334377938389,0.5371140741323596,0.02690716784187441,r8030123.trees
0,10001.0,250,46,0.028967941185007156,-0.831222958342709,0.1748386436417099,1.4937389674993522,1.8975769105578497,4.452772253052604,0.4647637498739947,0.03036878697586043,r8030124.trees
0,10001.0,250,31,0.012400689520940167,-1.7184528048106822,-1.1288947793421404,2.8211356335276845,3.3857453166584004,5.805703349261554,-0.14354548110794224,0.03934169859160143,r8030125.trees
0,10001.0,250,40,0.007500122234021669,-1.5144809553224086,-0.2403524040278594,2.475257322929322,2.9127922371056445,5.977038014848623,0.40345448446450355,0.02837694865483439,r8030126.trees
0,10001.0,250,64,0.010080818584284777,-1.4101647445054102,-0.6974575740732594,2.3310799535373374,2.7089459259991657,4.260620840241933,-0.1345654405416081,0.036666018914367146,r8030127.trees
0,10001.0,250,58,0.010713049275105633,-1.5575689148516545,-0.15568068336223279,2.570335266294905,2.9951710671268335,4.284286733522486,-0.7814972296801698,0.043091721725612125,r8030128.trees
0,10001.0,250,59,0.0029461834105052012,-2.085063817471245,-1.411263445076351,3.3781101521028054,3.8636538245509193,5.974910452303091,0.8798482847960396,0.025123956235499182,r8030129.trees
0,10001.0,250,51,0.03156566781215588,-1.4000171781188535,-0.8160365967736767,2.4272476140558257,2.9765367537200844,4.566782536327789,0.4678697368939857,0.02621372587122684,r8030130.trees
0,10001.0,250,39,0.03430200538546796,-1.071888316658607,-0.6152804950534945,1.9033664918601438,2.4159096917391114,5.253397524538659,0.18039233610640165,0.03309042622101309,r8030131.trees
0,10001.0,250,36,0.054785302074931055,-0.47028786423734,-1.3773016439686834,1.0390713507853793,1.539976032775977,4.813835420220095,0.1649062518634963,0.033294468195362095,r8030132.trees
0,10001.0,250,61,0.025455061435618105,-1.0627973661558747,-0.29255905509379965,1.8556023390352114,2.270416226724705,6.128457302918559,-0.7099559363071949,0.03699475320637388,r8030133.trees
0,10001.0,250,44,0.03645655800753268,-1.6729975532606225,-0.4800367561914217,2.887059991544439,3.552868442428714,5.941771218301946,0.18215773333872687,0.031784395647104544,r8030134.trees
0,10001.0,250,45,0.021921878911766668,-1.3400590825773047,-0.5338766159724844,2.2743689764156474,2.754565445516144,5.911333715530131,-0.13845556283595956,0.030411970462495143,r8030135.trees
