#/home/enes/bim/BIM.py trees/ir8100022.trees,trees/ir8100023.trees,trees/ir8100024.trees,trees/ir8100025.trees,trees/ir8100026.trees,trees/ir8100027.trees,trees/ir8100028.trees,trees/ir8100029.trees,trees/ir8100030.trees,trees/ir8100031.trees,trees/ir8100032.trees,trees/ir8100033.trees,trees/ir8100034.trees,trees/ir8100035.trees,trees/ir8100036.trees,trees/ir8100037.trees,trees/ir8100038.trees 250 --stats=all --eta=etas/BC.json --out=outs/884748535.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,FulD,ZngE,FayH,FerL,Colless,btree,path
0,10001.0,250,85,2.3918927996025157,6.2388066490967145,-0.4141410602434158,1.7986594876726536,0.057358289471634114,-0.9091703396827726,0.05809366498251069,-2.063520282188199,ir8100022.trees
0,10001.0,250,95,3.0147329567649015,2.1128051694772676,-1.0738373221087378,2.619625716789265,0.01244696575540275,-1.5762237355536142,0.056168221272185515,-1.6018977423342533,ir8100023.trees
0,10001.0,250,76,3.320625626566141,4.858227519837942,-1.776666503911782,2.5241021748802592,0.07382126014519376,-1.3029622633755042,0.03761011789091851,-0.3199952393341393,ir8100024.trees
0,10001.0,250,95,2.5462826784337445,3.159383067332966,-0.688400021844195,1.9928053274370343,0.04835599546033481,-1.0593308072128507,0.04184479854903485,-0.6452166486554227,ir8100025.trees
0,10001.0,250,96,2.746511608331818,1.6989510772104848,-1.2852256144714052,1.474059824714548,0.16845775053574502,-0.30626755788010446,0.04347781618835273,-0.5196614497287517,ir8100026.trees
0,10001.0,250,103,3.0076527725414253,2.7133848786220227,-1.9413159995555833,2.1617577113898605,0.09067877894875914,-1.0094571978951017,0.04840453625918063,-0.8333118607153579,ir8100027.trees
0,10001.0,250,117,2.251718247822852,3.974142448104115,-0.9750526094536671,1.5914445784271685,0.07298015896052815,-0.7179645477686063,0.04880242030741562,-0.974090937604843,ir8100028.trees
0,10001.0,250,115,2.2102889976145224,1.6840519814886072,-1.5806147096042493,1.2730720446208774,0.12067539021105242,-0.3478176771615375,0.052704175335116565,-1.113402967668495,ir8100029.trees
0,10001.0,250,144,2.0897804369191375,1.585586380222512,-1.2401805829724202,0.855375425995102,0.172506450050121,0.10762470319314532,0.0407885443961068,-0.3672570015239476,ir8100030.trees
0,10001.0,250,103,2.4844096935241495,4.574369102359457,-0.6926950948559157,1.5963223100692894,0.10731041932047367,-0.5995856548509355,0.043075527918124114,-0.6599803786740542,ir8100031.trees
0,10001.0,250,136,2.057059186144631,1.2028373414390308,-0.858834408246628,0.9738578894164066,0.1478084237343619,-0.05839716251505069,0.04468313135238902,-0.713394990705907,ir8100032.trees
0,10001.0,250,85,1.8896175298691371,4.997462874756211,-0.414141060243416,1.3575547861302033,0.05633194297702344,-0.6397511236553173,0.048457269939974956,-0.9340681485388544,ir8100033.trees
0,10001.0,250,122,2.1577258591860997,0.8860095565449225,-1.3639223241196141,1.476414344771559,0.07829497172736728,-0.6266139966679223,0.041477366641203293,-0.17301866740477248,ir8100034.trees
0,10001.0,250,124,2.3294978885549646,2.041075254756119,-2.8838719197253453,0.9698034256413538,0.1900657357040552,0.09565413199440483,0.0445591891375024,-0.6266751192569595,ir8100035.trees
0,10001.0,250,134,1.8818397994667333,1.6564781914413167,-1.3796566026560668,0.8952738411765996,0.13450764596846412,-0.05915924718887553,0.039744510789983,-0.19282899499793035,ir8100036.trees
0,10001.0,250,84,1.7288209381821953,2.006568767563084,-1.4667212390850624,0.6236229686202766,0.15907269708345034,0.18002885915035854,0.041581379280563116,-0.40243090562071304,ir8100037.trees
0,10001.0,250,86,2.2697865368227137,3.759400038873397,-1.0799706104489977,1.2030118173409114,0.14197053433319295,-0.2384847558777754,0.03393007513926675,0.009232441324227056,ir8100038.trees
