#/home/enes/bim/BIM.py trees/r3020070.trees,trees/r3020071.trees,trees/r3020072.trees,trees/r3020073.trees,trees/r3020074.trees,trees/r3020075.trees,trees/r3020076.trees,trees/r3020077.trees,trees/r3020078.trees,trees/r3020079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/483313720.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,TajD,FulD,FerL,FayH,btree,Colless,path
0,100001.0,50,373,-0.9112372234064577,0.17101825236172352,-0.3440446487915699,0.5593224372554714,-0.39763885885817507,-0.07126300989218307,-0.6373780526477946,0.19057742144476844,r3020070.trees
0,100001.0,50,479,-0.3864924748555309,0.46984706802727993,-0.11850982652062399,-0.07622345665369172,-0.6057408329616463,-0.0799165576744908,-0.4443567334133805,0.13714612482547603,r3020071.trees
0,100001.0,50,441,-0.7157230002738698,0.059628995257164696,-0.32570199987386733,0.9064923449331331,-0.2599947607666851,-0.05352422045454201,-0.5588519022017029,0.17826548608861545,r3020072.trees
0,100001.0,50,418,-3.3862848494494755,0.3074639896597674,-1.1205669326601064,2.0938799705497746,-1.0109530150405237,-0.19806657800107466,-2.2807760145651024,0.23572032363241172,r3020073.trees
0,100001.0,50,424,-1.8038752228238615,0.9694893196728618,-0.6939678339439285,-0.6022262910033647,-1.514853505795343,-0.22795531975786598,-1.0355460948395419,0.17548363095238084,r3020074.trees
0,100001.0,50,402,-1.1317219454218417,-0.6046911881385694,-0.6169358187242844,1.6815022088789553,0.32652159427691185,-0.004368527563720743,-1.0777681951583864,0.18854931135015587,r3020075.trees
0,100001.0,50,365,0.11671880567822943,0.5988963384819213,0.19785518433988947,0.1165399310228592,-0.5669965499660098,-0.05352368158537671,-0.43726136732269716,0.16767447719828663,r3020076.trees
0,100001.0,50,348,-0.7761965765003049,0.3335183051202924,-0.11753208013297516,0.32531275305068325,-0.4497650871798246,-0.061694040706988376,-0.7757747822602598,0.16439909297052147,r3020077.trees
0,100001.0,50,366,-1.8552749853231165,-0.07662345451582818,-0.6496458507365426,1.5223500196583644,-0.2948542196413009,-0.08043501147314763,-1.3800430046104861,0.19288404137165063,r3020078.trees
0,100001.0,50,344,-0.46591566427268416,-0.029336351475029974,-0.24040470422500906,1.1412673990495115,-0.10789995136895916,-0.029644916789809694,-0.3262812050777824,0.13029640427599617,r3020079.trees
