#/home/enes/bim/BIM.py trees/r3090050.trees,trees/r3090051.trees,trees/r3090052.trees,trees/r3090053.trees,trees/r3090054.trees,trees/r3090055.trees,trees/r3090056.trees,trees/r3090057.trees,trees/r3090058.trees,trees/r3090059.trees 50 --stats=all --eta=etas/Fn.json --out=outs/665492160.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,TajD,FulD,FayH,bsfs,FerL,Colless,btree,path
0,100001.0,50,406,-0.5823596304445551,-0.39866807651436054,0.24662685207130727,0.023091178047804545,-0.25599313915495975,0.4295621991947319,0.13279478458049895,-0.0019203898757359492,r3090050.trees
0,100001.0,50,364,0.579882179871046,0.19684419393824665,-0.5245449830464229,-0.051091300465342666,0.053929775032717404,-0.5459012440687576,0.14492864815098977,-0.14077208927817908,r3090051.trees
0,100001.0,50,424,0.8560639249616909,0.10658193087656191,-0.3576867415114971,-0.10083205856310344,-0.3801250237131256,-0.9137475121809068,0.1333112340981592,-0.5070077741758308,r3090052.trees
0,100001.0,50,395,0.6160251142702493,0.13234319600627728,0.007748331236795781,-0.06488651826974065,-0.2739455674043427,-0.6249035330273794,0.10852713178294567,-0.04548283016766053,r3090053.trees
0,100001.0,50,380,-0.41956094801193183,-0.6688234510589963,1.8128586895481684,-0.036645247891907845,-1.3647130347896608,0.08501350366092683,0.16431373685837977,-0.8800745897289782,r3090054.trees
0,100001.0,50,438,0.11543955638463342,-0.7558482018327024,0.5969775258952781,-0.12112034191501332,-1.8592822888408267,-0.5771739649162542,0.17606188816990204,-1.2333592207100357,r3090055.trees
0,100001.0,50,383,-0.6814105283669429,-1.0503566544010574,1.6183860869207105,-0.054505908365689096,-2.3542184160760162,0.15913389799373476,0.15132435953104642,-0.9789384815250876,r3090056.trees
0,100001.0,50,384,0.15825308639923297,0.4254940609617097,0.1022165938058698,0.038030904123394056,0.7074150925491283,0.06993366570443607,0.10781671159029647,0.41547554404854414,r3090057.trees
0,100001.0,50,344,0.09546313971643589,-0.15131891812865642,0.36729514395708535,-0.034122585572901196,-0.5079990973371477,-0.1979436022325059,0.14541828636216395,-0.7886154096168978,r3090058.trees
0,100001.0,50,399,0.00747931847173088,-0.3574245037744043,1.0508440273907436,-0.05094635891942748,-1.0023475395322639,-0.21903186592398216,0.13529383975812556,-0.4784312722837704,r3090059.trees
