#/home/enes/bim/BIM.py trees/ir8040056.trees,trees/ir8040057.trees,trees/ir8040058.trees,trees/ir8040059.trees,trees/ir8040060.trees,trees/ir8040061.trees,trees/ir8040062.trees,trees/ir8040063.trees,trees/ir8040064.trees,trees/ir8040065.trees,trees/ir8040066.trees,trees/ir8040067.trees,trees/ir8040068.trees,trees/ir8040069.trees,trees/ir8040070.trees,trees/ir8040071.trees,trees/ir8040072.trees 250 --stats=all --eta=etas/BC.json --out=outs/467747632.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FayH,TajD,ZngE,bsfs,FulD,Colless,btree,path
0,10001.0,250,78,0.24487320634473483,0.1222657215911784,1.1277672297328853,0.30276829286277246,1.7623165244180525,-1.1124010286691592,0.04545992646894586,-0.6193912039661452,ir8040056.trees
0,10001.0,250,70,-0.10316938660139874,0.11678951901357967,1.6808964646391527,0.826409552043211,2.7547786480984175,-1.9241734927779686,0.04581767931942824,-0.7275778155055403,ir8040057.trees
0,10001.0,250,85,-0.2906735401208981,0.12038703685851346,2.0843555528049347,1.162274058884848,1.4855583673732031,-0.6284017610061401,0.04857679566191032,-1.0222042079750522,ir8040058.trees
0,10001.0,250,85,0.08696317817176664,0.12298910203779613,1.4325831059321485,0.5672421958666464,1.6939956630101765,0.014380341282032335,0.05124877389743305,-1.0714369989289534,ir8040059.trees
0,10001.0,250,109,-0.02839595280708052,0.12216949502983059,1.6506280253760408,0.7626384096572129,2.6994806299223426,-0.8222320864083392,0.0333440021947372,0.15402673391026495,ir8040060.trees
0,10001.0,250,88,-0.45157418796737214,0.06820751722446017,1.7025667705244072,1.123197123562579,3.69739573406851,-0.7099544239345612,0.052241222956341496,-1.038119016240094,ir8040061.trees
0,10001.0,250,86,0.05256429091407695,0.15875143381398038,1.9588279590877118,0.8295084238043648,2.9699538800440943,-1.5037543848650903,0.04993286930714059,-0.9048870034017429,ir8040062.trees
0,10001.0,250,119,-0.39277735707381334,0.10464899882447834,2.082455956583479,1.2528798336860023,2.9591970666119654,-0.5443678949439064,0.03405557714729888,0.13379971071914692,ir8040063.trees
0,10001.0,250,85,-0.6471734645214375,0.06582671272695907,2.025870125859389,1.4241799754256774,1.9242039756673956,-1.485444564057036,0.04204560176188626,-0.37222204358459166,ir8040064.trees
0,10001.0,250,79,0.5823636258665511,0.16601109246290582,1.0786695327072147,0.008683343253219095,1.6618970178460426,-1.3663816265456399,0.039160225129910325,-0.1097973466084302,ir8040065.trees
0,10001.0,250,89,-0.30876740042546913,0.08079877749311562,1.6072033235925562,0.9656149264195528,1.2838537837781288,-0.7359755488026657,0.059846423818440915,-1.4919552660053066,ir8040066.trees
0,10001.0,250,78,-0.12984991692591727,0.11700493385903475,1.7418039417154267,0.8777843116327891,1.3831960789510953,-1.1124010286691595,0.037337522131536904,-0.06850877530785925,ir8040067.trees
0,10001.0,250,108,-0.3476502560721213,0.06846968665590393,1.5233678551046206,0.9635546579873837,1.8742023342493739,0.05062964707258095,0.043416156282527214,-0.5026709659067945,ir8040068.trees
0,10001.0,250,98,-0.196281859965507,0.10272828940713158,1.6932625269505164,0.915260394811768,0.885983595821438,-1.5085494519492733,0.040234943569343797,-0.40453215840115225,ir8040069.trees
0,10001.0,250,91,-0.33259546835081477,0.055115303710071374,1.3179430423965177,0.8563803013386946,1.9353961421043098,-0.18400322008248884,0.04272088353413654,-0.44505157568944587,ir8040070.trees
0,10001.0,250,103,-0.133003762548596,0.0852121409798422,1.3529800630881805,0.7129096309085791,2.218876834203283,-0.5143206798988206,0.05171042593312318,-1.1548661693944173,ir8040071.trees
0,10001.0,250,93,-0.07999393968809725,0.11644581778374184,1.6578844340464092,0.8043585451524943,1.9839095171783798,-0.048030331263492536,0.05131105065422983,-1.0191740139425858,ir8040072.trees
