#/home/enes/bim/BIM.py trees/ir3010000.trees,trees/ir3010001.trees,trees/ir3010002.trees,trees/ir3010003.trees,trees/ir3010004.trees,trees/ir3010005.trees,trees/ir3010006.trees,trees/ir3010007.trees,trees/ir3010008.trees,trees/ir3010009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/632545696.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,bsfs,FulD,FerL,FayH,ZngE,btree,Colless,path
0,100001.0,50,431,-0.2483772892843294,-0.9691667501291565,0.9350516929549776,-0.4093262431275994,-0.06583065525885119,0.23051746050904626,-1.364927212167217,0.18092287935582396,ir3010000.trees
0,100001.0,50,430,0.29924149550196405,0.3600696557284151,-0.22641803382554243,-0.11694949832807155,0.007036609556766197,0.2571165718575759,-0.1679314469771001,0.12822711051633767,ir3010001.trees
0,100001.0,50,397,-0.2511790023967521,-0.3107859912657485,1.520220941784593,0.4192240608829385,0.03218178875170088,-0.49709839899952,-0.4518147905263644,0.14414515806322525,ir3010002.trees
0,100001.0,50,370,-0.14800818620386152,-0.7431998330923383,-0.3694484796996861,-0.5803796125475129,-0.07927219812383736,0.43227873217552143,-0.34754890295918267,0.14337225274725277,ir3010003.trees
0,100001.0,50,444,0.48569804098718355,1.2073389959432572,-0.5233724651142982,0.10768042489876971,0.0466519026731948,0.1565979070853797,0.09408225081387966,0.11273750879662207,ir3010004.trees
0,100001.0,50,385,0.07768186237825964,-0.36949916946100025,0.2087558768773552,-0.285076051602427,-0.028405137030700012,0.28993254277167924,-1.0020825553497483,0.16580886740661177,ir3010005.trees
0,100001.0,50,469,0.38718337035708966,-0.00680141976729581,-0.16560671722678988,-0.48986165785859337,-0.030944040056885853,0.6297102200880536,-0.5260328354790222,0.1545400769003254,ir3010006.trees
0,100001.0,50,405,0.357077723735604,0.5742601508860928,-0.7318374610193839,-0.2258631478624648,-0.0018428550824803934,0.3823306179325032,-0.6263047487761422,0.14683922349427578,ir3010007.trees
0,100001.0,50,451,-0.8109301717570808,-1.91652430083363,0.8134830927342239,-0.4498053248771348,-0.10984604428115867,-0.024783421279025938,-1.7591468885298882,0.19551050508699053,ir3010008.trees
0,100001.0,50,374,-0.5746326375969826,-1.4195967693960831,0.9051969376420633,-0.3817950576137318,-0.08549437378833798,0.038188745029732254,-1.468714088661888,0.18802061640982923,ir3010009.trees
