#/home/enes/bim/BIM.py trees/ir8080056.trees,trees/ir8080057.trees,trees/ir8080058.trees,trees/ir8080059.trees,trees/ir8080060.trees,trees/ir8080061.trees,trees/ir8080062.trees,trees/ir8080063.trees,trees/ir8080064.trees,trees/ir8080065.trees,trees/ir8080066.trees,trees/ir8080067.trees,trees/ir8080068.trees,trees/ir8080069.trees,trees/ir8080070.trees,trees/ir8080071.trees,trees/ir8080072.trees 250 --stats=all --eta=etas/BC.json --out=outs/122692524.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,TajD,FayH,FulD,FerL,ZngE,Colless,btree,path
0,10001.0,250,92,2.789516392370579,2.4233684807124956,0.11204675107346357,-1.2082265414908304,-0.5345792732514967,1.5128430637908956,0.050082048624605954,-0.8650709277259343,ir8080056.trees
0,10001.0,250,142,0.8359315428516829,1.5018056785595455,0.058390637480587516,0.09475315990478962,-0.4064120343967847,1.005986858680319,0.04986329017257486,-1.058362869503031,ir8080057.trees
0,10001.0,250,92,1.9504022945219415,1.6298941670155622,0.11852634047265381,-1.0095148062547443,-0.050066375022258795,0.767458431863205,0.05386060370514316,-1.291691547477995,ir8080058.trees
0,10001.0,250,88,4.547524517672553,3.114533708581714,0.043136334795064714,-0.5026462318554932,-1.409333681518308,2.5258338704275736,0.03771537763959062,-0.16905205524399747,ir8080059.trees
0,10001.0,250,81,2.598500037491393,1.8834161471405557,0.07724142452830296,-1.183633816768294,-0.4882273911388139,1.231055481328703,0.04379615235134085,-0.48815017356042634,ir8080060.trees
0,10001.0,250,89,1.8845536821081563,2.578628206797156,0.04006087193891325,-0.7359755488026658,-1.1359353727999926,2.0666989416883847,0.043091721725612125,-0.7105467564365591,ir8080061.trees
0,10001.0,250,93,1.6659767066957922,3.1815141306102093,0.17881597340166502,-1.4247413459978553,-0.47385658645235146,1.8024141065852382,0.04396850073103473,-0.6003204216914162,ir8080062.trees
0,10001.0,250,85,6.647652005854123,4.2712258955616305,0.02342710401183938,-1.485444564057036,-2.18634774129837,3.666462208266467,0.07076693872263246,-2.7258035573785793,ir8080063.trees
0,10001.0,250,99,1.5418544329591966,2.4016547344325065,0.13284127380884797,-2.265416156757902,-0.37068068980402474,1.3730611436754723,0.043784456823710606,-0.5950162011809204,ir8080064.trees
0,10001.0,250,83,1.5695304198500597,3.2762260534786987,0.14761576876451685,-1.6667313073792045,-0.7542683283000128,2.065916537832891,0.045906205467029414,-1.0669734970706908,ir8080065.trees
0,10001.0,250,72,4.169128899740067,2.3840916528513856,0.1097089281445875,-1.4545840432082398,-0.5370945075939023,1.4885526951984123,0.05020728073584661,-0.9303784933122252,ir8080066.trees
0,10001.0,250,85,2.6935335998587395,2.92310100830154,0.08641539375681503,-1.4854445640570357,-0.9948211949610547,2.1042163903036224,0.05218107452852886,-1.0343108503077247,ir8080067.trees
0,10001.0,250,96,2.164191060050415,3.203262132109468,0.11488581937765133,-2.0484279150031157,-0.9439969738985934,2.1933820855006663,0.04717487461366202,-0.9847640077875223,ir8080068.trees
0,10001.0,250,88,4.02979545788601,2.056206239068604,0.09233894158543092,-0.917262616013629,-0.4741813067352996,1.298990306538255,0.04354514833527658,-0.9166741805849592,ir8080069.trees
0,10001.0,250,85,2.2352311973879186,2.473776527653041,0.06696165604983768,-0.1998803594806922,-0.885864113508879,1.8162730434634111,0.052439597098069696,-1.006172659857205,ir8080070.trees
0,10001.0,250,78,5.125681713523691,2.6927325999970817,0.05281450137622888,-0.8799471540862623,-1.1065512343589636,2.0883007430780256,0.0584365110210427,-1.702405556019347,ir8080071.trees
0,10001.0,250,73,6.4463577598939565,3.1740954203927876,0.0385081960971916,-1.7238234572289761,-1.4706223792189153,2.5923083156956297,0.0368166213240057,-0.41428814137895087,ir8080072.trees
