#/home/enes/bim/BIM.py trees/r3030060.trees,trees/r3030061.trees,trees/r3030062.trees,trees/r3030063.trees,trees/r3030064.trees,trees/r3030065.trees,trees/r3030066.trees,trees/r3030067.trees,trees/r3030068.trees,trees/r3030069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/585159364.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,bsfs,TajD,FulD,FayH,ZngE,btree,Colless,path
0,100001.0,50,348,-0.46935830607762175,-1.2705876122129893,-0.33822579107546596,0.7078832189533508,-0.079456799437918,0.23694932514590936,-1.376823535648621,0.16259868144788772,r3030060.trees
0,100001.0,50,348,-1.8284949998911697,-2.005226889221518,-0.4125884675770003,0.7928988780428323,-0.24625201584900802,1.3895179842846084,-1.4667669275746844,0.19890873015873028,r3030061.trees
0,100001.0,50,338,-1.4289895941555193,-2.7573047201169265,-0.4855439487936356,1.5260181869909115,-0.20395770314223807,1.001866449892125,-1.2325773369032138,0.20264980992396953,r3030062.trees
0,100001.0,50,412,-1.0993662871608665,-1.7364114689365497,-0.6880797283234222,0.15917623237743764,-0.17838024113977197,0.6083546920401735,-1.3824589991777343,0.1833479105928086,r3030063.trees
0,100001.0,50,313,-1.9248653554092081,-3.7518397037856728,-1.481540438082445,1.8620885895412347,-0.333043627668758,0.9236586667353897,-2.708330235459075,0.1959677419354837,r3030064.trees
0,100001.0,50,364,-1.593157374901909,-3.321403968152081,-1.174717802785296,1.304812749094523,-0.27137961740091027,0.7903612604979783,-2.2844560490752923,0.24832214765100677,r3030065.trees
0,100001.0,50,268,-1.2548457370417456,-3.090396790390987,-0.7230334326982889,1.7863601332027599,-0.20072394391591153,0.7274490881160546,-2.415349507746524,0.23985665694849373,r3030066.trees
0,100001.0,50,423,-1.4296757458305471,-2.228678819284733,-0.5880835981224526,0.6297122407513709,-0.21047614788404367,0.9495154467072897,-1.7861149222243204,0.18745325355272996,r3030067.trees
0,100001.0,50,329,-1.6749710685581585,-3.0488060728763497,-0.9252517383927445,1.0281322382724534,-0.26409809070963863,0.99092274086151,-2.166043952240819,0.21843041852502593,r3030068.trees
0,100001.0,50,328,-1.8577324066483119,-3.800693656840079,-1.4956037139582268,2.12317526407202,-0.3257724308721617,0.8573329390121617,-2.196449103911298,0.20417542016806728,r3030069.trees
