#/home/enes/bim/BIM.py trees/r8100204.trees,trees/r8100205.trees,trees/r8100206.trees,trees/r8100207.trees,trees/r8100208.trees,trees/r8100209.trees,trees/r8100210.trees,trees/r8100211.trees,trees/r8100212.trees,trees/r8100213.trees,trees/r8100214.trees,trees/r8100215.trees,trees/r8100216.trees,trees/r8100217.trees,trees/r8100218.trees,trees/r8100219.trees,trees/r8100220.trees 250 --stats=all --eta=etas/BC.json --out=outs/954446172.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FayH,ZngE,TajD,bsfs,FulD,btree,Colless,path
0,10001.0,250,114,-0.46908485950739,0.10771072789043246,1.392469021438651,2.2583441850185264,1.4609134966005768,-2.53832632918552,-0.041692394511168684,0.03517768951494413,r8100204.trees
0,10001.0,250,114,-1.2721801573766671,0.02770175522791807,2.2204614964395986,2.656415203816542,1.31550247155828,-2.214693467935697,0.14118815184300632,0.0345591274468072,r8100205.trees
0,10001.0,250,101,-1.3590145117639347,0.06578220366266123,2.5806680365401284,3.3143335987785187,5.240055901594761,-1.5550240233093515,0.6229808585299624,0.02639050826963769,r8100206.trees
0,10001.0,250,108,-0.6976146702957042,0.10763993815168214,1.7590731401798592,2.6674910655068,2.938529585771102,-1.8242796952405054,0.06373500492989712,0.03206796329779145,r8100207.trees
0,10001.0,250,75,-0.42902935695140876,0.11808276570297868,1.3643931474298228,2.297215323554496,2.296670473675921,-1.5182605959331479,-0.40045389349877425,0.03923184935371039,r8100208.trees
0,10001.0,250,112,-0.5811822605265224,0.1351941794962652,1.734478593007328,2.819951460597723,2.671624351875887,-2.0341578790314276,0.658575374350195,0.0271464891825366,r8100209.trees
0,10001.0,250,137,-0.1769522882113892,0.12321231777942691,1.0196915369347046,1.945544842614719,1.9063246041391027,-1.4170548814377462,0.8076992590273876,0.026554163869554472,r8100210.trees
0,10001.0,250,102,-0.742338714368111,0.11931796422998851,1.8967156355857808,2.8986764623782957,2.038505090324963,-1.7499836365072694,0.31923347365041194,0.028933707178946215,r8100211.trees
0,10001.0,250,130,-0.29245325066216665,0.09916185775375215,1.0615820588023988,1.8332656105171472,3.5789184772686697,-1.1846291339104016,0.1528830105203743,0.034595938934004276,r8100212.trees
0,10001.0,250,95,-1.0885121503508302,0.10259369158128442,2.354937503865446,3.304587998327698,4.7097075126649095,-1.8447119226378232,0.1287160850578469,0.03352854232177979,r8100213.trees
0,10001.0,250,115,-0.3517283072319039,0.0855180178119295,1.0723885524136587,1.7560088952800463,0.9712745591146791,-1.741077142337554,0.23007745653017067,0.03377023109121693,r8100214.trees
0,10001.0,250,107,-0.3406551086794981,0.10998518007719409,1.1952005254003284,2.0535571659950453,3.789867360700587,-1.296526687967832,0.5476904930280927,0.02828391364318755,r8100215.trees
0,10001.0,250,122,-0.8089062594268047,0.1277260315282301,2.063467348298319,3.1360320832032222,2.1809992259873354,-1.8186749521835481,0.1488559438784849,0.03421982862324875,r8100216.trees
0,10001.0,250,95,-0.18029159478728618,0.1099548617832711,0.9299059241032612,1.7565355816603803,3.6185952162797994,-0.49568137171192317,0.3813494072764345,0.029848093781245744,r8100217.trees
0,10001.0,250,106,-0.5126790913250245,0.13447939031888845,1.6162980542505332,2.683902839929078,4.020492849617717,-1.8004097934486367,0.24810356025996852,0.0327963158316831,r8100218.trees
0,10001.0,250,135,-0.20269128751809598,0.13758439941739445,1.1461800217025788,2.1807802167558634,2.354904576926094,-1.3923012923168308,0.8715209086349125,0.026518415879506808,r8100219.trees
0,10001.0,250,100,-0.76897149737043,0.11903745551909592,1.9370092453374559,2.9423214012830505,2.0639986279860336,-1.5398287485519544,0.321529573386958,0.03386220403435374,r8100220.trees
