#/home/enes/bim/BIM.py trees/r8040119.trees,trees/r8040120.trees,trees/r8040121.trees,trees/r8040122.trees,trees/r8040123.trees,trees/r8040124.trees,trees/r8040125.trees,trees/r8040126.trees,trees/r8040127.trees,trees/r8040128.trees,trees/r8040129.trees,trees/r8040130.trees,trees/r8040131.trees,trees/r8040132.trees,trees/r8040133.trees,trees/r8040134.trees,trees/r8040135.trees 250 --stats=all --eta=etas/BC.json --out=outs/185136876.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,FulD,bsfs,TajD,ZngE,FerL,Colless,btree,path
0,10001.0,250,104,0.09938572929496227,-1.4222003839254311,1.4833934673280083,1.45066457797972,0.7174386722792178,-0.08432195510229928,0.02718940277237984,0.8469895362486084,r8040119.trees
0,10001.0,250,79,0.08185837380358996,-1.1367139639820532,2.395586583823206,1.649204590359152,0.9963546015993171,-0.32721535307737115,0.03202487368830159,0.3141926790675003,r8040120.trees
0,10001.0,250,76,0.1148463107762913,-0.8237285078272152,1.4076905604296597,1.6342698089167293,0.7950141989223384,-0.08722248368205139,0.030430352622346415,0.37477861646238303,r8040121.trees
0,10001.0,250,71,0.09146315672898615,-1.178204664169863,3.3232495303056937,1.7155156754475727,1.0001482429975015,-0.2990220260943937,0.034756327362234864,0.1066128362210668,r8040122.trees
0,10001.0,250,90,0.13773411615438513,-0.9643647842880034,1.4620477367539912,1.6598567264153519,0.6833974455499755,0.06993255725523534,0.02866553060878751,0.5754117954797757,r8040123.trees
0,10001.0,250,100,0.09142830333432994,-1.7233245762528133,1.639691202967909,2.5169117488793162,1.7175748317731547,-0.7328005375925535,0.03192368427502512,0.4452126030053352,r8040124.trees
0,10001.0,250,77,0.07845893754991483,0.5596689545812787,2.1626002863520304,1.099975373411677,0.5283687907098044,-0.05010213604747214,0.039299286238656625,-0.29766009252856307,r8040125.trees
0,10001.0,250,84,0.05271608975020018,-0.5999886320797152,1.1581044443786161,1.9431440710277106,1.4256734849434642,-0.6950324471727625,0.029705920456017616,0.6365023939413407,r8040126.trees
0,10001.0,250,74,0.08299198188736953,-1.9861965441237328,1.5935530632206147,2.206767901235369,1.48357452551061,-0.6269358881018336,0.027054994170229302,0.7932497215185158,r8040127.trees
0,10001.0,250,87,0.11266190744197985,-1.5216642680239814,3.072004886648709,2.4043528696261567,1.4917533911250802,-0.521311019953798,0.023498564149069395,1.0547227079600578,r8040128.trees
0,10001.0,250,101,0.1446506631858159,-1.3732677317779673,1.7131526803972692,1.2798310455404764,0.3007676011760824,0.3360310531230963,0.028986915403549682,0.36184090458578344,r8040129.trees
0,10001.0,250,111,0.06873467658224983,0.46573247154142694,1.115258727103459,1.31205969695762,0.772718203956824,-0.22816807496913746,0.03438485123288855,0.13169216179079407,r8040130.trees
0,10001.0,250,85,0.12531648112204807,-1.9139659655824843,1.1935651904292586,0.5630529483050732,-0.22000716730286576,0.5826177711353917,0.031345427794125816,0.4198483877440213,r8040131.trees
0,10001.0,250,101,0.08692002507311217,-0.46448627412104976,2.0772132917327033,1.310558807983469,0.6650815882703376,-0.0977080367345195,0.03518829136580277,0.1078838667509487,r8040132.trees
0,10001.0,250,99,0.11374964503815153,-0.9685330358631392,1.2206942429762777,1.6626501068922814,0.8236503789955715,-0.09958870551659166,0.028557122999408272,0.5310059683283608,r8040133.trees
0,10001.0,250,89,0.17737670780382703,-1.3512455721990102,1.7912087210722563,2.590673332395748,1.284195234837335,-0.16063798517525876,0.02589242600902143,0.8835358470181864,r8040134.trees
0,10001.0,250,77,0.1042740188937161,-0.8521828352628038,1.7048570301798622,2.3697120899198074,1.5075853833886257,-0.5653990739951926,0.0261358238427807,0.7805995719019887,r8040135.trees
