#/home/enes/bim/BIM.py trees/r8110238.trees,trees/r8110239.trees,trees/r8110240.trees,trees/r8110241.trees,trees/r8110242.trees,trees/r8110243.trees,trees/r8110244.trees,trees/r8110245.trees,trees/r8110246.trees,trees/r8110247.trees,trees/r8110248.trees,trees/r8110249.trees,trees/ir8110000.trees,trees/ir8110001.trees,trees/ir8110002.trees,trees/ir8110003.trees,trees/ir8110004.trees 250 --stats=all --eta=etas/BC.json --out=outs/730197227.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,TajD,FerL,bsfs,FayH,ZngE,btree,Colless,path
0,10001.0,250,77,-2.4993432567475673,3.361962283833897,-1.4657895832661552,4.983051108134953,0.05399858350695448,2.674596939046947,-1.4188203873963936,0.050870147255689425,ir8110000.trees
0,10001.0,250,77,-1.7934173618255258,3.660201326712394,-1.7910529130920647,5.702105050803482,0.031154024005101245,3.069469383526164,0.06663352321954515,0.03578831454851665,ir8110001.trees
0,10001.0,250,117,-2.0798020261151557,3.311441044541923,-1.5912269190169859,5.223219919093919,0.03387895630892135,2.773379250081414,-1.285102767835734,0.05491320119186423,ir8110002.trees
0,10001.0,250,110,-1.679847587392323,2.8908134036971695,-0.2268761384962098,1.7848909901920356,0.18947796503408465,1.479169459074593,-0.6921789521377746,0.0413136416634279,ir8110003.trees
0,10001.0,250,79,-0.9070463014184658,3.624250562956577,-2.018477207056435,3.4139938910713954,-0.0036214434286182193,3.2386795645774398,-1.7446085383635177,0.057995422550416724,ir8110004.trees
0,10001.0,250,87,-2.3599640554214933,4.202812280182789,-2.3843870470140187,4.3835848983371895,-0.00944378906937815,3.7975047898368715,0.12398655251307718,0.033002979660577796,r8110238.trees
0,10001.0,250,86,-1.0799706104489977,3.358274310439013,-1.513621982641285,5.298251260393558,0.047284929826161594,2.7174809525935624,-0.03900768251848149,0.029995558269946147,r8110239.trees
0,10001.0,250,87,-2.1503891085721154,3.8378185727494007,-1.9796159976483505,5.644035513346371,0.019072709686592085,3.3080198537644407,0.11513202375071349,0.03192339249471003,r8110240.trees
0,10001.0,250,76,-1.3001975058694988,3.3903776262313507,-1.6692943651223349,6.2253366692604,0.027336529525955253,2.850745389180455,0.3927548100841012,0.031778138948756904,r8110241.trees
0,10001.0,250,94,-2.0262103364429054,2.530809066162679,-0.4196460336137907,2.602401959546916,0.13623291846748717,1.468641124122541,0.051426212574424424,0.034965129334542475,r8110242.trees
0,10001.0,250,91,-2.1919355196851416,3.4358810016708965,-1.6471523990146506,5.035490678250176,0.034787795137805985,2.8628120610440164,0.20646055526747917,0.032454094817299765,r8110243.trees
0,10001.0,250,75,-2.4831972833523253,4.713409038356635,-2.38652713949951,5.9722012844411285,0.028570358699763543,4.015270195625194,-0.08005177088275371,0.03300760646271723,r8110244.trees
0,10001.0,250,76,-1.0619630068483568,3.4721236326424614,-1.5823537100145795,5.668403881646809,0.04602002629899076,2.816808431850564,0.49569901174835196,0.029226583754372325,r8110245.trees
0,10001.0,250,101,-0.8279988571838165,3.900783047441081,-1.9303508478676696,4.338123000267548,0.03158677327826321,3.3047257635787095,0.23638180593631075,0.03104514833527659,r8110246.trees
0,10001.0,250,97,-0.9256868808393904,2.5274431778177617,-0.8491595421456383,3.7438760931531183,0.07613269481542304,1.8152888286752928,0.3665984007282315,0.027471637702885274,r8110247.trees
0,10001.0,250,106,-1.6268784237102358,3.7016915030569266,-1.4768352575254329,6.222874869799791,0.07919933147474296,2.8514933217912453,-0.14114781430394346,0.03539841749130517,r8110248.trees
0,10001.0,250,90,-1.3702024794119319,3.447798325402613,-1.1648428437411524,3.401509300406467,0.10305028938609655,2.4779188590580383,-0.15265449310118395,0.03418659977152009,r8110249.trees
