#/home/enes/bim/BIM.py trees/r3010080.trees,trees/r3010081.trees,trees/r3010082.trees,trees/r3010083.trees,trees/r3010084.trees,trees/r3010085.trees,trees/r3010086.trees,trees/r3010087.trees,trees/r3010088.trees,trees/r3010089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/449695460.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,FayH,bsfs,ZngE,TajD,FulD,Colless,btree,path
0,100001.0,50,427,-0.013660015826703538,0.011554460144641378,0.3025247857727506,0.10944023726626644,0.18867474167739987,-0.2742488830666396,0.11046125767380119,0.5036541286490546,r3010080.trees
0,100001.0,50,390,0.02075321313847121,-0.009300653821830382,-0.7525426556924063,-0.10507912824651774,-0.1683690014439383,1.8341476033771635,0.25336571754450293,-1.2026069825692531,r3010081.trees
0,100001.0,50,394,-0.320040421921937,0.013320580487655755,0.7473989000762191,0.6594299691853545,0.7341628011192393,-0.6226894042451445,0.12562971134399722,-0.1287491475612436,r3010082.trees
0,100001.0,50,392,-0.24506497073291605,0.0008443277763039709,0.5215990727758955,0.43582025788028755,0.4282691607582547,0.4484323742527392,0.14648495267672282,0.08654245009634903,r3010083.trees
0,100001.0,50,475,-1.1135764708493627,-0.1832384353135633,-2.477459493967778,0.5946432632904148,-0.7382469206420466,1.2614269696985274,0.1765673837102409,-1.3918124684682474,r3010084.trees
0,100001.0,50,435,-0.05838607089981804,-0.02610693680584146,-0.6505265368650712,-0.09085515093149864,-0.2749106330408621,0.9983945022754311,0.16471180863649817,-0.6315308294629078,r3010085.trees
0,100001.0,50,448,-0.9951386680632639,-0.11137384703149622,-0.5297219649974905,0.9201943698276331,0.0923599082516301,0.047191113197531324,0.1259815096251266,-0.28761756984098413,r3010086.trees
0,100001.0,50,544,-0.24907242718419442,-0.013256360823692272,0.046848633214586696,0.3384376495215827,0.23175650194974626,0.24782573400704166,0.15472105872916855,0.06549564740342635,r3010087.trees
0,100001.0,50,444,-0.25335170346047803,-0.01279999220720359,0.17014299096267962,0.34945990859287607,0.2464173313903524,-0.3231546582453652,0.13759127504212695,0.22855515140155985,r3010088.trees
0,100001.0,50,513,-0.9276039164742922,-0.06391338014408793,0.02661893548789723,1.1526362946200999,0.6554243231425692,-0.5208473720694321,0.11641561386459352,0.1937848059995491,r3010089.trees
