#/home/enes/bim/BIM.py trees/r8100238.trees,trees/r8100239.trees,trees/r8100240.trees,trees/r8100241.trees,trees/r8100242.trees,trees/r8100243.trees,trees/r8100244.trees,trees/r8100245.trees,trees/r8100246.trees,trees/r8100247.trees,trees/r8100248.trees,trees/r8100249.trees,trees/ir8100000.trees,trees/ir8100001.trees,trees/ir8100002.trees,trees/ir8100003.trees,trees/ir8100004.trees 250 --stats=all --eta=etas/BC.json --out=outs/679799304.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,bsfs,ZngE,FayH,FulD,FerL,btree,Colless,path
0,10001.0,250,82,2.770408879197689,2.761735053860819,2.050876352925383,0.07181230888006637,-0.7628873683952676,-1.0147924802218005,-0.7428065838151887,0.04326625498409408,ir8100000.trees
0,10001.0,250,89,1.967799329272502,2.040220305930353,1.2438221542774777,0.08827054486905486,-0.5308855410038841,-0.45424710414509556,-0.6890588295593124,0.04467691554749464,ir8100001.trees
0,10001.0,250,122,2.628462402915959,1.8541596080336253,1.4528884555342327,0.15385150776526327,-1.3639223241196141,-0.33600106469007834,-0.19713496493624771,0.03845566598189994,ir8100002.trees
0,10001.0,250,135,2.3843373734463684,2.39207457406524,1.7851694316398654,0.06096607101329149,-1.529762325967478,-0.8791354587122489,-0.7789174112158237,0.04620813001108376,ir8100003.trees
0,10001.0,250,120,2.6446058717564873,2.1711099156065394,1.5760233754163442,0.13545888188031302,-0.719261198317651,-0.4798708448714795,-0.9162426390618782,0.049094766161419875,ir8100004.trees
0,10001.0,250,106,1.903789431161005,1.008336808729011,1.4384149560953525,0.04553428561174143,-0.06509609606462785,-0.7247615149276877,0.07621740368105984,0.031345578668108616,r8100238.trees
0,10001.0,250,103,1.1111358763832995,2.432739191729653,0.0474652470415128,0.16205930767519844,-1.0494439247701064,0.556365161920028,0.7552197789302396,0.028612574830454606,r8100239.trees
0,10001.0,250,108,2.890689473609018,4.046312967103665,2.231354737163827,0.06119671786187134,-0.6311555683139963,-1.1580978362132999,0.43444508649411623,0.02924138952121851,r8100240.trees
0,10001.0,250,103,2.7860616037468535,3.378531551939913,1.788647276504858,0.1205960699783939,-0.8710695098130111,-0.6705338675836385,0.23877982184453514,0.03342060943263717,r8100241.trees
0,10001.0,250,97,1.904525003537458,1.7128519617706783,0.7761139013707494,0.15910670379390718,-1.87028860233931,0.09241037366090132,0.7971114352324791,0.02605951665901141,r8100242.trees
0,10001.0,250,84,2.7310492618955355,3.805919004133447,1.8073442422285333,0.10825933408478003,-1.4667212390850626,-0.7336562500007783,0.47668300720822654,0.027735365424832976,r8100243.trees
0,10001.0,250,117,2.4222413591588285,1.3489657401534558,1.6346930305435494,0.09161559289264885,-0.8172312642163116,-0.6767860704149332,0.5374714951658632,0.027395562398477295,r8100244.trees
0,10001.0,250,95,1.9648946273021817,1.6501442327710185,0.717740698600356,0.17852646615061388,-1.8447119226378235,0.19739298478786713,0.41439057215955977,0.028926766975737043,r8100245.trees
0,10001.0,250,122,1.96679550276716,2.9045019131800522,1.0540425659060801,0.12072369299939262,0.0003355600721880246,-0.21048556475506283,0.030699776863078208,0.034607200249177905,r8100246.trees
0,10001.0,250,104,3.131904693573303,3.050630606434359,1.9900202726238638,0.13912715577142631,-1.9523912219173822,-0.7277386775691675,0.6186170425049392,0.026086035510831464,r8100247.trees
0,10001.0,250,105,1.747871275434753,1.0246787730091858,1.4221080666639863,0.024420173721398705,-0.5623348216598959,-0.7912268322268459,0.34161561947824387,0.029244311712043423,r8100248.trees
0,10001.0,250,131,2.0492236771308656,2.401757345935365,0.9706305934667268,0.14723228496371854,-0.4914962396266648,-0.05970635247969116,0.9669695288608733,0.026236912459221048,r8100249.trees
