start,end,N,SS,FulD,ZngE,FayH,bsfs,FerL,TajD,Colless,btree,path,iColless,ibtree
0,50001.0,250,308,0.0929196248807041,0.00943031988207519,0.0222845063177392,0.4780986099545152,0.07868827124369883,0.16051805141452838,0.0372221361799368,0.0902520141550284,9100000,0.043164593859308216,-0.2661021200403433
0,50001.0,250,292,-0.8968789988004138,0.03718554316418802,0.040388725695620166,0.782819367576458,0.1300091395091817,0.31273077225105506,0.034569968679271174,0.17119530573982286,9100001,0.043371461811826696,-0.2662733399753401
0,50001.0,250,272,0.6531096716618694,-1.0560407504065796,0.07560653043474097,-0.17128965007863986,0.9372434937606232,-0.65073262138055,0.03411414105383087,0.2994651884784675,9100002,0.043282638192839284,-0.35629748235952896
0,50001.0,250,308,0.1543019228024957,-0.03105033868239747,0.04968655973187275,0.7795138122107733,0.2075671371065611,0.3008148120299908,0.032299854987065835,0.2078933594911336,9100003,0.039622307888922736,-0.15903981167332815
0,50001.0,250,354,-0.32246481900402435,0.1581179849397454,0.023239373719875472,0.3211863016523848,-0.009089487314737632,0.33003407755309394,0.0341783900376642,0.11659695736642332,9100004,0.04189690036443108,-0.3795387581642667
0,50001.0,250,361,-0.06160524567885235,0.3876306050613652,0.0027731988646174173,0.4347178559831693,-0.22847382234896615,0.44298044603140796,0.034929939606381154,0.11552302003836615,9100005,0.04440586448044155,-0.4425196117543557
0,50001.0,250,325,-0.2487473679569373,0.09348986452150476,0.02326236600909489,0.4653659155730679,0.030670779886727412,0.2593277968703695,0.0353113544919991,0.12731847527846293,9100006,0.04346378908560786,-0.397152141181272
0,50001.0,250,344,0.03373082805116033,-0.04752772982943496,-0.043475253394126716,-0.4595247822599235,-0.13598822220191328,-0.3455332137577751,0.039189014121000114,-0.1654838666060365,9100007,0.046272141149662716,-0.48485391156077207
0,50001.0,250,354,-0.7505369930937805,1.044866783519991,-0.011521683060321643,0.5546041581660482,-0.6881604524024555,1.0659554730969816,0.03187912942090944,0.22053013615380807,9100008,0.041149679362611734,-0.2877486649289067
0,50001.0,250,276,1.0092558141140733,-0.4021254842063781,0.010593549058393385,-0.1455070426780653,0.28812590748378397,-0.37006159129979305,0.03609865888654043,0.1349529596574216,9100009,0.04457689352194461,-0.5570576378518253
0,50001.0,250,274,1.4523159659517697,-0.5625783263642726,-0.018940266513077512,-0.8523469803195738,0.27545902376911546,-0.7448483129859107,0.03682384288680442,-0.0595833561913051,9100010,0.052663937172494193,-0.9004696435122151
0,50001.0,250,352,0.1776490766414856,0.20768231380117644,-0.10072974073870526,-0.7835118321273827,-0.5112529981754755,-0.4528812067413546,0.039438376107633774,-0.15742107986931733,9100011,0.051426011965751584,-0.8125569491910788
0,50001.0,250,309,-0.590458496521621,0.19730739424452354,-0.02437656849556621,0.20900475942306707,-0.21414147904526828,0.05198190697872988,0.03790134182100531,0.07735087295305842,9100012,0.046185094863680165,-0.6481554342524821
0,50001.0,250,246,1.2003208270497956,-0.2763101563388552,-0.052589309777782034,-1.1158897105581564,-0.027677099778782733,-0.6566273519236467,0.04061293277240257,-0.3510937586719713,9100013,0.0550731150408084,-1.163681955945118
0,50001.0,250,365,-0.14689515580850432,0.23271939542090184,0.016280340881878533,0.3143233520132158,-0.08152179557637895,0.36467515179867216,0.033205778854352164,0.30970075577848816,9100014,0.043070639221523946,-0.272554976892763
0,50001.0,250,307,1.0885800191530437,-0.7908079213769355,-0.007590975055222416,-0.8929990104786834,0.4589788757673194,-0.918025853856826,0.03726098583610234,-0.07935842877953593,9100015,0.047687669853025735,-0.6989324602332029
