#/home/enes/bim/BIM.py trees/r8080187.trees,trees/r8080188.trees,trees/r8080189.trees,trees/r8080190.trees,trees/r8080191.trees,trees/r8080192.trees,trees/r8080193.trees,trees/r8080194.trees,trees/r8080195.trees,trees/r8080196.trees,trees/r8080197.trees,trees/r8080198.trees,trees/r8080199.trees,trees/r8080200.trees,trees/r8080201.trees,trees/r8080202.trees,trees/r8080203.trees 250 --stats=all --eta=etas/BC.json --out=outs/748278134.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,FayH,ZngE,FulD,bsfs,TajD,Colless,btree,path
0,10001.0,250,103,-0.9402030625009458,0.04005883487884259,1.7540287825464553,-1.227818339727202,1.1356533165891343,2.2215445476525972,0.03495343380691224,0.08778945706934341,r8080187.trees
0,10001.0,250,92,-1.2386235857767958,0.06362189858330877,2.369999794298002,-1.406938276726918,4.2574211156750055,3.0697801495527783,0.03645938593082005,-0.057852607740830425,r8080188.trees
0,10001.0,250,64,-0.9291422623565352,0.044578864419656236,1.748267875317712,-0.4174263314956757,5.201918765624304,2.2667619738641283,0.04122195979949575,-0.3803862855690511,r8080189.trees
0,10001.0,250,53,-1.2789110359909472,0.03321466272910652,2.242523097678674,-1.898216121126221,5.0666113499168235,2.7717014293735014,0.02989608202394833,0.3549125768869099,r8080190.trees
0,10001.0,250,68,-1.3611166950145808,0.048881540377755016,2.4716296562845064,-1.3614877967535142,6.365845895171153,3.1098573407876113,0.026474763007147798,0.40053861035654953,r8080191.trees
0,10001.0,250,133,-0.24080895372609465,0.13818449279457706,1.2107012100832713,-1.087908237413959,3.1596013451580798,2.2563120485383124,0.03128551070642016,0.35472600300327073,r8080192.trees
0,10001.0,250,118,-0.2651098737199832,0.181785426941052,1.500977969713866,-1.7754180902955403,1.7044516238401615,2.8654016512531206,0.030964719091419443,0.301863954461151,r8080193.trees
0,10001.0,250,63,-0.4186068319100757,0.09841639018123922,1.2250881302764853,-1.51379019011206,3.867561145103087,2.0151870772762437,0.02504822156007543,0.8654167542521205,r8080194.trees
0,10001.0,250,75,-0.9699505534019088,0.059681378206978546,1.9053884633880618,-1.2770264240783535,5.576344237912036,2.532721879248626,0.030409657061425423,0.29559989573040335,r8080195.trees
0,10001.0,250,60,-1.5250249944239846,0.025792002186049916,2.6023732702285396,-1.4380872487163567,5.777472289651704,3.123143121885527,0.042287429287040636,-0.41102351892282796,r8080196.trees
0,10001.0,250,91,-0.8003231973276604,0.12819412854205378,2.035069066269527,-1.790349059764611,1.9402470211924308,3.113869947101686,0.030337941628264208,0.33316256273216815,r8080197.trees
0,10001.0,250,80,-1.8273683820562097,0.03646743460260062,3.159681769993954,-1.160451487086992,6.363608791502063,3.7921164882043574,0.037811068320201625,-0.02345260268107078,r8080198.trees
0,10001.0,250,75,-1.4524876315389192,0.038073685959575,2.561452624327895,-0.31208973665917794,3.097054823064834,3.134206831568727,0.028870319989635955,0.34413049851776945,r8080199.trees
0,10001.0,250,81,-0.5215066380860359,0.12807038555608632,1.5760453328085953,-0.7350513850614838,3.597427545587679,2.599396945005513,0.026759367217975845,0.7573889292419181,r8080200.trees
0,10001.0,250,71,-1.7537978431172028,0.019148080720376787,2.938846712032501,-0.4161151127860697,6.628219747783291,3.444371423672753,0.03355033035367276,-0.312534439087223,r8080201.trees
0,10001.0,250,101,-0.020991553991262173,0.1848279215671914,1.1123129165132843,-1.3732677317779676,1.5971934962666037,2.449232046684805,0.026176813515923273,0.7151337896327092,r8080202.trees
0,10001.0,250,68,-1.6102623366405466,0.025833463620764593,2.7437973713493577,-1.361487796753514,6.4444050057571385,3.270979544115469,0.03428353612963019,0.16564813888520538,r8080203.trees
