#/home/enes/bim/BIM.py trees/ir8120154.trees,trees/ir8120155.trees,trees/ir8120156.trees,trees/ir8120157.trees,trees/ir8120158.trees,trees/ir8120159.trees,trees/ir8120160.trees,trees/ir8120161.trees,trees/ir8120162.trees,trees/ir8120163.trees,trees/ir8120164.trees,trees/ir8120165.trees,trees/ir8120166.trees,trees/ir8120167.trees,trees/ir8120168.trees,trees/ir8120169.trees 250 --stats=all --eta=etas/BC.json --out=outs/193340060.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,FerL,TajD,bsfs,FayH,btree,Colless,path
0,10001.0,250,81,-1.632216248475105,3.8044716588411247,-2.35886365588702,4.275690041610145,4.305162566586337,-0.0008739335896338673,-2.1341355974214133,0.06267003497862417,ir8120154.trees
0,10001.0,250,64,-1.8175825443835922,3.915971982573361,-2.492779941600298,4.324076163309532,3.567426882029526,-0.018756329125341562,-0.8862778927514475,0.05334240186552662,ir8120155.trees
0,10001.0,250,77,-2.264034625106887,4.6363836058863654,-2.8603912632252078,5.246517929162804,6.882135029999388,0.0031680862399871917,-0.18671515152722562,0.03999870449540096,ir8120156.trees
0,10001.0,250,82,-1.2062802341456293,3.5143422239225584,-2.0881202069144336,4.112917003366267,6.445185666651102,0.024739570010760662,-2.271933953508223,0.06759295245498122,ir8120157.trees
0,10001.0,250,47,-2.126421453418877,3.710636998404683,-2.238518206328858,4.387250031886805,6.090734314149218,0.01975696435222041,-0.3632152329975374,0.04067884440989765,ir8120158.trees
0,10001.0,250,69,-1.6466632487056758,3.7129499262845034,-2.3532668515636845,4.105574804299493,4.045303875731907,-0.014973925611328221,-0.38751722303904607,0.04054929394999353,ir8120159.trees
0,10001.0,250,71,-2.4483539164761847,4.220481640351728,-2.541278714043115,4.905151205046503,5.427897350188191,0.021039154665971792,-1.4147569922117311,0.051755408731700994,ir8120160.trees
0,10001.0,250,67,-2.4096347661710054,4.534456598522578,-2.793198893672491,5.167671976525727,6.476107690969964,0.004942966304156749,0.5511244447816467,0.030120481927710843,ir8120161.trees
0,10001.0,250,67,-1.0683244134544412,3.0192884620203717,-1.8265167592478182,3.501861480645925,5.787374454297414,0.01285658230834843,-2.323349766994992,0.058427257416763835,ir8120162.trees
0,10001.0,250,64,-0.4174263314956764,2.8197302163983506,-1.7182438842138694,3.2539744446853485,6.204049365039655,0.00859901191773592,-0.030326613889358617,0.030606296152351338,ir8120163.trees
0,10001.0,250,72,-1.7052891449451395,4.203990561683363,-2.737350119075594,4.507614206952829,3.9294992163894635,-0.037800989003807337,0.09384378866855171,0.03598264023837285,ir8120164.trees
0,10001.0,250,64,-2.3776450295387592,3.4669687998633436,-2.1145520995631744,3.9974045364260165,4.498911648596836,0.010024152937380446,-0.6598553578064689,0.043949993522477006,ir8120165.trees
0,10001.0,250,86,-1.715646272073137,3.09553002637599,-1.8445166055605202,3.607146012307754,6.81595817044278,0.02011856020019156,-0.4767848210056775,0.04184479854903485,ir8120166.trees
0,10001.0,250,76,-0.823728507827215,3.2579888771391405,-1.975806419406484,3.750825466485282,5.760273904497094,0.011956008075295786,-0.6645197255098837,0.04254113227101956,ir8120167.trees
0,10001.0,250,58,-0.4626557977974813,3.6819329002521646,-2.230977933340581,4.290857547727699,6.22500648246824,0.015403137144084481,0.07928371077110614,0.03378028242000259,ir8120168.trees
0,10001.0,250,69,-2.1685665610598464,4.0389759814678765,-2.458831721571438,4.650617926165269,6.684603835119544,0.01261791591594817,-1.8103595041468847,0.05648400051820184,ir8120169.trees
