#/home/enes/bim/BIM.py trees/ir3110080.trees,trees/ir3110081.trees,trees/ir3110082.trees,trees/ir3110083.trees,trees/ir3110084.trees,trees/ir3110085.trees,trees/ir3110086.trees,trees/ir3110087.trees,trees/ir3110088.trees,trees/ir3110089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/176176444.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FerL,FayH,TajD,FulD,bsfs,btree,Colless,path
0,100001.0,50,520,0.03119064541637187,-0.09644752639214026,-0.018589072194611797,-0.10316106868349616,-0.0449409431022526,-0.2878815759023361,-0.4409418665915624,0.12745452791045495,ir3110080.trees
0,100001.0,50,438,0.7025377750697419,-0.4623921163040915,-0.014617706446267684,0.575109213284592,-0.21480074525897555,0.41035815296303907,0.013541701079858642,0.132497622704996,ir3110081.trees
0,100001.0,50,475,0.42537826101413145,-0.3984746815912115,-0.036886536091945546,0.1469394057008828,-0.111527563692853,0.054755548711863444,-0.08909348563637629,0.13848019828086283,ir3110082.trees
0,100001.0,50,315,-0.5122107095607438,0.23582877215443937,-0.01347040577872541,-0.5938292885306512,0.562521931064338,-1.0466632574967036,-0.45370106015712125,0.12609922017587522,ir3110083.trees
0,100001.0,50,485,-0.06519714234285448,0.15008529495446074,0.02670580008577669,0.12838932879375176,-0.45224275620835,0.48295207908255994,-0.005349714867511511,0.11298572459286745,ir3110084.trees
0,100001.0,50,458,-0.08806152241271885,0.08239363364639443,0.0076160362303258405,-0.030606736690264896,-0.02574684208508074,0.004946407335171465,0.15398117649476478,0.11782786885245904,ir3110085.trees
0,100001.0,50,398,0.13203599675247316,0.07112016057837368,0.03473983786005328,0.3765553576341264,-0.5751417622079429,0.6247673322050735,0.4032130497955981,0.1068401937046005,ir3110086.trees
0,100001.0,50,468,0.018111474615310673,-0.20945309321764966,-0.047121404853192786,-0.3201539221192457,0.9811166764931952,-1.284810340448649,-1.0839584412209893,0.14614192451174018,ir3110087.trees
0,100001.0,50,409,-0.08877814813795132,-0.0983271649246203,-0.03532371352097863,-0.33885903610222895,-0.10518055441786237,-0.7456120023460568,-0.7121485000370574,0.1423362137647852,ir3110088.trees
0,100001.0,50,471,0.12514007505564725,-0.02945959614577756,0.00991477414002661,0.19205672591209286,0.4819134485445235,0.08149581831692654,-0.17819589103726427,0.13765466816647923,ir3110089.trees
