#/home/enes/bim/BIM.py trees/ir8080170.trees,trees/ir8080171.trees,trees/ir8080172.trees,trees/ir8080173.trees,trees/ir8080174.trees,trees/ir8080175.trees,trees/ir8080176.trees,trees/ir8080177.trees,trees/ir8080178.trees,trees/ir8080179.trees,trees/ir8080180.trees,trees/ir8080181.trees,trees/ir8080182.trees,trees/ir8080183.trees,trees/ir8080184.trees,trees/ir8080185.trees 250 --stats=all --eta=etas/BC.json --out=outs/236519935.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,ZngE,bsfs,FayH,FerL,FulD,Colless,btree,path
0,10001.0,250,87,3.479261930350164,2.938469970940996,6.650031544243491,0.027782212953879743,-1.7197775056355906,-1.1025143743252253,0.05546379064645679,-1.5666239585454342,ir8080170.trees
0,10001.0,250,86,2.7093507255214813,1.9318358834304812,5.981966327470124,0.08338048887989441,-0.8985706220964875,-0.23240306161681204,0.0385736494364555,-0.29772093580745146,ir8080171.trees
0,10001.0,250,74,2.552923477791511,1.6400441820279175,3.4398767330917637,0.10942956571132582,-0.6308130739340737,-0.5203336434012956,0.040665889363907234,-0.4899636185466473,ir8080172.trees
0,10001.0,250,82,2.61211940681905,1.8379654176640305,3.507516466235443,0.08439844921839823,-0.8382614356192737,-1.206280234145629,0.04639294505209779,-0.7488190745333846,ir8080173.trees
0,10001.0,250,116,1.8802718978066109,1.1280711170455513,3.2945346790671115,0.09500730296012042,-0.35140109058734714,-1.752713914558057,0.04503497862417412,-0.5505582168993143,ir8080174.trees
0,10001.0,250,94,1.2533923063591819,0.6695470126929906,4.572464312157897,0.07743170328795768,-0.13629456273602564,-0.46880453826399016,0.045931035971844364,-0.6973231254152746,ir8080175.trees
0,10001.0,250,73,2.699063264405834,1.76942139886978,5.24839218415505,0.10939484385901298,-0.7116407929005643,-0.9814242143334017,0.04192900634797253,-1.1050654918261673,ir8080176.trees
0,10001.0,250,71,3.025101786787753,2.4956898459728243,6.4525889465362125,0.031913467867294626,-1.434457792180249,-1.6862643650923914,0.04664896143714644,-0.9731339286616908,ir8080177.trees
0,10001.0,250,106,2.1488631153245676,1.2917394190200278,1.7748805449831735,0.10807165371452869,-0.4075720885016,-0.06509609606462809,0.03819579392840178,-0.23625294316867387,ir8080178.trees
0,10001.0,250,86,1.6713766162612844,1.0977035583113375,1.3028179449867023,0.06776124684999674,-0.43790398532660085,-0.4442949488248584,0.04798764952282247,-1.0217129044466655,ir8080179.trees
0,10001.0,250,99,2.8288955049905895,1.8466452410750966,2.9132474873084586,0.11710908483427736,-0.720373152753317,-1.3390710704045001,0.04075981344733774,-0.2983449577391699,ir8080180.trees
0,10001.0,250,98,3.2164016476405304,2.0949940385824237,2.3370440378544886,0.13390628095003335,-0.8138841313142958,-2.631010536380065,0.045472211426350564,-0.708337882897339,ir8080181.trees
0,10001.0,250,109,2.360363520297852,1.466809791412896,3.592421300872359,0.11056534167717025,-0.5059797383817894,-0.8222320864083387,0.043703037958284764,-0.7649382490080066,ir8080182.trees
0,10001.0,250,65,3.4538138367264994,2.8424688113211385,6.240016274517806,0.03625903715901789,-1.6360095367196856,-1.00863923187772,0.03323778986915404,0.14024711477212704,ir8080183.trees
0,10001.0,250,110,2.0843951820282682,1.461684709420098,3.4621322958962217,0.06930966350608905,-0.652308614197565,-0.5075638477517387,0.051140044047156365,-1.167354123610391,ir8080184.trees
0,10001.0,250,88,3.3918038363908543,2.0444424115616924,1.835531156892387,0.16934975047493708,-0.6604926145343449,-1.9538035764089685,0.057804418667224716,-1.8224317416969127,ir8080185.trees
