#/home/enes/bim/BIM.py trees/r3050040.trees,trees/r3050041.trees,trees/r3050042.trees,trees/r3050043.trees,trees/r3050044.trees,trees/r3050045.trees,trees/r3050046.trees,trees/r3050047.trees,trees/r3050048.trees,trees/r3050049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/544016227.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FerL,TajD,ZngE,bsfs,FulD,FayH,btree,Colless,path
0,100001.0,50,450,-0.6900875577192608,-0.2215568474310636,0.4905074341647657,-0.8694907458738517,0.5591812530903211,-0.0971611070307303,-0.600939303139472,0.16503380493301617,r3050040.trees
0,100001.0,50,536,-0.026213654426469533,0.3164487644662372,0.18681015907425966,0.5588404093328388,0.3837133258500407,0.018965909372925915,-0.14026875015471937,0.14379364080433935,r3050041.trees
0,100001.0,50,369,-0.006440215779525805,-0.23473056797831005,-0.11541461760171895,-0.5408862620936397,-0.0005808480418198469,-0.017171601878881344,-0.5026611165983177,0.16661513090084523,r3050042.trees
0,100001.0,50,379,-0.7836063564408472,-0.637156391455919,0.3580437734414629,-1.6887829946641597,0.5374998399423064,-0.13754879896140035,-1.1512008902124924,0.21971933427459062,r3050043.trees
0,100001.0,50,445,-0.5404394979732092,0.485094719545746,0.7245044118695763,0.37818763524707016,-0.06347223116355394,-0.03013334727584763,0.00831936758331833,0.12328907466601102,r3050044.trees
0,100001.0,50,419,0.10143482681175466,0.5325006810169672,0.18610617036950552,1.3158997802149752,-0.49938885158422397,0.04920489599566342,0.38427212411857575,0.13142169436080448,r3050045.trees
0,100001.0,50,458,-1.1429682504430052,-0.3115033623757911,0.8410796670883027,-1.174057286378798,0.038963711081777604,-0.157017157402952,-0.6716307559419561,0.1679812465526751,r3050046.trees
0,100001.0,50,390,-0.20427342926276001,-0.5923733761057015,-0.12666798216258676,-1.7734703739551871,1.9100674102851019,-0.06562416635179766,-1.1724844850262148,0.18198938111830085,r3050047.trees
0,100001.0,50,382,-0.612358708395091,-0.2197894002246458,0.4232807956954407,-0.5257535654489562,-0.5000200631487299,-0.08804279100576608,-0.639933529681939,0.17082162206199847,r3050048.trees
0,100001.0,50,428,0.2614008753168461,0.025068999604073914,-0.2162035950989908,0.449149242602993,-0.5581817281335685,0.03272023691574957,0.373712314385801,0.11614920358387248,r3050049.trees
