#/home/enes/bim/BIM.py trees/ir8090218.trees,trees/ir8090219.trees,trees/ir8090220.trees,trees/ir8090221.trees,trees/ir8090222.trees,trees/ir8090223.trees,trees/ir8090224.trees,trees/ir8090225.trees,trees/ir8090226.trees,trees/ir8090227.trees,trees/ir8090228.trees,trees/ir8090229.trees,trees/ir8090230.trees,trees/ir8090231.trees,trees/ir8090232.trees,trees/ir8090233.trees 250 --stats=all --eta=etas/BC.json --out=outs/422041503.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FayH,ZngE,FulD,TajD,FerL,btree,Colless,path
0,10001.0,250,52,4.7906157001841745,-0.019383617906241983,4.334463199318326,-2.5555993414295193,4.8384377554518165,-2.7560642745047272,0.07110290480354592,0.03306775489052986,ir8090218.trees
0,10001.0,250,62,5.891174054858895,0.013234450842204301,3.7706962491084863,-1.7777844950934463,4.367414976383127,-2.2922678016407017,-2.221960152541311,0.060014250550589454,ir8090219.trees
0,10001.0,250,51,6.011931894824312,0.018712837492072597,2.9778399350704485,-0.8160365967736769,3.5268897034848647,-1.7852657730925199,0.5158438254570853,0.029440342013214146,ir8090220.trees
0,10001.0,250,52,5.109542121853749,0.024553514194084577,4.062636169354625,-2.5555993414295197,4.8019437706335415,-2.4384194588730583,-0.5374850689865669,0.04435483870967742,ir8090221.trees
0,10001.0,250,61,5.555692323510974,0.02307905745348511,3.078683699050302,-1.1712087483045166,3.645692370897479,-1.829446720412384,-2.2118743681219697,0.06428941572742583,ir8090222.trees
0,10001.0,250,65,4.061003188943489,0.03749472863231932,2.9724710133281733,-1.0086392318777198,3.6090891993396235,-1.712302451025175,-1.007975122069297,0.04469490866692576,ir8090223.trees
0,10001.0,250,53,4.386856011162767,0.020392082729899178,2.7900241530529963,-1.898216121126221,3.317397804579825,-1.6622637286675712,-0.8095967421093384,0.047253530250032386,ir8090224.trees
0,10001.0,250,64,6.1806522225854525,0.027307175243208737,2.3092740594542907,0.7026986388146564,2.793607580381658,-1.336869919577563,-1.583642202493757,0.06364166342790517,ir8090225.trees
0,10001.0,250,65,6.169147332390065,0.03317120316140025,3.0399157647453574,-1.2846340729109804,3.658081054655567,-1.7691379818868476,-1.4971432873603838,0.057326078507578704,ir8090226.trees
0,10001.0,250,44,4.431648963235708,-0.00014886979222676096,3.4318837439614045,-1.271969895251769,3.9557811243111285,-2.1329096984335156,0.5138686413426299,0.029731830547998446,ir8090227.trees
0,10001.0,250,65,5.606762994065884,0.021525578102634186,3.905945471348614,-1.8366237549775017,4.566092997524832,-2.346460943560638,-1.6589558634671058,0.058783521181500195,ir8090228.trees
0,10001.0,250,55,6.526164741082779,0.008734360277448278,3.6060236136987123,-0.6499569649883468,4.171080980030535,-2.20766579774321,-0.18081938253283944,0.03439564710454722,ir8090229.trees
0,10001.0,250,69,6.727527208860419,0.010440511191901336,3.806497175072914,-1.3857115925285903,4.373669619064943,-2.3223779920359706,-0.030191191305898608,0.03572353931856458,ir8090230.trees
0,10001.0,250,61,2.9542136763923232,0.027462323873590374,1.7252231077645677,0.8789738691871553,2.1349136234343775,-0.9750177912182368,-1.5152273044611964,0.05430755279181241,ir8090231.trees
0,10001.0,250,74,4.62533724130884,0.008100181932728837,3.7184827860994885,-1.7418860606699929,4.2490622549182016,-2.2750112698119387,-1.4143371186921858,0.04531027335147039,ir8090232.trees
0,10001.0,250,58,4.644617948007173,0.03970774192475639,2.9599897436314317,-2.3045064844089738,3.621784944091624,-1.6997197326517925,-0.7757910458619793,0.0511724316621324,ir8090233.trees
