#/home/enes/bim/BIM.py trees/r8030051.trees,trees/r8030052.trees,trees/r8030053.trees,trees/r8030054.trees,trees/r8030055.trees,trees/r8030056.trees,trees/r8030057.trees,trees/r8030058.trees,trees/r8030059.trees,trees/r8030060.trees,trees/r8030061.trees,trees/r8030062.trees,trees/r8030063.trees,trees/r8030064.trees,trees/r8030065.trees,trees/r8030066.trees,trees/r8030067.trees 250 --stats=all --eta=etas/BC.json --out=outs/759193879.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,FulD,FerL,FayH,TajD,ZngE,btree,Colless,path
0,10001.0,250,61,5.699320326035798,-1.7569752104449945,-2.080686237147636,0.014800215042648557,4.001452573855632,3.4377439629464406,-0.18831926026801818,0.03866361503361115,r8030051.trees
0,10001.0,250,44,6.1339722898586535,-0.48003675619142205,-1.6657161880319578,0.02056057241531906,3.343747206446803,2.790508946812319,-0.6913333110186155,0.038818869949845465,r8030052.trees
0,10001.0,250,53,5.794660544219438,-0.22947315298874746,-1.917884577737462,0.00704522300330582,3.621229656802639,3.1288417226529517,0.27492186471650126,0.03127024225936003,r8030053.trees
0,10001.0,250,31,4.983982968952017,-0.5865231928961376,-1.2421845791108792,0.0507820913715342,2.9417063522948,2.2497589614371316,0.2016682236875776,0.030909562001672376,r8030054.trees
0,10001.0,250,36,5.612866615656228,-1.3773016439686834,-1.0468989330594158,0.023747221938888563,2.245427287901896,1.8052920688961764,-0.023463725004579692,0.0384070845594359,r8030055.trees
0,10001.0,250,52,0.22411531762295647,-2.5555993414295193,-1.3886274969089105,-0.03534741928153957,2.1181407680931934,2.0442012494925805,-0.483037305336474,0.04035820702163492,r8030056.trees
0,10001.0,250,70,6.475408986666645,-0.3795086297446812,-1.3214430774311896,0.028851779700455445,2.780457979482828,2.2955792970438225,0.2968298481345582,0.030469271627452738,r8030057.trees
0,10001.0,250,50,3.7441853994134333,-0.7733369363253909,-1.2816475147143185,0.03892279680553725,2.8508783724056657,2.2758317026278547,0.39390411698345673,0.03169128125404845,r8030058.trees
0,10001.0,250,36,5.554491257823791,-0.42776132586652926,-0.690135503774658,0.04217956531709988,1.7996543359947896,1.3272227319552514,-1.3917161322399083,0.05193758906594118,r8030059.trees
0,10001.0,250,41,5.365795358727766,-0.7264779108499135,-0.6307589139200148,0.04090110197880339,1.6735337495937088,1.2306215820382087,0.24882523382299251,0.02829058168156497,r8030060.trees
0,10001.0,250,43,4.552885264792646,-1.2326175648034663,-1.122423166643669,0.02545439559925364,2.3971439414548437,1.9415182211018889,-0.2817474786740158,0.036274128773157145,r8030061.trees
0,10001.0,250,39,4.773890070288195,1.593612470448307,-0.5348106561850103,0.03855354786718622,1.4659260375637821,1.0619872890127335,-0.8296699487375273,0.04469490866692576,r8030062.trees
0,10001.0,250,72,4.788073988907071,-1.45458404320824,-1.5212386314169573,0.021887431923519968,3.054249547293475,2.5793619989652585,-0.16316950695848229,0.0361904607678024,r8030063.trees
0,10001.0,250,50,5.137210952399034,-1.4777107260146094,-1.4287631142966075,0.02233608862435407,2.9159070658891024,2.422680071110616,0.426280975163091,0.030941949616648413,r8030064.trees
0,10001.0,250,40,5.773728923382359,-2.8310488664583766,-2.337823597405309,0.02357051164741733,4.642461886504436,3.8840064583654077,-0.3513946007836511,0.039016280174461286,r8030065.trees
0,10001.0,250,38,3.5609383326207618,-0.5557345895892076,-0.9786504987166396,0.016778307380372674,2.0305749633638506,1.6609715498815165,-0.46953471238330824,0.04149663168804249,r8030066.trees
0,10001.0,250,42,4.100542537850339,-0.3653766088141129,-1.350797203458025,-0.0035022432308756306,2.468348236680005,2.154714310926634,-0.6317162172182316,0.04230542240647177,r8030067.trees
