#/home/enes/bim/BIM.py trees/ir3040030.trees,trees/ir3040031.trees,trees/ir3040032.trees,trees/ir3040033.trees,trees/ir3040034.trees,trees/ir3040035.trees,trees/ir3040036.trees,trees/ir3040037.trees,trees/ir3040038.trees,trees/ir3040039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/601053800.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,bsfs,FayH,FerL,ZngE,TajD,btree,Colless,path
0,100001.0,50,490,0.335565641058148,0.063792860567599,0.028141937017078896,0.21933820986900657,-0.17597334841311046,0.03162520621622316,-0.933704732835626,0.13754965073277634,ir3040030.trees
0,100001.0,50,377,-0.22741671068577193,0.3632809642302784,0.019575028323003698,0.10358547687413898,-0.03706374882132442,0.10413030793663343,0.13693368714019302,0.11392857142857142,ir3040031.trees
0,100001.0,50,441,0.03301382541158865,-0.19721045164195636,-0.030996572875534492,-0.28652154527262075,0.2729139780790247,0.04203657055829521,-1.0815905260465568,0.17796579063279983,ir3040032.trees
0,100001.0,50,394,-0.3220733119029804,0.41168749189168957,0.010149013704880572,-0.03535935205014076,0.13696500385675694,0.20532387948873768,-0.456777689031468,0.144246946090264,ir3040033.trees
0,100001.0,50,377,-0.0703765568675229,0.35981161515738186,0.04930936196330081,0.3438868486582631,-0.23876597621097317,0.12137267584565745,-0.6584539076668057,0.12882653061224492,ir3040034.trees
0,100001.0,50,375,-0.5662889980446245,0.51149448318763,0.017139683148568164,-0.08662022076215083,0.278331371229718,0.3924130317582625,-0.03317256956676913,0.15084638506565415,ir3040035.trees
0,100001.0,50,379,1.123313607127608,-0.9658422805470583,-0.07645164537025288,-0.49577738486611644,0.30458994644903115,-0.25181048647802867,-0.2863952136149571,0.13044217687074833,ir3040036.trees
0,100001.0,50,428,-0.7312301057441609,0.13242373298974394,0.01957533344296472,0.16513632273021048,-0.14468732595151168,0.00015003322814861227,-0.9166008427177534,0.1402626744128308,ir3040037.trees
0,100001.0,50,486,-1.4341271636042652,0.3272139819010143,-0.02830431193283407,-0.4523569794821197,0.5834404158994891,0.36112228205866603,-0.5005620767617824,0.14090330788804076,ir3040038.trees
0,100001.0,50,413,0.2942588864468181,-0.12476734756891505,0.033681053517508684,0.45630749150726424,-0.5509160378563726,-0.2922762572896068,-0.5142714964897142,0.1304047042545832,ir3040039.trees
