#/home/enes/bim/BIM.py trees/ir8030170.trees,trees/ir8030171.trees,trees/ir8030172.trees,trees/ir8030173.trees,trees/ir8030174.trees,trees/ir8030175.trees,trees/ir8030176.trees,trees/ir8030177.trees,trees/ir8030178.trees,trees/ir8030179.trees,trees/ir8030180.trees,trees/ir8030181.trees,trees/ir8030182.trees,trees/ir8030183.trees,trees/ir8030184.trees,trees/ir8030185.trees 250 --stats=all --eta=etas/BC.json --out=outs/354125767.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FerL,TajD,bsfs,ZngE,FayH,Colless,btree,path
0,10001.0,250,43,-1.6369665763827614,-1.3731375056001363,2.746696354452888,4.914938622843199,2.2946626442844726,0.015998938371330033,0.06354450058297707,-1.6768042239982097,ir8030170.trees
0,10001.0,250,44,-0.48003675619142216,0.15410404214991763,1.727109526459129,1.6502490360150786,0.625006943534759,0.16358722529718536,0.03638208748974392,-0.16011511444605028,ir8030171.trees
0,10001.0,250,51,-0.4702188642782445,-1.6885049325389925,3.3109661110891633,5.828908869082785,2.805628239951337,0.015713368775467786,0.04848425961912165,-0.7796474925852597,ir8030172.trees
0,10001.0,250,38,-0.10348350060033198,-0.9828995114501058,1.9499907211298801,4.246572992012315,1.6296921942309983,0.009473172406013747,0.05337478948050265,-0.9916824299243613,ir8030173.trees
0,10001.0,250,42,-0.36537660881411277,-0.24206822066270559,1.005809687606805,4.403606505299366,0.6299527136392538,0.04537745592083763,0.04673532841041586,-0.6961988412852669,ir8030174.trees
0,10001.0,250,36,0.9965491512867024,-0.5890215630962954,1.4664686465441013,4.883118408564667,1.1029230772946126,0.030227421823641812,0.044889234356781965,-0.3945687226815853,ir8030175.trees
0,10001.0,250,33,-1.2362480586115812,-0.8674233213481363,2.2610042750225277,3.8740957941655143,1.6627699281237107,0.05294390282144548,0.04153711620676254,-0.7361771122361436,ir8030176.trees
0,10001.0,250,40,-1.103917891504699,-1.5551689019641821,3.1144434487677053,5.131211830687232,2.5950234555912637,0.01782815940874011,0.0422820313512113,-1.179978655358951,ir8030177.trees
0,10001.0,250,47,-1.7536309308926519,-2.0936014004129158,4.023634048806528,6.364628035209004,3.4357931150171614,0.012050703731577598,0.03787731571447079,-0.4593552413977827,ir8030178.trees
0,10001.0,250,72,-1.45458404320824,-2.242897205805267,4.267493089269981,6.745974787305673,3.6986891930266634,0.013865227626879188,0.04505117243166213,-0.6121816398310447,ir8030179.trees
0,10001.0,250,43,-0.8282685532241707,-1.420744061718143,2.853145697453073,6.04139371976012,2.379079637873935,0.017467623983724603,0.0483385153517295,-0.9790796928043433,ir8030180.trees
0,10001.0,250,39,-2.3823948674549356,-1.6737851699089314,3.425975234576089,5.80721566356546,2.8227644935170413,0.02504672444449652,0.03449280994947532,0.20839349270101293,ir8030181.trees
0,10001.0,250,41,0.11798520688042173,-0.449038011316398,2.7001702843200386,3.8208391146139484,1.528171038331268,0.15261187589245997,0.04729401476875243,-1.0532076509397459,ir8030182.trees
0,10001.0,250,36,-1.8520718030197607,-0.8681178806969402,2.1262504444427446,4.841911119769298,1.6104624418551827,0.04163743757068185,0.03559398885866045,-0.27678201035461264,ir8030183.trees
0,10001.0,250,31,-1.671266365788143,-1.1854776165649223,2.7959238400953703,4.5014841647658965,2.142162055653846,0.04749175149864575,0.051517899555210085,-1.0504521708230075,ir8030184.trees
0,10001.0,250,83,-0.7900869655883193,-1.3190222981208328,3.003952291162475,6.327209064418363,2.4009289030465295,0.047108631365072456,0.04223344992874725,-0.5044060918416209,ir8030185.trees
