#/home/enes/bim/BIM.py trees/r3070080.trees,trees/r3070081.trees,trees/r3070082.trees,trees/r3070083.trees,trees/r3070084.trees,trees/r3070085.trees,trees/r3070086.trees,trees/r3070087.trees,trees/r3070088.trees,trees/r3070089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/142404522.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,bsfs,FulD,FayH,FerL,ZngE,btree,Colless,path
0,100001.0,50,343,-0.3507462403230853,-0.5598266798166532,1.1541546394062248,-0.01575698791320355,0.0737755215656608,-0.24536785626837854,-0.32209689991464374,0.13118828176431857,r3070080.trees
0,100001.0,50,380,0.0982003117952953,-0.09997698777059033,-0.368462516479706,-0.035436479103816775,-0.35632822619173515,0.3629501220678955,0.14801753061732306,0.12242772108843543,r3070081.trees
0,100001.0,50,484,-0.24045616921891422,-0.39829507596248276,-0.26260713693406196,-0.03370941290099476,-0.14319605388486278,0.0011941366142643026,-0.00724799344565753,0.12845554888622118,r3070082.trees
0,100001.0,50,410,-0.1833354253275392,-0.01354362989940575,0.031525144730729905,0.021984285280070293,0.2934300707595166,-0.3518742441049908,0.2795764088145082,0.10348090849242918,r3070083.trees
0,100001.0,50,390,0.4276479642978113,1.4246123501582495,-0.25364708659114094,0.09065106536957218,0.512188191362323,-0.22821555428631712,0.7361523877040766,0.10419439514936413,r3070084.trees
0,100001.0,50,442,-0.42033705181721925,-0.8209816314524429,1.5003587718620264,0.0008862299261685144,0.2552481917210938,-0.4409898646626317,-0.44151534641312934,0.14493916123150297,r3070085.trees
0,100001.0,50,401,-0.29019877600696853,-1.2079337505560812,1.4723246385092648,-0.03167510393002534,-0.09616096090080883,-0.06552280854874008,-0.33084266090711334,0.1610108145822432,r3070086.trees
0,100001.0,50,415,-0.14432700413753755,0.019069961532938426,0.31267288061640547,0.040232021164714034,0.42444104542883065,-0.44659026642891764,0.41755502473595507,0.13325248132039702,r3070087.trees
0,100001.0,50,444,-0.3951513471643571,-1.3992594032702483,1.3119574311842552,-0.04988422393764014,-0.1883517899398309,-0.03907959809375929,-1.4758752815489167,0.14260035697447304,r3070088.trees
0,100001.0,50,440,-0.007749421817911135,-0.3198944053924888,-0.026770235848594528,-0.05471277983108718,-0.45742691463266527,0.39701685590454844,0.18315156262012003,0.12273242630385492,r3070089.trees
