#/home/enes/bim/BIM.py trees/r8090238.trees,trees/r8090239.trees,trees/r8090240.trees,trees/r8090241.trees,trees/r8090242.trees,trees/r8090243.trees,trees/r8090244.trees,trees/r8090245.trees,trees/r8090246.trees,trees/r8090247.trees,trees/r8090248.trees,trees/r8090249.trees,trees/ir8090000.trees,trees/ir8090001.trees,trees/ir8090002.trees,trees/ir8090003.trees,trees/ir8090004.trees 250 --stats=all --eta=etas/BC.json --out=outs/435208516.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,FerL,FayH,bsfs,ZngE,FulD,btree,Colless,path
0,10001.0,250,67,3.6253094368352214,-1.809666142019866,0.024961032907580533,5.068155764912625,3.0601875391513165,-1.604848554541067,-1.2337758060478492,0.05180399015416505,ir8090000.trees
0,10001.0,250,64,3.0965001687388276,-1.5302286481967415,0.023292414160035163,4.243506451358045,2.598697744556554,-1.537551301806009,-0.737049915210117,0.04799844539448115,ir8090001.trees
0,10001.0,250,64,4.517934257568783,-2.329097997561228,0.020090805109939106,6.65780393735582,3.8693866633959417,-2.0976137869611753,-0.09135837849015674,0.03449280994947532,ir8090002.trees
0,10001.0,250,60,3.738614415696645,-1.9032523802043853,0.01960252639767428,5.637873326652963,3.177856854680869,-1.4380872487163567,-0.6428311355527194,0.041909573778986915,ir8090003.trees
0,10001.0,250,57,5.304895546032288,-2.8961550897763035,-0.001302323899501292,6.335153964402826,4.66137978619671,-2.60291653342219,0.4341465367137885,0.0316426998315844,ir8090004.trees
0,10001.0,250,81,4.075741178436347,-2.271619134192784,-0.004083572041588359,6.662577627155695,3.645184001197276,-1.1836338167682945,-0.2336457379660695,0.03770350218076608,r8090238.trees
0,10001.0,250,54,2.6199116749034697,-1.3948851209009283,0.004152862809303966,4.796045946718408,2.270609764561624,-0.6073324070137391,0.35491110262641373,0.031577924601632335,r8090239.trees
0,10001.0,250,80,5.007840803316378,-2.6406115052038515,0.016077990158063382,6.9415972070757475,4.356264838801577,-2.068241696713497,0.15474388317820337,0.031256072677808014,r8090240.trees
0,10001.0,250,71,4.593165821472777,-2.472944891237934,0.0063954538564926534,3.672042158654935,4.027333841295168,-1.6862643650923914,0.15055175357316217,0.030667472758417177,r8090241.trees
0,10001.0,250,63,3.550303099573601,-1.8564844314538957,0.011885731523540841,3.376829696338516,3.060741977352287,-0.6612269439215188,-0.364691082635753,0.04269497344215572,r8090242.trees
0,10001.0,250,64,4.334287744364168,-2.2180595330763038,0.021632110705737607,3.2629596530498794,3.6989042187466636,-2.937707514693925,0.22056616369365428,0.03326531934188367,r8090243.trees
0,10001.0,250,58,4.324706177213379,-2.2689406772463996,0.012559047835944564,6.580374830151611,3.7273925892747597,-2.3045064844089738,-0.732540124945353,0.0416051301982122,r8090244.trees
0,10001.0,250,62,3.6940592356204847,-2.003431708999533,0.0018576207526082302,3.534989971350303,3.2414163880479006,-1.4893146806158994,0.4871411043197303,0.027377250939240837,r8090245.trees
0,10001.0,250,72,4.095483211435716,-2.148391983501882,0.013890391379377974,6.555777050427472,3.5462967167651174,-1.7052891449451395,-0.47619075056196636,0.03841171136157533,r8090246.trees
0,10001.0,250,55,4.95560882508911,-2.849911612096885,-0.022885608391363756,3.725788313517764,4.467203132909031,-1.939940940975148,-0.0324960094795063,0.03568575376775921,r8090247.trees
0,10001.0,250,65,4.884739571421387,-2.592780559828092,0.011149116972428265,6.778360139761101,4.245124148765465,-1.836623754977502,-0.0792159908311913,0.036687970520073124,r8090248.trees
0,10001.0,250,53,4.222009293871274,-2.403759188088411,-0.01646512477183087,4.575440978161658,3.7830292791815863,-1.5644675274987263,0.13538280009661266,0.0319341883663687,r8090249.trees
