#/home/enes/bim/BIM.py trees/r3010020.trees,trees/r3010021.trees,trees/r3010022.trees,trees/r3010023.trees,trees/r3010024.trees,trees/r3010025.trees,trees/r3010026.trees,trees/r3010027.trees,trees/r3010028.trees,trees/r3010029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/796972837.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FerL,bsfs,FulD,FayH,btree,Colless,path
0,100001.0,50,294,-0.3706655809313276,-0.051564918745721326,-0.15873330516686168,-0.8640046896269178,0.6358960147205388,-0.04489987756131342,-0.4515407289398723,0.14001057740169226,r3010020.trees
0,100001.0,50,331,-0.28582308715835186,-0.4778777945231488,0.37743776270552576,-0.22643295948504555,1.0914573846849775,0.024922243278276666,-0.35163298958195544,0.1614983655799982,r3010021.trees
0,100001.0,50,424,0.25527338406030514,0.6748779048386526,-0.6194455337574686,-0.04159924887436564,-0.14808141337561062,-0.05557710147340725,-0.3123287555841908,0.14368556701030932,r3010022.trees
0,100001.0,50,436,0.41892242287076825,0.23833982133406176,-0.024965502292189596,0.6558804001152007,0.13910728681769538,0.02628709249351721,0.37511923001151914,0.11903390388413428,r3010023.trees
0,100001.0,50,406,-0.25965261849901944,-0.20804199143672414,0.0844041047884882,-0.611283689665307,0.53841342061925,-0.008126830314375005,0.2511697762763201,0.12492013379937608,r3010024.trees
0,100001.0,50,297,-0.2896280016439825,0.42749285030270073,-0.6581579446614501,-1.4278109904261833,1.0938071465518258,-0.09878823957752499,-0.42360257271215385,0.14000721500721505,r3010025.trees
0,100001.0,50,337,-0.3018595872608508,0.059790235679590215,-0.24572860800046162,-0.7428519915086346,0.8381082485633773,-0.05034907338504037,-0.40880919252237097,0.13799319727891166,r3010026.trees
0,100001.0,50,495,-0.21504301112395835,-0.33703155584973876,0.25748284991579373,-0.4171539232939743,1.1075407104563895,0.015442984854541878,-0.1431021294300584,0.12120969464018798,r3010027.trees
0,100001.0,50,481,0.04656372782052668,0.5675941376842114,-0.619849700600455,-0.3867041093699861,0.7732508101388709,-0.07006502788802015,-0.40646754792298706,0.1386697922412209,r3010028.trees
0,100001.0,50,509,0.1825635300397896,0.20399702180871196,-0.12489947948242872,0.05335095627323376,-0.09120748367148868,-0.002029794377477981,0.3014356304979967,0.13250572506230213,r3010029.trees
