#/home/enes/bim/BIM.py trees/ir8090056.trees,trees/ir8090057.trees,trees/ir8090058.trees,trees/ir8090059.trees,trees/ir8090060.trees,trees/ir8090061.trees,trees/ir8090062.trees,trees/ir8090063.trees,trees/ir8090064.trees,trees/ir8090065.trees,trees/ir8090066.trees,trees/ir8090067.trees,trees/ir8090068.trees,trees/ir8090069.trees,trees/ir8090070.trees,trees/ir8090071.trees,trees/ir8090072.trees 250 --stats=all --eta=etas/BC.json --out=outs/656361697.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,bsfs,TajD,FulD,ZngE,FayH,Colless,btree,path
0,10001.0,250,64,-2.0921998816592895,5.067276651760574,4.090046518910235,-2.3776450295387592,3.4897658709501655,0.020538463720483548,0.028727814483741416,0.4149954296151558,ir8090056.trees
0,10001.0,250,45,-1.6897795694846882,6.084049562218149,3.405570934315426,-0.5338766159724849,2.838457283607657,0.022140167951271574,0.04009586734032906,-0.22334935112251494,ir8090057.trees
0,10001.0,250,69,-2.3009986951783756,4.612244407806331,4.5133133390741165,-1.9076149048827615,3.8509552735070107,0.024434736004593297,0.037828734292006734,-0.27585646180067946,ir8090058.trees
0,10001.0,250,66,-2.3508549834605463,6.445280552398489,4.469652249158233,-1.8551255656661243,3.868242400083307,0.013459322717398855,0.03909185127607203,-0.31493320981779827,ir8090059.trees
0,10001.0,250,65,-1.9948465382631426,4.932937034392481,3.7351113256292514,-0.732644390844459,3.2559344613134384,0.0067586465909916646,0.053779634667703066,-1.2305026069477578,ir8090060.trees
0,10001.0,250,57,-2.146117597322501,6.310106784595302,4.114481814567152,-1.6669778810173417,3.5346557039760915,0.013602757209461672,0.034784298484259624,-0.027993829971488023,ir8090061.trees
0,10001.0,250,73,-2.020508143606939,6.7159907717318985,3.9169637562504063,-1.7238234572289757,3.3650299338486738,0.018262667724381895,0.04803083300945719,-1.0767971657728228,ir8090062.trees
0,10001.0,250,63,-2.479617910985716,6.283354696227264,4.657644657107658,-0.9454146926516992,4.050949556415629,0.009228785484250813,0.06064041110679277,-2.246124873340417,ir8090063.trees
0,10001.0,250,67,-1.903059025581334,6.45436521065096,3.706731823354826,-1.604848554541067,3.171471074600631,0.017956468177716376,0.04301075268817204,-0.590005559060078,ir8090064.trees
0,10001.0,250,68,-2.7924943280957173,4.548201701208064,4.847063405387433,-1.3614877967535142,4.393696830259734,-0.019910851552529026,0.0516582458867729,-1.2199608819194374,ir8090065.trees
0,10001.0,250,64,-2.5447991124511686,6.347847605303963,4.66072544956714,-1.8175825443835922,4.106277967298137,0.0002521621287244527,0.039869154035496825,-0.06714414774286646,ir8090066.trees
0,10001.0,250,63,-1.4669356314249025,6.37999976818386,2.9328510029349353,-0.09285144646115744,2.474659724972663,0.019442051516104272,0.03517294986397202,-0.030737911665710983,ir8090067.trees
0,10001.0,250,62,-1.7261395497245156,6.016440836259876,3.6390530236068552,-1.7777844950934463,2.9936032739097063,0.037605850039022004,0.07028112449799197,-2.2874941026381426,ir8090068.trees
0,10001.0,250,73,-2.058146874596295,6.371340549995234,3.882147517592953,-2.218756285826025,3.3799915141545993,0.0101922511678267,0.05318046379064646,-2.0841234381670026,ir8090069.trees
0,10001.0,250,66,-2.557277007774304,4.324263439877748,4.544591534911102,-1.58305216439958,4.067815255364282,-0.010303248880196595,0.04822515869931338,-0.8710463212483611,ir8090070.trees
0,10001.0,250,74,-1.7455083086872287,6.223180397772434,3.432040902252086,-2.230507027577472,2.9291802965566256,0.019620114291575022,0.034849073714211684,-0.17354585613832982,ir8090071.trees
0,10001.0,250,71,-2.452110099251308,6.835278068646607,4.535275581173282,-1.4322345146311273,3.9849135302874186,0.004841251382987475,0.04198514488059766,-0.7872531977907782,ir8090072.trees
