#/home/enes/bim/BIM.py trees/r3030080.trees,trees/r3030081.trees,trees/r3030082.trees,trees/r3030083.trees,trees/r3030084.trees,trees/r3030085.trees,trees/r3030086.trees,trees/r3030087.trees,trees/r3030088.trees,trees/r3030089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/665012159.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FerL,FulD,bsfs,TajD,ZngE,Colless,btree,path
0,100001.0,50,329,-0.23638529778458464,-1.3288703622623461,0.9831884838790257,-3.134288116222848,-1.1179412062084846,0.5884783648658691,0.21802024903528697,-1.8413676000638446,r3030080.trees
0,100001.0,50,352,-0.3242959488631959,-2.059052096346214,1.461069213783,-3.3374761386484053,-1.137478740872118,1.2179235360909229,0.24427032717849048,-2.229362943018962,r3030081.trees
0,100001.0,50,438,-0.19019979853872562,-0.8899638600425502,1.307283513155249,-2.972594321990539,-1.2147514285872494,0.15253446206097074,0.17130404074197986,-1.9739590941885745,r3030082.trees
0,100001.0,50,384,-0.18417371238294894,-1.2223434822770654,0.25641299106700105,-1.7240202429359266,-0.559569168316908,0.78256837611228,0.1649989453145598,-1.1751019868363202,r3030083.trees
0,100001.0,50,320,-0.10184354490402944,-0.3876635972176124,1.0106378136280811,-2.1037730845869445,-0.7955633491894405,-0.06994844752939663,0.17871315192743756,-1.370239405765939,r3030084.trees
0,100001.0,50,259,-0.1652665940027618,-0.5483133780389199,2.7594024829629293,-3.3534866008059008,-1.4208147562104014,-0.2490543502957254,0.2291447506837789,-2.4929669299051715,r3030085.trees
0,100001.0,50,210,-0.03928300696074965,-0.6329809979271577,-0.2576338918222468,0.5734184404930017,0.5246940172346437,0.8219061703540771,0.17392726321297747,-0.8519050191407556,r3030086.trees
0,100001.0,50,336,-0.33523665461390373,-2.0102317955514035,1.0264244963608142,-3.488423406284539,-1.3733537218811414,1.0537760403290894,0.21898759503801518,-2.414917079337966,r3030087.trees
0,100001.0,50,347,-0.147320966481203,-1.0983868482879675,-0.005317198373451771,-1.2006556445974657,-0.23910049496424096,0.839194446553024,0.17067189194518395,-0.6017581059739501,r3030088.trees
0,100001.0,50,382,-0.26045918660763834,-1.5230082156557605,2.096202045384308,-3.4652545551914473,-1.1403529799082093,0.7464271945896663,0.21798443303701845,-1.5827403321960833,r3030089.trees
