#/home/enes/bim/BIM.py trees/r8120034.trees,trees/r8120035.trees,trees/r8120036.trees,trees/r8120037.trees,trees/r8120038.trees,trees/r8120039.trees,trees/r8120040.trees,trees/r8120041.trees,trees/r8120042.trees,trees/r8120043.trees,trees/r8120044.trees,trees/r8120045.trees,trees/r8120046.trees,trees/r8120047.trees,trees/r8120048.trees,trees/r8120049.trees,trees/r8120050.trees 250 --stats=all --eta=etas/BC.json --out=outs/384848446.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,bsfs,FerL,TajD,FulD,ZngE,btree,Colless,path
0,10001.0,250,91,0.00861493492210742,6.064182618015306,-2.489951030531945,4.623202819967987,-1.187969369883815,4.073143477382389,-0.1053091715855438,0.0365748709122203,r8120034.trees
0,10001.0,250,63,0.02000625674221564,6.56925884306751,-2.26215369574521,4.396173667215733,-2.366353436302602,3.760421647431562,0.44512263767191723,0.03069536209353543,r8120035.trees
0,10001.0,250,64,-0.0011446460674679607,5.203188646496252,-2.378821482078007,4.339209096643363,-1.537551301806009,3.8307307602487226,-0.22519110711965462,0.035011011789091856,r8120036.trees
0,10001.0,250,69,0.0057206121700531095,4.4010914217060195,-1.9784266152286307,3.6853944299179027,-1.6466632487056758,3.224837053893489,0.3711316352745044,0.032889623008161686,r8120037.trees
0,10001.0,250,64,0.014883232159428867,6.263552535038546,-2.0473037290056326,3.9360450802210636,-1.2575200592284255,3.3856922855538034,-0.9333238772563944,0.049585438528306776,r8120038.trees
0,10001.0,250,68,0.0033318024686293597,5.634728414210778,-2.625843514655669,4.8391160926573455,-2.1551565947983926,4.2557359540027235,0.5236283242894111,0.02460810985879,r8120039.trees
0,10001.0,250,89,0.025353180728697057,6.735212116130953,-2.3275531743378703,4.548197330045682,-2.1716056033941364,3.906977359207693,0.3362605516105305,0.029399857494494107,r8120040.trees
0,10001.0,250,64,0.04049893784254268,5.274171615296359,-1.7445779135323456,3.7073596465234893,-1.2575200592284252,3.0407626882401475,0.30215930827956955,0.030836248218681177,r8120041.trees
0,10001.0,250,68,0.04542979302025494,6.506823344535651,-1.8029984344626955,3.8730118578688364,-1.0969315307385548,3.1651880750187313,0.22000562984494823,0.030590102344863323,r8120042.trees
0,10001.0,250,63,-0.027199873375136165,4.03242360866375,-2.4425203996613543,4.127526080681176,-2.3663534363026018,3.787564393253603,0.19802871513606893,0.0332674785162154,r8120043.trees
0,10001.0,250,75,-0.006467575705660719,5.614241043885724,-2.5105338152847416,4.4894894734070165,-1.277026424078354,4.0161289183489375,-0.1195056394033938,0.028172906680485388,r8120044.trees
0,10001.0,250,81,0.01742949905873339,6.410656100808369,-2.0941800419864003,4.030702781678636,-1.85650746432851,3.481894141100066,0.9412037648778233,0.023493975903614454,r8120045.trees
0,10001.0,250,67,0.01433920164862097,6.706174379824716,-2.2870625680298993,4.362420346363762,-1.0683244134544407,3.7706901116354015,0.05325745503925359,0.03239841084769184,r8120046.trees
0,10001.0,250,93,0.009887643109063529,6.745120642955412,-2.4002118047491017,4.474917936999154,-2.014760352312582,3.935969321597186,0.1539003205023969,0.03162650602409638,r8120047.trees
0,10001.0,250,66,-0.008586498533589556,5.22535496994276,-2.7957210511920656,5.0024178607371335,-2.943419170732301,4.462140365557126,-0.20655098741977537,0.03559938679448979,r8120048.trees
0,10001.0,250,80,0.014774369334436535,6.738003576214396,-2.047135095407799,3.9120979171152337,-0.9335039346803655,3.3904166648587526,-0.2463877994877606,0.03541765628823537,r8120049.trees
0,10001.0,250,58,0.0004192606900887993,6.359703005981596,-2.2293827246620266,4.098999334037453,-1.997531369973725,3.59642538994776,-0.7631755694964679,0.046443839875631554,r8120050.trees
