#/home/enes/bim/BIM.py trees/ir8090186.trees,trees/ir8090187.trees,trees/ir8090188.trees,trees/ir8090189.trees,trees/ir8090190.trees,trees/ir8090191.trees,trees/ir8090192.trees,trees/ir8090193.trees,trees/ir8090194.trees,trees/ir8090195.trees,trees/ir8090196.trees,trees/ir8090197.trees,trees/ir8090198.trees,trees/ir8090199.trees,trees/ir8090200.trees,trees/ir8090201.trees 250 --stats=all --eta=etas/BC.json --out=outs/841285639.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,FerL,TajD,bsfs,ZngE,FayH,btree,Colless,path
0,10001.0,250,85,-0.8426624617688637,-2.1648582250247683,4.120923304703694,6.918247622614636,3.5822234631802345,0.014820273034212211,-0.8927305692677447,0.050168415597875375,ir8090186.trees
0,10001.0,250,83,-1.0092480510360404,-1.7046746506348829,3.335091488798955,6.422729681437481,2.859614057287632,0.018514128317504607,-0.9404336795536232,0.04398238113745304,ir8090187.trees
0,10001.0,250,61,-1.4640919793747555,-1.9880916188596174,3.6395288844283704,3.702447055879207,3.2038891513022687,-0.0003836101548124471,-0.5242463955471307,0.04200673662391501,ir8090188.trees
0,10001.0,250,85,-1.4854445640570357,-2.0795562994141834,3.8575530187444627,4.27140868286884,3.3961324172170135,0.006426377013973044,-0.2647827070243086,0.04022541780023319,ir8090189.trees
0,10001.0,250,84,-2.33345384609041,-2.33827912849514,4.482044055861569,6.881285629901101,3.8821467361919915,0.01831401433890421,-0.41373997377657007,0.03883275035626377,ir8090190.trees
0,10001.0,250,70,-1.6667293489390869,-2.167531307319675,4.036123697593046,6.126285360832285,3.5334485159180153,0.006277753770624033,0.48986256216966384,0.03041197046249514,ir8090191.trees
0,10001.0,250,57,-1.3549983302157254,-1.9968214743728163,3.83499825424582,6.508774584829782,3.2917229994192554,0.013191999793726587,-0.25647835727659657,0.03744008291229434,ir8090192.trees
0,10001.0,250,56,-2.276921281139255,-1.7099931191650726,3.365644639531472,5.559210758020552,2.8534356050915193,0.017640324263538485,0.19465569523166432,0.03355356911517036,ir8090193.trees
0,10001.0,250,62,-0.9123750516608062,-1.6276013034321126,3.200940361754065,6.381097467279999,2.721314790473914,0.017280261079774616,-0.5894589520070862,0.03698665630262988,ir8090194.trees
0,10001.0,250,65,-1.836623754977502,-2.280953449823782,4.224825930793714,4.31325794672401,3.7026337569315966,0.0041115332542805035,-0.2964333599674654,0.04029019303018526,ir8090195.trees
0,10001.0,250,75,-2.2419631114975305,-1.797502876473523,3.732335819345436,5.735441238275879,3.1050241084573638,0.03571657098992417,-0.7986774064349603,0.04304314030314808,ir8090196.trees
0,10001.0,250,58,-2.3045064844089738,-2.169747701234424,4.378635170811191,5.23041658361233,3.6711091647705953,0.0312818535784189,-0.04403956923945499,0.032743878740769526,ir8090197.trees
0,10001.0,250,73,-0.9814242143334014,-1.9211050794608673,3.7065795381378512,4.970812532013007,3.191651620891784,0.015984487404911492,-0.6591109141155151,0.0381849980567431,ir8090198.trees
0,10001.0,250,77,-2.264034625106887,-2.261220659647227,4.395921641467236,6.220247682757069,3.775377235440177,0.02182381011198361,-1.2385405874179125,0.048095608239409254,ir8090199.trees
0,10001.0,250,75,-2.0007289396427366,-1.6842155588538648,3.3883843308772574,6.250866721730574,2.861146854914285,0.024996045016276672,-1.617545050327062,0.06066200285011012,ir8090200.trees
0,10001.0,250,75,-2.000728939642736,-1.9790255685215188,3.9151932592352403,4.0599471555668645,3.332585630249321,0.024206314898371054,-1.4941501716425172,0.0589778468713564,ir8090201.trees
