start,end,N,SS,TajD,FerL,FulD,FayH,ZngE,bsfs,btree,Colless,path,iColless,ibtree
0,10001.0,250,68,-1.0157924426942555,0.13307780199062813,2.60685619347088,-0.06057749976363148,-0.5560015464713954,-1.5038188333761229,-1.7654614502249308,0.0699190772305813,9030000,0.05209223992745175,-1.0901758503298713
0,10001.0,250,62,-1.1270707384840146,-1.165889497007044,1.3953834641595666,-0.2574925647946105,0.4440856387431059,-1.3132303089070372,-1.5475900355927477,0.06709446481578488,9030001,0.06514498855637604,-1.6129012287947575
0,10001.0,250,40,-0.8344160967221678,0.9773802541535412,-1.5357006352431184,0.08094849595140835,-1.1461711134361283,0.15479295468837814,-0.14380259372133594,0.039139083214578735,9030002,0.06605993867944898,-1.5837970651254667
0,10001.0,250,80,0.18099994918639287,-0.5639995538960257,-0.025713725053859642,-0.06552052577082404,0.5357807375139068,-0.3235447804537766,-0.425711272887236,0.044268317509670016,9030003,0.06239833887521413,-1.6461420144106362
0,10001.0,250,77,-0.7194952274258376,0.3157957436865748,0.0890516912999178,-0.011258818731120291,-0.5740882464243139,-0.4308272344380444,-0.6081658953865018,0.04962280885327912,9030004,0.07792244245800405,-2.5788029054028887
0,10001.0,250,50,-0.940655413885784,-0.004243063864777817,-0.06896314663617219,-0.07615930250764129,-0.4069275669647659,-0.5351668710886652,-0.9288295907964988,0.05570893138739607,9030005,0.06830547998445394,-1.9932729119997088
0,10001.0,250,51,0.2040062750316452,-0.21227274102177385,0.22141660071262054,-0.015036529041317004,0.260048324070951,0.4066710413938959,0.16153849770866335,0.03389960521201957,9030006,0.051538411711361566,-1.1513906791489157
0,10001.0,250,72,-1.3420345689409408,-1.0167896761708146,1.3031720758976524,-0.2496269411640723,0.22663604966421866,-1.4819626150514889,-1.3288046099460509,0.06605394097297193,9030007,0.09355972276201578,-2.648451938533174
0,10001.0,250,37,-0.8115896776034969,0.790261871884637,3.6758179090864913,0.05510356403784699,-0.984099536675055,-0.7643447422508927,0.0947468655099901,0.03626198341754114,9030008,0.05918605296763089,-1.8163623234063808
0,10001.0,250,54,-0.6949323443427701,-0.5964460729181953,1.032795149149692,-0.14301652481174612,0.1764169290056768,-0.6558945802102769,-0.306270925385633,0.04206827309236949,9030009,0.06688505172764793,-1.4842501938254362
