#/home/enes/bim/BIM.py trees/r3080060.trees,trees/r3080061.trees,trees/r3080062.trees,trees/r3080063.trees,trees/r3080064.trees,trees/r3080065.trees,trees/r3080066.trees,trees/r3080067.trees,trees/r3080068.trees,trees/r3080069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/913980367.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FerL,ZngE,FulD,FayH,bsfs,btree,Colless,path
0,100001.0,50,367,-0.5774231957114816,0.28773251307265724,-0.5499255922014387,1.5092685354521824,-0.006184586137037496,-1.4262297360019969,-0.9176961824934452,0.12258199369133123,r3080060.trees
0,100001.0,50,414,-0.04400514922107175,-0.4596335835077668,0.38017875737600326,-0.28676412500011284,-0.05755736910016602,-0.3258388999234208,-0.5446233595566161,0.1545002616431188,r3080061.trees
0,100001.0,50,392,-0.5799840057710001,0.01902490449503477,-0.3160032216146986,0.6372698095030733,-0.038261833209856225,-0.9963047795451637,-1.0199911124242518,0.17642943253250665,r3080062.trees
0,100001.0,50,510,-0.16394342795151517,-0.15813786215871042,0.05384292994476392,-0.24285532484612526,-0.030122347611373324,-0.17272192813565176,0.15017235740891274,0.12280636892438143,r3080063.trees
0,100001.0,50,533,0.4055739035880186,-0.44247965116795435,0.5980074180960757,0.20964567306786333,-0.023988218563487495,0.14020168934537944,-0.440643009261145,0.14021400226757363,r3080064.trees
0,100001.0,50,529,0.4397507485507514,-0.3481045479188498,0.5329130712000922,-0.6609299845964701,-0.010460589250444585,0.36245376931218953,0.09746512290571796,0.11169665234514864,r3080065.trees
0,100001.0,50,371,-0.10147791102335174,-0.2240719976950932,0.14402718335548614,0.26092431823803425,-0.03370262982618192,-0.22982263225561703,0.16920451861344837,0.13336592121878696,r3080066.trees
0,100001.0,50,359,-0.09242288819315372,0.38289166704867894,-0.38317060694559163,1.245015359752147,0.039036343260321765,0.13617990382609904,-0.4005083816963523,0.1485714285714286,r3080067.trees
0,100001.0,50,453,-0.07824985379246864,-0.27004107242344555,0.1963097028536047,-0.2840716396063596,-0.03742753441070536,-0.13574510874517431,0.28057903136543677,0.12355564235263475,r3080068.trees
0,100001.0,50,465,-0.14207102629905205,-0.4479657133777221,0.3193168759151259,0.7536957542713701,-0.06292205482267638,-0.6094872542882683,-0.3865466102668113,0.1428267735665695,r3080069.trees
