#/home/enes/bim/BIM.py trees/ir3030030.trees,trees/ir3030031.trees,trees/ir3030032.trees,trees/ir3030033.trees,trees/ir3030034.trees,trees/ir3030035.trees,trees/ir3030036.trees,trees/ir3030037.trees,trees/ir3030038.trees,trees/ir3030039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/942335630.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,ZngE,FulD,FerL,FayH,TajD,btree,Colless,path
0,100001.0,50,362,-3.7794811496819305,0.6318702050240451,2.065898622062361,-1.5952059106833207,-0.29338014284346503,-1.4856245101825285,-3.015436779018157,0.3430639301175016,ir3030030.trees
0,100001.0,50,458,-0.6017447159438594,0.8356181465034327,0.3625164769160698,-0.9380897990598934,-0.10925657395662983,0.02541411362275846,-1.5217499248588242,0.1998458261809396,ir3030031.trees
0,100001.0,50,385,-0.18778444188409127,0.6000794258693395,-1.0216323818306345,-0.6978440072673379,-0.08438202998712273,-0.0223499585529231,-1.1516873958219873,0.19881472997362198,ir3030032.trees
0,100001.0,50,353,-2.4868305525365217,0.4254786637013845,1.6991053969953038,-0.8436919834614112,-0.14285191421683294,-0.6087879268592309,-1.5277836897350978,0.19413737717309143,ir3030033.trees
0,100001.0,50,355,-1.3874751848463016,0.6425380582591562,-0.12097699400827965,-1.0653278589524218,-0.16608033464832703,-0.5644398625835815,-1.8854087806161224,0.21151716500553705,ir3030034.trees
0,100001.0,50,413,-1.735835602319895,1.2940230215452222,-0.028471560211568887,-1.7968765446977562,-0.2510174753290803,-0.5442840954104273,-2.463432036612547,0.2818734235267141,ir3030035.trees
0,100001.0,50,397,-3.8542603179802475,0.07020370706736048,2.7882466477373136,-1.0370501391722178,-0.23652721502836138,-1.6249699256959251,-3.2690467512119263,0.3239283665273338,ir3030036.trees
0,100001.0,50,314,-2.9952826062365228,0.20596011127000405,1.422082944461196,-0.9087056042249719,-0.1885093740225724,-1.1464729325013399,-1.726153363068231,0.21078854076842019,ir3030037.trees
0,100001.0,50,341,-2.8997933421852,0.6022236699330972,1.4837716851254374,-1.2032909400030938,-0.20448871799339732,-0.8773987369970192,-2.714219112366408,0.2761503477795612,ir3030038.trees
0,100001.0,50,340,-2.390033649990143,-0.020011527244864834,1.889276548091961,-0.486932466769255,-0.118555975330824,-0.8669180482598461,-1.9835086432777003,0.22492962702322306,ir3030039.trees
