#/home/enes/bim/BIM.py trees/r8000085.trees,trees/r8000086.trees,trees/r8000087.trees,trees/r8000088.trees,trees/r8000089.trees,trees/r8000090.trees,trees/r8000091.trees,trees/r8000092.trees,trees/r8000093.trees,trees/r8000094.trees,trees/r8000095.trees,trees/r8000096.trees,trees/r8000097.trees,trees/r8000098.trees,trees/r8000099.trees,trees/r8000100.trees,trees/r8000101.trees 250 --stats=all --eta=etas/BC.json --out=outs/486177619.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FulD,ZngE,FayH,bsfs,FerL,TajD,btree,Colless,path
0,10001.0,250,75,-1.5182605959331483,0.882649699409867,-0.0646491912116627,0.43399447282902703,-0.7745722717599823,0.5808603487298847,-0.15656656258426682,0.04439220903464977,r8000085.trees
0,10001.0,250,47,-0.6352593633139789,0.40599750952249114,0.09176330417753455,3.2161727128328645,0.05487713524231318,1.0348421776035057,-0.07550578602355953,0.03773655415707495,r8000086.trees
0,10001.0,250,69,-0.34190496782024987,-0.12989695711268645,0.03438671006902453,0.2999219487379762,0.20072801193706669,0.07254914210611274,0.22413146703588152,0.0332111857568523,r8000087.trees
0,10001.0,250,54,0.04871861545163329,-0.7530541202553881,0.049027319643442625,-0.2258462130986148,0.634245118057111,-0.5529513102117904,0.13031034728248314,0.03263116984065293,r8000088.trees
0,10001.0,250,60,0.34651766572059567,-0.837926406168961,0.07049410773336072,-9.217709932130886e-06,0.7625957706506606,-0.5075316537603111,-0.2121522857883711,0.03680185638188429,r8000089.trees
0,10001.0,250,52,0.5014812498441636,-0.25321404322694674,0.06589172545782003,0.9934116797004464,0.38050659915774393,0.12198309551680554,0.21262897853647383,0.03352442026169193,r8000090.trees
0,10001.0,250,55,-0.3274609709916464,0.6855017659419802,0.024189490594535415,0.8012879333322656,-0.34279702665148315,0.9343505838649689,0.09732293378370657,0.03387614976033165,r8000091.trees
0,10001.0,250,73,-0.9814242143334017,0.4950467939886768,-0.07250966511360091,-0.5651811938811687,-0.5615831241677034,0.09442061729360476,-0.08879167291114398,0.034318726518979145,r8000092.trees
0,10001.0,250,93,-0.24470333336840205,0.21440621117000372,-0.01047705012500811,0.2622760865053184,-0.1702682325672193,0.17219919941481707,0.34198256960218393,0.03327827438787408,r8000093.trees
0,10001.0,250,74,0.701218773867402,-0.38884569747983994,-0.10750794503523271,-1.3394607185417917,-0.13751441251396573,-1.1283508115558372,-0.5903793120854934,0.04422667629041511,r8000094.trees
0,10001.0,250,54,2.01687168284775,-0.8948964764081311,0.006617679359279506,-0.6493715422746319,0.5778606701294005,-0.9808230445261944,0.2687544177660998,0.03361564537720775,r8000095.trees
0,10001.0,250,61,-2.3427416725854724,-0.13009404833277263,-0.028532863840508894,-0.09602430108917424,-0.017835426262294726,-0.32845783506273046,-0.3171013352327737,0.04410506149721074,r8000096.trees
0,10001.0,250,59,1.005769546475591,-0.7623030360661393,0.06767610869684398,-1.6692835213947237e-05,0.7055983712796351,-0.44045098101573726,0.04209558955416325,0.037475506866174374,r8000097.trees
0,10001.0,250,47,0.11032168173846947,-0.23747584779237027,-0.01408172121442771,-0.1865415242145269,0.100376002894007,-0.3601429519910115,0.18840742044395767,0.03578591546592583,r8000098.trees
0,10001.0,250,60,0.9413859705329131,-0.6320965109998797,0.035736890250518585,-0.4507162088019589,0.5151645979544156,-0.4931019165672735,-0.053909831971681,0.0318790094667799,r8000099.trees
0,10001.0,250,81,-0.5107601692080787,1.6961114064094862,-0.15943588443928775,-0.42220338477996855,-1.6159271680987364,0.8806452510094517,-0.7437774773973022,0.04440342013214147,r8000100.trees
0,10001.0,250,54,1.3608206603823778,-0.9802325280772612,0.09391186440343388,-1.852210744612908e-05,0.9280522306673284,-0.5311250986852718,0.4913995082666595,0.03197521267867168,r8000101.trees
