#/home/enes/bim/BIM.py trees/ir8100186.trees,trees/ir8100187.trees,trees/ir8100188.trees,trees/ir8100189.trees,trees/ir8100190.trees,trees/ir8100191.trees,trees/ir8100192.trees,trees/ir8100193.trees,trees/ir8100194.trees,trees/ir8100195.trees,trees/ir8100196.trees,trees/ir8100197.trees,trees/ir8100198.trees,trees/ir8100199.trees,trees/ir8100200.trees,trees/ir8100201.trees 250 --stats=all --eta=etas/BC.json --out=outs/607925485.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,bsfs,ZngE,FerL,TajD,FulD,Colless,btree,path
0,10001.0,250,88,0.10121831869584176,1.52174174175895,2.065211226428017,-0.9167335623370573,2.9737639530928432,-1.5391871922508327,0.04403327596098681,-0.7181541342639735,ir8100186.trees
0,10001.0,250,94,0.13381389940413682,2.6372495789731145,1.3716331926913554,-0.3683031547658425,2.406410496202918,-1.4421831621258125,0.04131849980567431,-0.44842779796387505,ir8100187.trees
0,10001.0,250,105,0.04624198034749421,1.6581632468101202,1.6727265569191971,-0.867265738553133,2.1703781482335853,-0.3872186181888229,0.04304143569183355,-0.6803336293417179,ir8100188.trees
0,10001.0,250,93,0.10462266318667554,2.2150804690251067,1.7326347982647288,-0.6968537351913275,2.621307276068364,-1.0313953417880375,0.06422695389854349,-1.9990660189588525,ir8100189.trees
0,10001.0,250,148,0.14683384537290456,1.606975446559876,1.4531190143650814,-0.35552984172932395,2.5826098950173266,-1.2901091924341614,0.04408764088612515,-0.5296703664340694,ir8100190.trees
0,10001.0,250,95,0.06003561729659617,4.405669804820611,2.2568024484211047,-1.1807156157968812,2.9178999617635006,-2.2301492229023667,0.04891541974349009,-0.9852215143665183,ir8100191.trees
0,10001.0,250,121,0.051855686010814084,0.9655153500360232,1.4442294208534139,-0.7034410541234651,1.9482289248062776,-1.9609108179152808,0.044319452241462866,-0.5722477954826198,ir8100192.trees
0,10001.0,250,97,0.06487221614801326,2.5835388414992906,2.110840210478803,-1.07254765307941,2.784933261219976,-1.1146072251393742,0.04778972520908004,-0.5586632551742485,ir8100193.trees
0,10001.0,250,109,0.018256184094052455,2.215605260044472,2.3825974433334993,-1.4072407286845128,2.7779348105203643,-0.822232086408339,0.06469534050179211,-2.076877716872278,ir8100194.trees
0,10001.0,250,96,0.12749075798587584,3.4050163248709793,1.6410575712719346,-0.5569199055277687,2.666905623796038,-1.285225614471405,0.04738806341993284,-0.9395124030620207,ir8100195.trees
0,10001.0,250,120,0.166114327452302,2.4517537471568884,0.7536096539220313,0.1404564017933096,1.9306310996748899,-0.8732801108861944,0.03571509037552735,0.018943641544737707,ir8100196.trees
0,10001.0,250,110,0.13134277367730454,2.299915852899373,1.7649546775653038,-0.6146563173619154,2.828915746137444,-1.679847587392323,0.06750226713304833,-2.160406955488092,ir8100197.trees
0,10001.0,250,111,0.11171237291143882,1.5679459438790093,1.431537288079438,-0.479462286577087,2.3283585824761177,-1.6925171665962404,0.049462928854266994,-0.8214331919085632,ir8100198.trees
0,10001.0,250,88,0.05684816586783444,6.1144542370150505,1.5793693072336372,-0.7745125638296779,2.1410077780742482,-0.5026462318554932,0.044634760239113135,-0.8790656043064905,ir8100199.trees
0,10001.0,250,95,0.15980746349781222,2.3533390676371693,1.3293570652781121,-0.24832209767613206,2.5281160432694687,-1.266555972241009,0.03945736864508726,-0.14344584920325912,ir8100200.trees
0,10001.0,250,120,0.16897839354317157,1.850954951663272,1.6104758421275924,-0.37881716298865215,2.903258676895693,-1.4893557611603676,0.04239368339231289,-0.49262088750003485,ir8100201.trees
