#/home/enes/bim/BIM.py trees/r8030017.trees,trees/r8030018.trees,trees/r8030019.trees,trees/r8030020.trees,trees/r8030021.trees,trees/r8030022.trees,trees/r8030023.trees,trees/r8030024.trees,trees/r8030025.trees,trees/r8030026.trees,trees/r8030027.trees,trees/r8030028.trees,trees/r8030029.trees,trees/r8030030.trees,trees/r8030031.trees,trees/r8030032.trees,trees/r8030033.trees 250 --stats=all --eta=etas/BC.json --out=outs/109200745.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,ZngE,FayH,TajD,bsfs,FulD,Colless,btree,path
0,10001.0,250,61,-1.6797286454047153,2.9483044677796575,0.043026785503733504,3.6237296572808377,6.215680633933301,-1.7569752104449943,0.025120332446410952,0.9554309068347497,r8030017.trees
0,10001.0,250,58,-1.7097851234383665,2.836599159141531,0.014483266674785087,3.3222166830199367,4.748675473327458,-1.0766060266679789,0.04515553252436268,-0.7284497189015628,r8030018.trees
0,10001.0,250,33,-1.4476969808030369,2.42009556309243,0.01864408995562348,2.942768504260202,3.359322612747345,-0.2099912691826202,0.034440180075139264,-0.24605621902575203,r8030019.trees
0,10001.0,250,36,-1.0113089774744712,1.6595791545545933,0.006627131703875862,1.9726460909762598,5.404960685482368,0.5217789922356248,0.034549488275683375,-0.0018247425796915151,r8030020.trees
0,10001.0,250,66,-0.8890388154470058,1.5389283017314515,0.018631548161656453,1.862695180778261,1.5010197274448716,-0.7668319605999477,0.036388565012739134,-0.1265372850881555,r8030021.trees
0,10001.0,250,58,-2.069561076718971,3.3604679564495297,0.004339661023531374,3.854957816556785,6.308000550487433,-1.6905562555384763,0.05192814267823984,-1.316938656893741,r8030022.trees
0,10001.0,250,45,-1.1259185664289866,1.9591829438599195,0.02743165596445672,2.4255417651069724,5.979139191763533,0.24197565515410852,0.0321146336498066,-0.12430225381176789,r8030023.trees
0,10001.0,250,42,-1.902420284915223,3.159736079383475,0.01867285128541105,3.7654626281100194,5.962693625669811,-0.3653766088141127,0.04229282722286997,-0.5295845643136153,r8030024.trees
0,10001.0,250,49,-1.8510742362860553,3.023379599573079,0.0077892084184833345,3.516859806185483,6.285167993215804,-0.7290367633705623,0.03137897210963671,-0.1347425045228083,r8030025.trees
0,10001.0,250,39,-1.100846521251239,1.8957175900160765,0.023953470663483283,2.344160590112691,4.343767243180862,-0.6152804950534947,0.03718907889623009,-0.37548625292232146,r8030026.trees
0,10001.0,250,36,-1.3459947356624542,2.3652225936694515,0.03907373065771464,2.989805882655071,5.223911237770639,-2.326841962070838,0.03962624692317658,-0.49579071239285327,r8030027.trees
0,10001.0,250,24,-1.0017402489900495,1.6499687167126431,0.009442268109997647,2.020741915566836,4.930589080106847,0.04475129125705934,0.03775748153905946,-0.39328388941308623,r8030028.trees
0,10001.0,250,44,-1.3029986129923539,2.3587878467958374,0.049048461266713424,3.0212872984024224,4.642298929419119,-0.4800367561914218,0.03811025740679841,-0.4184500255511592,r8030029.trees
0,10001.0,250,46,-2.1555065832024547,3.6331445473963284,0.030363557840979254,4.367622177843621,6.383089480084995,-2.8668182387166605,0.02739992226972406,0.5883463715370323,r8030030.trees
0,10001.0,250,48,-1.7218431726287335,2.838962302621419,0.012266734278329224,3.3360080970942407,6.278154961973438,-1.0487028770692637,0.03433585458459147,0.02971482071968882,r8030031.trees
0,10001.0,250,61,-1.413725733492818,2.5416454369116956,0.04703238921328695,3.186818450796588,5.9193601496578525,-1.1712087483045162,0.03269124886643347,0.24122678876860895,r8030032.trees
0,10001.0,250,46,-0.8818941491641352,1.6384010073310964,0.04071405190708386,2.1365973933574733,5.78834059819133,0.5550457539365066,0.0399339292654489,-0.2753721465094925,r8030033.trees
