#/home/enes/bim/BIM.py trees/ir8030039.trees,trees/ir8030040.trees,trees/ir8030041.trees,trees/ir8030042.trees,trees/ir8030043.trees,trees/ir8030044.trees,trees/ir8030045.trees,trees/ir8030046.trees,trees/ir8030047.trees,trees/ir8030048.trees,trees/ir8030049.trees,trees/ir8030050.trees,trees/ir8030051.trees,trees/ir8030052.trees,trees/ir8030053.trees,trees/ir8030054.trees,trees/ir8030055.trees 250 --stats=all --eta=etas/BC.json --out=outs/379124215.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,ZngE,FerL,TajD,bsfs,FayH,FulD,Colless,btree,path
0,10001.0,250,53,2.8685735550017752,-1.7255417487117195,3.3804374184572885,5.948697400349504,0.016115604953573545,-0.22947315298874774,0.059560823940924996,-1.600425115700297,ir8030039.trees
0,10001.0,250,45,2.9615556911723404,-1.7553240073965266,3.5676087716956175,5.473393283274571,0.025426630712707447,-1.6976550226623746,0.04320507837802824,-0.6584778198398689,ir8030040.trees
0,10001.0,250,51,3.392603313455915,-2.0828478178920835,3.9278716140313756,5.365012763938756,0.00685033057248345,-1.1618543292691093,0.05162585827179686,-1.181249869760827,ir8030041.trees
0,10001.0,250,46,2.1520176074676534,-1.2524738108932918,2.632069862455216,5.94042737218832,0.02526738257313778,-1.3459897975374753,0.03436325948957118,0.11652215112463314,ir8030042.trees
0,10001.0,250,37,3.0760503193098736,-1.801607528671357,3.786592556338942,5.517146110667173,0.0346627141336269,-1.4197712153334627,0.04777982899339293,-1.012828500429806,ir8030043.trees
0,10001.0,250,54,3.4041954238961485,-2.0556920729723918,3.9933821552368802,6.015270735356461,0.016675341434282086,-2.24745996317717,0.04555318046379064,-0.8947611303981282,ir8030044.trees
0,10001.0,250,46,1.3623486744411637,-0.8005353296960741,1.652082218329913,4.523226642314976,0.013703136911046113,0.9352528642313027,0.03795828475191087,-0.44599385749184595,ir8030045.trees
0,10001.0,250,41,2.834163972110164,-1.701723315569425,3.390703715353409,4.891113540597793,0.01832088670458945,-1.1487094697150813,0.06284492809949474,-2.246812595617965,ir8030046.trees
0,10001.0,250,39,2.5871783167197666,-1.5141307110536797,3.1772734029839755,5.498021791199985,0.029083353789776317,-1.0570590881538553,0.04006347972535302,-0.5198640745548475,ir8030047.trees
0,10001.0,250,53,1.696194421437914,-0.6375393207315823,2.7039973773200385,1.9572351302535853,0.12219829645957567,-0.8969703402437369,0.04149933065595716,-0.44912858700301816,ir8030048.trees
0,10001.0,250,40,2.4273508698645463,-1.493377433949278,2.84112670604853,5.002874164219391,0.004845252007892612,-0.2403524040278596,0.040678844409897656,-0.6604280457597577,ir8030049.trees
0,10001.0,250,47,2.6281949742576187,-1.744677509539784,2.8128822948746075,3.029917938069651,-0.033575620445059955,-1.7536309308926523,0.04262210130845965,-0.7746511294587332,ir8030050.trees
0,10001.0,250,61,3.4377439629464406,-2.080686237147636,4.001452573855632,5.699320326035798,0.014800215042648557,-1.7569752104449945,0.038821954484605084,-0.5283453358604996,ir8030051.trees
0,10001.0,250,44,2.790508946812319,-1.6657161880319578,3.343747206446803,6.1339722898586535,0.02056057241531906,-0.48003675619142205,0.04516452908407825,-0.9780611658648586,ir8030052.trees
0,10001.0,250,53,3.1288417226529517,-1.917884577737462,3.621229656802639,5.794660544219438,0.00704522300330582,-0.22947315298874746,0.03711620676253401,-0.4377745549761741,ir8030053.trees
0,10001.0,250,31,2.2497589614371316,-1.2421845791108792,2.9417063522948,4.983982968952017,0.0507820913715342,-0.5865231928961376,0.03993392926544889,-0.617084691408264,ir8030054.trees
0,10001.0,250,36,1.8052920688961764,-1.0468989330594158,2.245427287901896,5.612866615656228,0.023747221938888563,-1.3773016439686834,0.04633048322321544,-1.1923692982237077,ir8030055.trees
