#/home/enes/bim/BIM.py trees/r8100017.trees,trees/r8100018.trees,trees/r8100019.trees,trees/r8100020.trees,trees/r8100021.trees,trees/r8100022.trees,trees/r8100023.trees,trees/r8100024.trees,trees/r8100025.trees,trees/r8100026.trees,trees/r8100027.trees,trees/r8100028.trees,trees/r8100029.trees,trees/r8100030.trees,trees/r8100031.trees,trees/r8100032.trees,trees/r8100033.trees 250 --stats=all --eta=etas/BC.json --out=outs/123029059.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,TajD,FulD,ZngE,bsfs,FerL,Colless,btree,path
0,10001.0,250,99,0.027776118597114006,2.1180041487297037,-0.783264018592459,1.7315749477462552,1.478447144054669,-0.9711566116233854,0.03578543564940767,0.056465801257755535,r8100017.trees
0,10001.0,250,103,0.17391246745879738,1.9987326961147043,-0.8710695098130109,0.7725303705036052,1.8376677091400233,0.15070343278644593,0.026969254524637342,0.8495043736749797,r8100018.trees
0,10001.0,250,109,0.11694538711774254,2.8736782134611527,-1.4980103995852898,1.8894342390123773,2.1588720456618415,-0.7441970047073891,0.03147468907889622,0.4984220274208792,r8100019.trees
0,10001.0,250,104,0.04388090486311528,2.8518617256508074,-1.4222003839254311,2.2962530890822364,4.431246052769316,-1.2616321080861967,0.026611823638640578,0.7066725908508498,r8100020.trees
0,10001.0,250,88,0.022346500939980356,1.9366568498436338,-0.9172626160136287,1.5964294051595473,1.4365094572734713,-0.908322465346228,0.033383345836459105,0.09402947232314979,r8100021.trees
0,10001.0,250,85,0.057358289471634114,2.3918927996025157,-0.4141410602434158,1.7986594876726536,6.2388066490967145,-0.9091703396827726,0.027559546943534508,0.06485719558822055,r8100022.trees
0,10001.0,250,95,0.01244696575540275,3.0147329567649015,-1.0738373221087378,2.619625716789265,2.1128051694772676,-1.5762237355536142,0.03319308087891538,0.33789833938199043,r8100023.trees
0,10001.0,250,76,0.07382126014519376,3.320625626566141,-1.776666503911782,2.5241021748802592,4.858227519837942,-1.3029622633755042,0.02320667870723882,1.1250029480513064,r8100024.trees
0,10001.0,250,95,0.04835599546033481,2.5462826784337445,-0.688400021844195,1.9928053274370343,3.159383067332966,-1.0593308072128507,0.031069125617976586,0.5585263531813538,r8100025.trees
0,10001.0,250,96,0.16845775053574502,2.746511608331818,-1.2852256144714052,1.474059824714548,1.6989510772104848,-0.30626755788010446,0.0315455369866563,0.26084946031614203,r8100026.trees
0,10001.0,250,103,0.09067877894875914,3.0076527725414253,-1.9413159995555833,2.1617577113898605,2.7133848786220227,-1.0094571978951017,0.03723299846502334,-0.05799620120617281,r8100027.trees
0,10001.0,250,117,0.07298015896052815,2.251718247822852,-0.9750526094536671,1.5914445784271685,3.974142448104115,-0.7179645477686063,0.047901282549553066,-0.6301696506812161,r8100028.trees
0,10001.0,250,115,0.12067539021105242,2.2102889976145224,-1.5806147096042493,1.2730720446208774,1.6840519814886072,-0.3478176771615375,0.030880048612267813,0.11440056449741066,r8100029.trees
0,10001.0,250,144,0.172506450050121,2.0897804369191375,-1.2401805829724202,0.855375425995102,1.585586380222512,0.10762470319314532,0.030659294067766664,0.3724776612907404,r8100030.trees
0,10001.0,250,103,0.10731041932047367,2.4844096935241495,-0.6926950948559157,1.5963223100692894,4.574369102359457,-0.5995856548509355,0.0266359555870541,0.4785283858594079,r8100031.trees
0,10001.0,250,136,0.1478084237343619,2.057059186144631,-0.858834408246628,0.9738578894164066,1.2028373414390308,-0.05839716251505069,0.03030897784687135,0.3748382021225873,r8100032.trees
0,10001.0,250,85,0.05633194297702344,1.8896175298691371,-0.414141060243416,1.3575547861302033,4.997462874756211,-0.6397511236553173,0.032312874326088474,0.1852938399281158,r8100033.trees
