#/home/enes/bim/BIM.py trees/ir3060080.trees,trees/ir3060081.trees,trees/ir3060082.trees,trees/ir3060083.trees,trees/ir3060084.trees,trees/ir3060085.trees,trees/ir3060086.trees,trees/ir3060087.trees,trees/ir3060088.trees,trees/ir3060089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/462365253.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FulD,FayH,FerL,bsfs,ZngE,btree,Colless,path
0,100001.0,50,325,-0.3435098522061722,0.4442361358510458,-0.12349539874982576,-0.8354134052604683,-1.04195036488718,0.5549934092675874,-1.8339758730643945,0.18611819727891155,ir3060080.trees
0,100001.0,50,405,-0.8345416561442893,1.0597403687895166,-0.17788971707943163,-1.0086076029767213,-2.8086503077710416,0.45321518385293186,-1.523095213089117,0.19430272108843538,ir3060081.trees
0,100001.0,50,370,-0.5849136075054865,1.8704223745930784,-0.16465138617683722,-1.0421585097992854,-2.507114386239528,0.6116232128912404,-2.107337163896099,0.2516785935153283,ir3060082.trees
0,100001.0,50,459,-0.2538555541403198,0.6128367313256325,-0.08408658360632873,-0.5607894308400153,-0.8948022016554973,0.3604481567686343,-1.5485417943389257,0.18230032753842287,ir3060083.trees
0,100001.0,50,371,-0.8694619324898389,1.497533596358364,-0.22594964064181783,-1.3909150501621954,-2.921461561408741,0.7704926343944255,-1.625150457238011,0.19518438954529194,ir3060084.trees
0,100001.0,50,358,-0.5515725379409008,-0.8087900189280086,-0.22042830079908554,-1.5304343930410504,-1.5113199148159984,1.0567226469122788,-1.7761104915142694,0.2174542436022027,ir3060085.trees
0,100001.0,50,244,-0.21456583843901128,0.6508111922552049,-0.20320546346289314,-1.5699005363799101,-1.8349325192244252,1.2640878146521284,-1.1045427714974072,0.17862940630797774,ir3060086.trees
0,100001.0,50,311,-1.1585356087459502,2.8455671356314536,-0.1936981411997934,-0.9449190115710965,-3.31562057929612,0.23153159120323524,-2.0480962344559996,0.23781694495980218,ir3060087.trees
0,100001.0,50,330,-0.29764620788780827,0.6566125459520041,-0.13659772779254065,-0.9727445348955119,-1.2015058122770021,0.6989218736718104,-1.8886541509676498,0.21664125420283045,ir3060088.trees
0,100001.0,50,286,-0.9623939828176127,0.48714268782403974,-0.3016155885378343,-1.9617180991405083,-3.018491821026096,1.2233030215680682,-2.4248787170254293,0.24611014618613408,ir3060089.trees
