#/home/enes/bim/BIM.py trees/r3110060.trees,trees/r3110061.trees,trees/r3110062.trees,trees/r3110063.trees,trees/r3110064.trees,trees/r3110065.trees,trees/r3110066.trees,trees/r3110067.trees,trees/r3110068.trees,trees/r3110069.trees 50 --stats=all --eta=etas/Fn.json --out=outs/406111448.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,bsfs,FerL,TajD,FayH,ZngE,FulD,Colless,btree,path
0,100001.0,50,384,-0.6494781039308669,-0.3012627693873504,-0.2050118605738105,-0.05008047365370159,0.15825308639923302,0.4877075869587002,0.11592239988779031,0.05124537601708626,r3110060.trees
0,100001.0,50,451,0.4641813821581761,0.04755933469937326,0.19096164900896653,0.01895782047030834,0.05700487113520932,0.02497202274488354,0.11504294455212243,0.18942022738086922,r3110061.trees
0,100001.0,50,444,-1.7748908760291027,-0.39648639444937406,-0.4731137095125049,-0.07997143081327734,0.10310333732417623,1.2452181622279437,0.15051020408163254,-0.7893492296942828,r3110062.trees
0,100001.0,50,485,-0.08407441895135917,-0.3372972797642154,0.1017678766324746,-0.0327904896777915,0.34839911189120126,-0.6356238934017773,0.11960994075049373,-0.0920273200631743,r3110063.trees
0,100001.0,50,452,-0.24630429795154465,0.41645068320770146,-0.3408341333083292,0.02551246922144061,-0.5412877150078679,0.27988963605212747,0.11778228037626538,0.49605204062843894,r3110064.trees
0,100001.0,50,458,0.6479056412407678,0.14379799164302037,0.2729517888390024,0.036067424238871264,0.015024678626703812,0.13602954083206578,0.12177579365079366,0.2599148320331348,r3110065.trees
0,100001.0,50,485,0.12642095394198366,-0.13399677285949,0.12207702570396428,-0.00733086743751899,0.18063776071982127,-1.063513213519775,0.1243586820202941,0.10143249483900421,r3110066.trees
0,100001.0,50,420,-0.8298691693292,-0.8504250072893498,-0.3035812937373562,-0.12198330669750038,0.5886885491696351,-0.5765748915005265,0.16695781573498972,-0.901887664006684,r3110067.trees
0,100001.0,50,477,0.2396378060486071,-0.3019218638393198,0.2402940048929378,-0.018949857940992333,0.38900165180947766,-0.7774162308810595,0.11570474750746866,0.11441291047123371,r3110068.trees
0,100001.0,50,540,-0.12045051094549351,-0.28872331846887633,0.06912364510434113,-0.029278930800951494,0.28900487647983925,0.05434844454831749,0.11974513307627198,0.008301072249377475,r3110069.trees
