#/home/enes/bim/BIM.py trees/ir3110030.trees,trees/ir3110031.trees,trees/ir3110032.trees,trees/ir3110033.trees,trees/ir3110034.trees,trees/ir3110035.trees,trees/ir3110036.trees,trees/ir3110037.trees,trees/ir3110038.trees,trees/ir3110039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/358901777.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FerL,FulD,FayH,TajD,bsfs,Colless,btree,path
0,100001.0,50,515,0.6344557491094828,-0.4732516559409736,-0.9059286110803212,-0.026354964665453357,0.4240240803482893,0.3069521145802012,0.13317634746206175,-0.24514428014765302,ir3110030.trees
0,100001.0,50,396,0.1632388164680508,-0.0934445060127466,-0.4866309412434023,-7.675611761629322e-05,0.1575796431335335,0.2100666092912325,0.10051475947521867,0.7006627700087187,ir3110031.trees
0,100001.0,50,498,0.4622796234651314,-0.25572987178685225,-0.8837516012158823,0.001857713327271503,0.4600920728116869,0.6698273241925962,0.11949303530936184,0.2049609120159255,ir3110032.trees
0,100001.0,50,513,0.23199900178921956,0.05568861056635052,-0.809883704212874,0.044425426420821076,0.5426883562053147,1.0291805467762931,0.13162678864649313,-0.49898373103491117,ir3110033.trees
0,100001.0,50,397,-0.6118159993953161,0.48502390223774033,0.5878490991722991,0.03226685824351082,-0.36169360774149084,-0.2574594034454173,0.11885351966873707,0.0463453757488725,ir3110034.trees
0,100001.0,50,414,-0.5155946921810296,0.1857814124348893,1.5734243457234414,-0.025678939615550258,-0.6830689560234936,-1.3543522771395227,0.18253345294161621,-0.9092257101887143,ir3110035.trees
0,100001.0,50,515,0.8223783504960432,-1.0803783456762743,-0.099754230661459,-0.14451961221026222,-0.24166912596667994,-1.1881254394775649,0.13287428792655273,-0.10643490632746044,ir3110036.trees
0,100001.0,50,424,0.061349633446411436,0.007219059216454474,-0.07821297066364856,0.010003559680510109,0.13102162695988917,0.2752971295780555,0.15033190695633095,-0.7026655180256145,ir3110037.trees
0,100001.0,50,442,-0.2557531662551901,0.17860344678656112,-0.07506986131126099,0.0077545118539745226,-0.1919101611575474,-0.15091773859092628,0.14228421865199986,-0.5927214708542023,ir3110038.trees
0,100001.0,50,442,0.2052175488656184,-0.25352323803793336,-0.27618841022700047,-0.032324472565680946,-0.03298546291229417,-0.3892816192358493,0.13493351886209026,-0.45188195658301344,ir3110039.trees
