#/home/enes/bim/BIM.py trees/r3000000.trees,trees/r3000001.trees,trees/r3000002.trees,trees/r3000003.trees,trees/r3000004.trees,trees/r3000005.trees,trees/r3000006.trees,trees/r3000007.trees,trees/r3000008.trees,trees/r3000009.trees 50 --stats=all --eta=etas/Fn.json --out=outs/386433220.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,FulD,ZngE,bsfs,TajD,FerL,Colless,btree,path
0,100001.0,50,335,0.0044065483882207625,-0.9913879550448378,-0.1498216058437048,0.010751485768260868,-0.11393170483325873,0.10402015976855986,0.10698412698412699,0.6515710327286263,r3000000.trees
0,100001.0,50,393,0.00144373152962892,0.7026297332978025,-0.226244487086625,-0.12336789514665127,-0.20884835703342733,0.1351499065625626,0.14411989795918356,-0.2905066538431678,r3000001.trees
0,100001.0,50,353,0.050159403464708846,1.1123644544220688,-0.5858792871288434,-0.18080850636985504,-0.20963302441013865,0.5453082717644051,0.11493364951614447,0.5715658179211428,r3000002.trees
0,100001.0,50,384,-0.11411030298263514,-0.745863591130357,0.8467047972921642,-0.3909117392165073,0.003939992041275165,-0.9637694832465173,0.13195038494439687,-0.3413802229487208,r3000003.trees
0,100001.0,50,385,-0.08439957485249065,0.016507711454231574,0.4786119781809607,-0.6827064846758699,-0.14017846679756077,-0.6286212485297833,0.12891895888790297,0.23892495902351482,r3000004.trees
0,100001.0,50,470,0.009023484542631724,-0.17226499195771822,0.5299661002390588,0.6915403810986406,0.5771293178013667,-0.2640805342967526,0.10360050756053713,0.5763775670162533,r3000005.trees
0,100001.0,50,497,-0.08333067376537262,1.2688229862510814,0.12992256758648632,-1.3945944135193795,-0.47179914520548233,-0.426508133180953,0.140616823652538,-0.5806186472404444,r3000006.trees
0,100001.0,50,467,-0.11770534883814687,0.06994082233073672,0.5920363153528463,-0.8328845862008694,-0.2709333359075699,-0.8349964403070617,0.14449946645324802,-0.2410833428031885,r3000007.trees
0,100001.0,50,534,-0.07079288111777643,0.1753098133294579,0.7090473053414925,-0.37232185676672486,0.17714619279403646,-0.7039185539124244,0.1298410061699098,0.020557247429409918,r3000008.trees
0,100001.0,50,352,-0.05443796176656043,0.4944189811132344,-0.01287909750850778,-0.868174849819538,-0.40176099147121597,-0.2216321404132451,0.11391063274624916,-0.04664320250735261,r3000009.trees
