#/home/enes/bim/BIM.py trees/r3120010.trees,trees/r3120011.trees,trees/r3120012.trees,trees/r3120013.trees,trees/r3120014.trees,trees/r3120015.trees,trees/r3120016.trees,trees/r3120017.trees,trees/r3120018.trees,trees/r3120019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/386921723.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,ZngE,FayH,TajD,FerL,FulD,bsfs,Colless,btree,path
0,100001.0,50,391,0.4296496665134645,-0.06872115503968733,-0.07556272596414293,-0.5347022345273724,-0.5643257850254823,-0.34232874836084554,0.15172887336752863,-0.6258587276346138,r3120010.trees
0,100001.0,50,449,-0.2603462720251153,-0.01904235569347686,-0.3882801168262674,0.0680555179078174,1.1617568198298585,-0.8472857952841395,0.14065239497861007,-0.27937825064461086,r3120011.trees
0,100001.0,50,339,1.218332610827427,-0.16864890254927623,-0.0231364182461649,-1.404153440324104,-0.8876812380058327,-0.6189976150411066,0.1564923172066029,-0.33490658417040475,r3120012.trees
0,100001.0,50,463,0.3049928973043303,-0.11389531105422446,-0.5211430154030919,-0.655151678560683,0.6751383643250901,-1.4378776367253874,0.1495080174927114,-0.49545561550420125,r3120013.trees
0,100001.0,50,491,-0.47005897866892976,0.03125473776877528,-0.23031472393514743,0.4001926688973915,-0.33604826156879697,-0.05868118701401219,0.1199056895485467,-0.008606358391189582,r3120014.trees
0,100001.0,50,421,-0.3315589075367838,0.03210179294477155,-0.0910931269407853,0.32455709523468473,-0.5478515086239938,0.15092731281511593,0.12244897959183663,-0.007261049488252076,r3120015.trees
0,100001.0,50,411,-0.20513957875274696,-0.0009285023643293372,-0.20528424729440117,0.11309783308350496,1.248540350615346,-0.41953828884324534,0.15195368270765103,-0.3261666588303471,r3120016.trees
0,100001.0,50,420,0.5076551089167743,-0.10790428949182353,-0.2812132640566662,-0.7448055852400961,1.5745847196829503,-1.775617450412523,0.13538978809914773,-0.4738827855081357,r3120017.trees
0,100001.0,50,500,0.5858236051995835,-0.155504160591232,-0.548637322241192,-0.991748411811351,0.1740312768437569,-1.563074619147603,0.15890361119572213,-0.7218833041352324,r3120018.trees
0,100001.0,50,369,-0.2555570562179184,0.00023798595354526675,-0.24605828093944354,0.14681097822562467,1.0822633895000457,-0.4609698217786662,0.15254024144869216,-0.4126627512725273,r3120019.trees
