#/home/enes/bim/BIM.py trees/r3020010.trees,trees/r3020011.trees,trees/r3020012.trees,trees/r3020013.trees,trees/r3020014.trees,trees/r3020015.trees,trees/r3020016.trees,trees/r3020017.trees,trees/r3020018.trees,trees/r3020019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/789386833.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FulD,bsfs,ZngE,FayH,FerL,Colless,btree,path
0,100001.0,50,409,-0.6651990457502299,1.2344952844822037,-1.8216435348470141,0.1638006972103362,-0.11507042347553953,-0.5787115263963027,0.17756907232166602,-0.7892958727208748,r3020010.trees
0,100001.0,50,341,-0.15416946785097196,-0.12106365336690479,-0.7611022870857486,0.5931022899545316,-0.10208091066811797,-0.7675880450720008,0.16825955734406434,-0.4991940529121586,r3020011.trees
0,100001.0,50,395,-0.4937827170040119,1.6569779999683882,-2.1257549805840594,0.23778517144402078,-0.10117303606349203,-0.5620730453004665,0.17472170686456395,-0.46705681400795485,r3020012.trees
0,100001.0,50,418,0.19648508917661694,-0.4572683653310832,-0.12132501600803049,0.8377796735670648,-0.08583208209672939,-0.8399586240068718,0.18700480192076827,-0.5536239406435419,r3020013.trees
0,100001.0,50,443,-0.14908735513545432,0.11833235936373634,-0.9195569080445345,0.9074565372201152,-0.14338201924819213,-1.122960215806726,0.15355468612315396,-0.9267051882741812,r3020014.trees
0,100001.0,50,390,-0.40799670218642275,0.543510885942212,-0.972007484606283,0.04444367480180964,-0.06302621835687298,-0.29094143797157784,0.17821547223540574,-0.7927646286703027,r3020015.trees
0,100001.0,50,400,0.029791199891045134,0.07756571735042009,0.2618776559688037,-0.03145124283566579,0.00841774100220095,0.05342781973408628,0.15663265306122448,0.32715528174959274,r3020016.trees
0,100001.0,50,416,-0.3484467981944209,1.2296629136442718,-0.5997175971555107,-0.29986479068526894,-0.008117960675134404,0.136797114521962,0.18253264038534672,-1.0900755761202632,r3020017.trees
0,100001.0,50,391,0.009869582594988255,0.9502122465944262,-0.3609672982028914,0.2685387572294746,-0.03497385077371719,-0.30057797590191654,0.1637776228503825,-0.6666813421332087,r3020018.trees
0,100001.0,50,386,-0.789721464407431,0.9283576409147873,-2.4149346858228813,0.8215727150403455,-0.22160308977331392,-1.4023552069539715,0.2302891156462586,-1.6572012842637605,r3020019.trees
