#/home/enes/bim/BIM.py trees/ir3010020.trees,trees/ir3010021.trees,trees/ir3010022.trees,trees/ir3010023.trees,trees/ir3010024.trees,trees/ir3010025.trees,trees/ir3010026.trees,trees/ir3010027.trees,trees/ir3010028.trees,trees/ir3010029.trees 50 --stats=all --eta=etas/Fn.json --out=outs/268935127.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,bsfs,FayH,FulD,ZngE,FerL,btree,Colless,path
0,100001.0,50,294,-0.3706655809313276,-0.8640046896269178,-0.04489987756131342,0.6358960147205388,-0.051564918745721326,-0.15873330516686168,-1.4520837816705932,0.17402769188483475,ir3010020.trees
0,100001.0,50,331,-0.28582308715835186,-0.22643295948504555,0.024922243278276666,1.0914573846849775,-0.4778777945231488,0.37743776270552576,-0.7486229866501809,0.16125810789432052,ir3010021.trees
0,100001.0,50,424,0.25527338406030514,-0.04159924887436564,-0.05557710147340725,-0.14808141337561062,0.6748779048386526,-0.6194455337574686,-0.5220011289422739,0.14226622852530832,ir3010022.trees
0,100001.0,50,436,0.41892242287076825,0.6558804001152007,0.02628709249351721,0.13910728681769538,0.23833982133406176,-0.024965502292189596,-0.2964901520408164,0.12925861401471161,ir3010023.trees
0,100001.0,50,406,-0.25965261849901944,-0.611283689665307,-0.008126830314375005,0.53841342061925,-0.20804199143672414,0.0844041047884882,-1.162977740183964,0.15660534286707375,ir3010024.trees
0,100001.0,50,297,-0.2896280016439825,-1.4278109904261833,-0.09878823957752499,1.0938071465518258,0.42749285030270073,-0.6581579446614501,-1.8337454112446374,0.1805803571428571,ir3010025.trees
0,100001.0,50,337,-0.3018595872608508,-0.7428519915086346,-0.05034907338504037,0.8381082485633773,0.059790235679590215,-0.24572860800046162,-1.1472973530024748,0.16007251957386728,ir3010026.trees
0,100001.0,50,495,-0.21504301112395835,-0.4171539232939743,0.015442984854541878,1.1075407104563895,-0.33703155584973876,0.25748284991579373,-0.5059243672877892,0.14141212040371692,ir3010027.trees
0,100001.0,50,481,0.04656372782052668,-0.3867041093699861,-0.07006502788802015,0.7732508101388709,0.5675941376842114,-0.619849700600455,-0.6151454816237434,0.149301004805592,ir3010028.trees
0,100001.0,50,509,0.1825635300397896,0.05335095627323376,-0.002029794377477981,-0.09120748367148868,0.20399702180871196,-0.12489947948242872,-0.1880862219497163,0.1498398629524803,ir3010029.trees
