#/home/enes/bim/BIM.py trees/r8060204.trees,trees/r8060205.trees,trees/r8060206.trees,trees/r8060207.trees,trees/r8060208.trees,trees/r8060209.trees,trees/r8060210.trees,trees/r8060211.trees,trees/r8060212.trees,trees/r8060213.trees,trees/r8060214.trees,trees/r8060215.trees,trees/r8060216.trees,trees/r8060217.trees,trees/r8060218.trees,trees/r8060219.trees,trees/r8060220.trees 250 --stats=all --eta=etas/BC.json --out=outs/830112127.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,TajD,ZngE,FerL,FulD,FayH,bsfs,btree,Colless,path
0,10001.0,250,49,2.844755676432152,2.335065318222824,-1.3600702355288115,-0.37024077958604623,0.02669843914106816,5.718530174078733,0.01614799495481185,0.031221660836895974,r8060204.trees
0,10001.0,250,52,3.692434960665028,3.1875438886820073,-1.9539602028270981,-1.196896856418994,0.007234361629812088,4.346505929855954,-0.5665709939928022,0.04166898006773639,r8060205.trees
0,10001.0,250,67,3.8909255168353436,3.3398230897675427,-2.010958625793565,-1.8731106250843796,0.016936491003842816,6.616701137553294,-0.6840644681496687,0.04832232154424148,r8060206.trees
0,10001.0,250,83,4.170192042504971,3.5985198347681795,-2.1598337525444595,-2.1050534782746473,0.019168414864241798,6.126431118375025,-0.1273504566217874,0.033380835168631516,r8060207.trees
0,10001.0,250,40,3.573832543029481,2.931865703702974,-1.7274448253824526,-1.5357006352431184,0.029189911062585915,3.9572933878839534,-0.8472106943776783,0.046379064645679494,r8060208.trees
0,10001.0,250,79,4.298001404188899,3.803765110397347,-2.347902385298985,-1.36638162654564,0.002175158109973932,6.47318528322921,-0.07826521367040142,0.034922681930066306,r8060209.trees
0,10001.0,250,59,4.1620069411306,3.8109133844397247,-2.459362370009109,-1.411263445076351,-0.02782882430236034,4.065175568469647,-1.3480305480790853,0.05474154683249125,r8060210.trees
0,10001.0,250,41,3.815051519140117,3.333988428247766,-2.0951324131110267,-1.1487094697150815,-0.006870887692605988,5.137911596193023,-0.2574359028911479,0.03718745951548128,r8060211.trees
0,10001.0,250,25,2.4203703651434094,2.0107487790911582,-1.2392802672264682,0.5904455113797494,0.005115744039054239,4.916300241999512,-0.004318861825588589,0.034233709029667055,r8060212.trees
0,10001.0,250,42,3.3651876625804302,2.7160907558789553,-1.5662334737009955,-1.6046642147136922,0.03702061811251063,5.666021500868954,0.2048385258067648,0.032333635617739775,r8060213.trees
0,10001.0,250,48,3.1015987332000945,2.5844641406246565,-1.5325272657400881,-0.31738513525547174,0.02158702852314806,6.2018291374738865,0.06856748120936045,0.031237854644383986,r8060214.trees
0,10001.0,250,74,3.8388639720327724,3.2934068858941363,-1.973491143607178,-1.9861965441237333,0.018951830922691672,6.544943403569907,0.2673023273914665,0.02954155331001425,r8060215.trees
0,10001.0,250,36,3.513082679642932,2.982455949925371,-1.8345314628297331,-1.3773016439686834,0.006596732017160818,5.976489816373586,-1.3226671715638356,0.052018108275395485,r8060216.trees
0,10001.0,250,56,3.5238478985021313,3.179497689970393,-2.0285312734959176,-0.3740191419681388,-0.01635344283527222,5.34720524780231,0.5996564694918965,0.02579853464035353,r8060217.trees
0,10001.0,250,58,4.040306678422861,3.363715077094001,-1.9726508067284962,-1.3835811411032277,0.03315288262821826,6.176931067765944,0.10699671262937978,0.03338083516863151,r8060218.trees
0,10001.0,250,58,4.366425204813734,3.946032046002477,-2.517460224575516,-1.0766060266679787,-0.02032475703594809,3.016479657068331,-0.17940647256077882,0.03434937908315289,r8060219.trees
0,10001.0,250,75,3.069614202227752,2.825939223240811,-1.8156181236791002,0.8940811226147939,-0.018480167774352536,2.1659062116508427,-0.5793600420585986,0.04220825956154368,r8060220.trees
