start,end,N,SS,ZngE,FayH,FerL,bsfs,FulD,TajD,btree,Colless,path,iColless,ibtree
0,2501.0,250,20,0.24961197678569425,-0.08236267375154542,-0.391556860308412,8.838931126173458e-06,-0.2203194944787188,-0.15333008584296062,0.4759770168858742,0.033484167083078865,8020000,0.04500259100919808,0.16863620017793562
0,2501.0,250,8,-1.2450455697573932,0.09507412899901674,0.9879016581573024,-0.8406394865901753,2.7476664446803647,-1.1829822948870914,0.0896268074119561,0.03580450835600466,8020001,0.039059463661095986,-0.9962641395364072
0,2501.0,250,12,-1.0703214465027098,0.10722188819799623,0.9375799883241744,4.72985831489979e-06,-1.1583576205662869,-0.8082455387651903,0.7977720054655054,0.025937081659973226,8020002,0.0505894545925638,1.218180271705218
0,2501.0,250,21,-0.19062902372567905,0.04177449911587962,0.2399677333718409,-5.196424950553218e-07,1.94311728992564,0.0033248587071159088,0.6297835051438183,0.03242925619528807,8020003,0.045132141469102216,-0.3932873468448557
0,2501.0,250,14,-0.970248037049305,0.12656291641953316,0.9371984846545846,1.551339111253063e-05,-0.3126827056713456,-0.5507933242152363,-0.17754065662526294,0.04065571039920048,8020004,0.06707475061536468,-1.5849748532551076
0,2501.0,250,12,0.9371440408606032,0.15290175690558153,-0.20968211690155936,3.2822667602351894,-2.356251271886407,1.9231829055027685,1.3464372552683976,0.02582507449151445,8020005,0.046001209137625766,-1.0359465634958356
0,2501.0,250,14,-0.3220648410041979,0.025056954418426397,0.26704607632406746,1.551339111253063e-05,1.808437214814801,-0.2696128971654099,-0.7087711331155733,0.041156561730794135,8020006,0.04793367016452908,-0.3960088976018691
0,2501.0,250,17,0.006394624675289662,0.09806571437112996,0.26508999807439826,2.1636659350574563,-0.7127076431669839,0.5318567455667008,0.37188601298467294,0.0311504080839487,8020007,0.0577147298872911,0.037472465868739216
0,2501.0,250,9,-1.1495955540241876,0.08805194221149508,0.9208051827631452,-0.9908483444513544,0.7828117394489833,-1.0645872502610023,0.4509685221776285,0.0295860862806063,8020008,0.04709159217515222,0.038173574961661
0,2501.0,250,16,-0.4780828376498669,0.049149385997221164,0.4321038803677887,-0.9173967176594362,3.215864921119996,-0.3259409814205837,1.2344384984750951,0.030245405585475543,8020009,0.054540743619639835,0.26505547971563026
0,2501.0,250,12,0.0817556758036827,0.08618695720914579,0.16213926277078322,1.0483997930772584,2.4353233333940723,0.5265832325998123,0.24710491309293764,0.03175836988507024,8020010,0.06106684803731052,-1.2194130921158508
0,2501.0,250,17,-0.548782035786296,0.07235356173077148,0.5420755414160369,2.7626589002131874e-06,1.0994680023857826,-0.2823850665796586,-0.07765274966146136,0.04629809560823942,8020011,0.0509781059722762,0.7044151387947936
0,2501.0,250,11,0.4303544977370004,0.10606285924912172,-0.015140831950243662,3.4595304256357093,0.2523487190495647,1.0508347263388411,0.08125564152920021,0.03675994299779763,8020012,0.055253271149112576,-0.1702192325552398
0,2501.0,250,16,0.5059322483087717,0.06497970970798257,-0.14147686285478106,3.0756623764690105,0.3592984541263135,0.9621525242583348,1.0879955009378035,0.024529569892473117,8020013,0.043674698795180725,-0.04394845789762258
0,2501.0,250,16,-0.7779731495610713,0.0634952544442628,0.6586561433614706,1.2794872113393594e-06,-1.5450791905361416,-0.6173642977748736,0.34814068811701543,0.03483002217599049,8020014,0.0609470138618992,-0.3612385839030552
0,2501.0,250,13,-0.8935684627822863,0.11952695817565605,0.8642893965398579,-0.5966353558545274,4.3523543055862834,-0.5086420019515124,-0.05170585197948195,0.03087187459515481,8020015,0.06811115429459774,-1.1088577353090696
