#/home/enes/bim/BIM.py trees/ir8020218.trees,trees/ir8020219.trees,trees/ir8020220.trees,trees/ir8020221.trees,trees/ir8020222.trees,trees/ir8020223.trees,trees/ir8020224.trees,trees/ir8020225.trees,trees/ir8020226.trees,trees/ir8020227.trees,trees/ir8020228.trees,trees/ir8020229.trees,trees/ir8020230.trees,trees/ir8020231.trees,trees/ir8020232.trees,trees/ir8020233.trees 250 --stats=all --eta=etas/BC.json --out=outs/438427344.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FayH,ZngE,FerL,TajD,FulD,bsfs,btree,Colless,path
0,10001.0,250,77,0.097625036116846,0.4286027166269451,0.07939089444591986,1.1107334194462053,0.7949775862219589,4.30262789995558,-1.180003499749184,0.04871559972609331,ir8020218.trees
0,10001.0,250,71,0.12012275242268614,0.3936280515675576,0.17726570310814607,1.2132507116761277,-1.4322345146311273,1.2791616811389634,-0.4578936450398275,0.04331843503044436,ir8020219.trees
0,10001.0,250,72,0.11988766603038171,1.7104575290529425,-0.6388438787441001,2.6999599440839157,-0.7024687379975418,1.2888371979745927,-0.16233011487715243,0.03781106832020164,ir8020220.trees
0,10001.0,250,59,0.0641148556808054,0.8079412034222379,-0.28056120751342367,1.3243616742495927,-0.8070051971883655,4.780344211350667,-1.274686109945246,0.05220883534136546,ir8020221.trees
0,10001.0,250,80,0.058189921868520116,1.0547318519291216,-0.4468989292089856,1.562350405757578,-0.025713725053859538,4.15778488041877,-1.5854521534094856,0.05696576629097033,ir8020222.trees
0,10001.0,250,71,0.11233642771551973,0.5281094630602089,0.0666404290146723,1.3154584487789844,-0.1620852623248054,2.0944619958674386,-0.5410497277329054,0.04458155201450965,ir8020223.trees
0,10001.0,250,42,0.0701879017791693,0.06857626868693203,0.18858300808325057,0.5090726892024833,0.46081512845227285,3.359500648018077,-1.8442727315062517,0.05858919549164399,ir8020224.trees
0,10001.0,250,90,0.14393627274957238,1.4360793015800781,-0.3737180635820585,2.5443547199489007,-1.7760401745358605,1.460339861472363,-0.7691395770791684,0.04655130787077932,ir8020225.trees
0,10001.0,250,76,0.043801361057192775,0.9553663223060712,-0.437209069613652,1.358729126819956,-0.5854940088060738,2.1999943229807486,-0.7282568066877099,0.046950474709899506,ir8020226.trees
0,10001.0,250,63,0.11445881735021306,0.7435557136558344,-0.0644801717262782,1.5702654770232969,-0.9454146926516992,3.7535555930649065,-1.780168092792022,0.061029062486505165,ir8020227.trees
0,10001.0,250,45,0.06860339424886451,0.8851155196142229,-0.32168985958581525,1.4424216503043108,-1.3097288870990782,4.501909502859283,-0.23474625304303726,0.04060597227620158,ir8020228.trees
0,10001.0,250,50,0.06805129506850464,0.8887933314125347,-0.3222672371400273,1.4424702502752715,-0.42115004148078156,4.488072156079653,-1.2865716181290128,0.05135750374770973,ir8020229.trees
0,10001.0,250,73,0.07092635460834808,0.6587440843946751,-0.1587802209410092,1.1983474208178768,-1.228890628631926,1.5305916223550142,-1.0028248317369464,0.05072472051393429,ir8020230.trees
0,10001.0,250,70,0.10328393492230324,0.7249298745727268,-0.08757460595408893,1.4798294865643138,-1.9241734927779686,1.5271605662908194,-0.5300849204999285,0.04242979984453945,ir8020231.trees
0,10001.0,250,45,0.08830195886937695,1.177305146361163,-0.4376918835606697,1.900405064839536,-0.9218027515357815,3.103072674702436,-2.463735330609286,0.07730114004404716,ir8020232.trees
0,10001.0,250,60,0.10965380530798348,-0.6278959008943886,0.7672953477778877,-0.02110616859474325,2.1311225801575477,1.4081249725761142,-1.4812480005596829,0.05266226195102992,ir8020233.trees
