#/home/enes/bim/BIM.py trees/ir8030090.trees,trees/ir8030091.trees,trees/ir8030092.trees,trees/ir8030093.trees,trees/ir8030094.trees,trees/ir8030095.trees,trees/ir8030096.trees,trees/ir8030097.trees,trees/ir8030098.trees,trees/ir8030099.trees,trees/ir8030100.trees,trees/ir8030101.trees,trees/ir8030102.trees,trees/ir8030103.trees,trees/ir8030104.trees,trees/ir8030105.trees 250 --stats=all --eta=etas/BC.json --out=outs/593081642.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,bsfs,FayH,ZngE,FulD,TajD,Colless,btree,path
0,10001.0,250,29,-1.589202138892487,5.374144960785197,0.04665123928997051,2.781732709283234,-2.158993785550444,3.5519296422448967,0.058006218422075394,-1.3602818304306232,ir8030090.trees
0,10001.0,250,23,-1.0988386421719678,4.657717114552015,0.02264813503333257,1.8669427290271827,0.16167109946190467,2.35961917298495,0.0542006736623915,-1.2629372905332743,ir8030091.trees
0,10001.0,250,41,-0.5709190932503894,5.3643340115714455,0.0494153176909726,1.1793199516428534,0.9624483246107574,1.6661947207311847,0.056775489052986135,-1.567373819181136,ir8030092.trees
0,10001.0,250,40,-1.7288522232439636,0.9589516367485965,-0.05577048998182374,2.4872339361955165,-0.2403524040278596,2.541174690462599,0.037239279699442934,-0.50509582538654,ir8030093.trees
0,10001.0,250,36,-0.8289583348792944,5.617430617772565,0.02689358951389382,1.4712984225401882,0.5217789922356252,1.8754040102067626,0.042735457960875765,-0.7356242239674358,ir8030094.trees
0,10001.0,250,33,-1.1866764736911766,5.5139610003054065,0.03871595527739445,2.1030755298497104,-1.749376453326062,2.691422142627529,0.04349656691281254,-0.46614971335210004,ir8030095.trees
0,10001.0,250,51,-1.4134297507512887,5.857855053410019,0.035836882766085994,2.4721196754601,-0.4702188642782444,3.0545665669029103,0.03824977328669517,-0.2648647500561541,ir8030096.trees
0,10001.0,250,49,-1.6186808996970918,6.032702215933397,0.03444313779716022,2.7935228231367715,-0.37024077958604623,3.4188407780691863,0.057601373234874985,-1.8343673371050102,ir8030097.trees
0,10001.0,250,53,-1.778883646944134,4.303124209454194,-0.004297037765634946,2.84278121406337,-1.2307189338712317,3.2231975991174147,0.038379323746599296,-0.20788899655234866,ir8030098.trees
0,10001.0,250,63,-1.5802575588266168,6.352775948731231,0.03440788299851855,2.741060748781583,-0.9454146926516992,3.3302390635930443,0.06385218292524938,-1.7428493886356304,ir8030099.trees
0,10001.0,250,40,-1.2398149758418422,5.589573080430886,0.017199733866363066,2.084520315119739,0.1914303397105595,2.5192976981131867,0.043140303148076174,-0.6983892638392956,ir8030100.trees
0,10001.0,250,49,-1.7919199091133975,5.844004580315826,0.014013156859538207,2.9618332495983304,-0.7290367633705622,3.4849399321581958,0.03999870449540096,0.0,ir8030101.trees
0,10001.0,250,50,-0.9439919926300837,5.6670121558396955,0.047492353749277356,1.778521681631615,-0.42115004148078117,2.334235756125826,0.05269464956600596,-1.1522172791807446,ir8030102.trees
0,10001.0,250,49,-1.0819431980458947,5.706160046620204,0.017800195809667484,1.8389263745488276,0.3473511879829864,2.220271987129065,0.04744785593988859,-0.6574410487415839,ir8030103.trees
0,10001.0,250,49,-1.2143837531449344,5.827785780115179,0.021783819543691733,2.073807342819808,0.7061471717675017,2.514490457623271,0.04965021375825884,-1.1457583967509941,ir8030104.trees
0,10001.0,250,38,-1.908865222287012,5.886575707719776,0.03678468819327552,3.260910591405527,-2.36473894554471,4.009829150955743,0.04858142246404975,-1.2587899469415003,ir8030105.trees
