#/home/enes/bim/BIM.py trees/r3060010.trees,trees/r3060011.trees,trees/r3060012.trees,trees/r3060013.trees,trees/r3060014.trees,trees/r3060015.trees,trees/r3060016.trees,trees/r3060017.trees,trees/r3060018.trees,trees/r3060019.trees 50 --stats=all --eta=etas/Fn.json --out=outs/482931627.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,ZngE,FerL,bsfs,FayH,FulD,btree,Colless,path
0,100001.0,50,356,-0.5900156808485237,1.0055124755906195,-1.4946081263521476,-2.1176212238637895,-0.21887886403156911,0.4935145345119946,-1.1945625992233984,0.17058302194117078,r3060010.trees
0,100001.0,50,325,-0.9005619840588157,0.4861553647260997,-1.084242247375919,-2.5619505504226043,-0.1920981789660407,1.035639815834602,-1.9452564591812282,0.22905915239659078,r3060011.trees
0,100001.0,50,317,-0.9975592208265085,0.31507883657069213,-0.9458363951965648,-2.239492716073926,-0.1824811435037146,0.4916410343470272,-1.6867579320701958,0.18537946428571447,r3060012.trees
0,100001.0,50,318,-1.3375053235485481,-0.778678455066547,0.10297319174435615,-2.932994670326601,-0.08134424815197006,2.0138137364169753,-1.9433718682551293,0.21821708135308907,r3060013.trees
0,100001.0,50,347,-0.46867304745150457,0.5388058524704015,-0.8905814054814036,-2.075607543240045,-0.13866705216893993,1.188306956592917,-1.37301865964311,0.1760882544507165,r3060014.trees
0,100001.0,50,382,0.2978101411938872,0.5089635529780004,-0.40541322612058645,0.14170823736531582,-0.027311124866118846,1.2049616200669953,-1.010526714285531,0.17959732280008772,r3060015.trees
0,100001.0,50,339,-0.6810452320636865,0.26147504042224046,-0.6988974173165089,-1.5930430537000184,-0.13077389642875636,0.901062884442336,-1.3516512929305524,0.17947615092548638,r3060016.trees
0,100001.0,50,358,0.8352561311902708,1.173257982181152,-0.8475041883614479,0.7540769517661442,-0.042315667041214686,-0.43683005986677265,-0.08153635164682047,0.13961091193234046,r3060017.trees
0,100001.0,50,328,-0.6382426735548317,0.7815309914146702,-1.2672457147197265,-1.9234196313542884,-0.19549847563514824,0.2298270999053662,-1.0463738658495325,0.1711127308066084,r3060018.trees
0,100001.0,50,438,-0.07732305777336197,1.4308819807532114,-1.677732208819007,-1.2778587990093577,-0.2041004972320909,0.5631534312638506,-0.8712315836852802,0.15906304382218,r3060019.trees
