#/home/enes/bim/BIM.py trees/r3020080.trees,trees/r3020081.trees,trees/r3020082.trees,trees/r3020083.trees,trees/r3020084.trees,trees/r3020085.trees,trees/r3020086.trees,trees/r3020087.trees,trees/r3020088.trees,trees/r3020089.trees 50 --stats=all --eta=etas/Fn.json --out=outs/562214914.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FulD,TajD,FerL,ZngE,FayH,bsfs,btree,Colless,path
0,100001.0,50,421,-0.23121662695539563,-0.037818051612418115,-0.3370014869909197,0.27588486860733596,-0.04257779034254057,-0.155513697440441,-0.5699372264780684,0.1692561205273071,r3020080.trees
0,100001.0,50,415,-0.044198961560926855,-0.012619445077642472,-0.10982225602024112,0.08975101343375608,-0.013898926405609146,-0.1894384911556292,-0.5437741354259193,0.16582961309523825,r3020081.trees
0,100001.0,50,335,0.24466894184033813,-0.5904802880521968,-0.8054236830205488,0.40149111407358473,-0.13713743267689343,-1.6032742307762688,-1.0739097051690811,0.15677368508378964,r3020082.trees
0,100001.0,50,400,0.18861654066680533,0.2369349805260981,-0.6280964307578379,0.6728409121989949,-0.057944790870717314,-0.04870836317539664,0.16535836951154148,0.13530647861238743,r3020083.trees
0,100001.0,50,361,-0.5425311941327042,-0.12268179269974197,-0.30194751088850713,0.2013404632451488,-0.04445235158075356,-0.27020072914835847,0.2014581001852901,0.1281286099345398,r3020084.trees
0,100001.0,50,388,0.6777174550398735,0.352642899358744,-0.8792586835926459,0.9526001670513224,-0.07969858845823458,-0.1250737280768874,-0.3957980769061468,0.14814751403917265,r3020085.trees
0,100001.0,50,273,1.8560817794798288,-1.1180930595714584,-0.28917899013838727,-0.3210244541254127,-0.11293446698870196,-2.7131779026787353,-1.5373417944774215,0.2232014017728305,r3020086.trees
0,100001.0,50,389,0.09667533751937675,0.13268177649380633,-0.07139123678127167,0.13104176838560488,0.0007987546709915125,0.1173361467842086,-0.2193681765016386,0.13094788179822175,r3020087.trees
0,100001.0,50,416,-0.9064524421594834,0.1526829579977446,-0.47458627550770066,0.4948660030549847,-0.0455904671515548,0.09238064968906662,0.23030345191010984,0.1251700680272109,r3020088.trees
0,100001.0,50,312,-0.25323458284624245,0.5050768543472586,-0.8358908054387301,0.9921171054217215,-0.06424328479153919,0.08822472152286781,0.026416202057113605,0.12831358349791527,r3020089.trees
