#/home/enes/bim/BIM.py trees/ir3080040.trees,trees/ir3080041.trees,trees/ir3080042.trees,trees/ir3080043.trees,trees/ir3080044.trees,trees/ir3080045.trees,trees/ir3080046.trees,trees/ir3080047.trees,trees/ir3080048.trees,trees/ir3080049.trees 50 --stats=all --eta=etas/Fn.json --out=outs/770958661.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,ZngE,FerL,TajD,FulD,bsfs,Colless,btree,path
0,100001.0,50,371,-0.01245413225343515,0.2011312727263281,-0.16719021956418278,0.1058881951799467,-0.377325631759555,0.014322470156819858,0.1277516624627379,-0.41025503012009723,ir3080040.trees
0,100001.0,50,341,-0.033293929233919904,-0.0006995466500765319,-0.13956040386935611,-0.23868666482794337,-0.33793329370370795,-0.6723320883780568,0.14146482768931753,-0.6296312835644149,ir3080041.trees
0,100001.0,50,310,-0.011017974824476648,-0.05722674355940389,-0.01356227729187592,-0.13430163977209839,0.33844813174647426,-0.4847659108137287,0.12587966220971145,-0.8273109371948223,ir3080042.trees
0,100001.0,50,474,0.005435317748449896,-0.1374390704826185,0.10134616847886312,-0.09393774697705352,0.6143750334610021,-0.309281041766009,0.14486195938229304,-0.6980547619037548,ir3080043.trees
0,100001.0,50,281,-0.035112242268615465,-0.405928059822181,0.08477697767478709,-0.6455486776744175,2.0781360542104053,-2.1547664531140915,0.1717572164000735,-0.956717690234282,ir3080044.trees
0,100001.0,50,380,-0.05076828909982479,0.29487001848652694,-0.3820659850579413,-0.07748189904004009,0.13791562063390728,-0.3202998539792627,0.14699213018540752,-0.691989468595009,ir3080045.trees
0,100001.0,50,398,-0.07351879707364475,-0.2112672943723625,-0.18938915168905326,-0.7308729138624879,1.173341283133404,-1.6091848909933277,0.19676060900550696,-1.6570833671583955,ir3080046.trees
0,100001.0,50,482,0.027180416363887402,-0.31639828261166536,0.2953235591807432,-0.11106852464301487,-0.18851523604143874,0.10983268847878394,0.13799269707883147,-0.5290816078847882,ir3080047.trees
0,100001.0,50,444,-0.06149015864244863,0.6007436112869496,-0.6022605771981626,0.14075136229585006,-0.990547347808476,-0.03275951746908609,0.14077105662408848,-0.26684159510678623,ir3080048.trees
0,100001.0,50,434,-0.12876607032525877,0.6747616203464349,-0.928383851353033,-0.26926330729090675,0.7010620533082379,-1.2378323779493692,0.18179816569484933,-1.4501570954125993,ir3080049.trees
