start,end,N,SS,FayH,ZngE,TajD,FerL,bsfs,FulD,btree,Colless,path,iColless,ibtree
0,100001.0,250,568,-0.10682275593845196,0.20616958106796512,-0.5004462562059666,-0.5368920294818981,-0.956765066197082,1.0018735972864787,-1.0318992797505249,0.052707729179746254,9150000,0.06715725761217513,-1.7086534911368014
0,100001.0,250,510,0.06143406886729059,-0.7468516919314551,-0.3985088972942724,0.6956706059124156,-0.11487864497975762,1.4320064864212605,-0.3918849965543911,0.04330847431112154,9150001,0.054629126689423865,-1.0371440637675529
0,100001.0,250,675,-0.08631262831953576,-0.04851318869630869,-0.6397801732007332,-0.301975068344417,-0.4774715356383744,-0.4134814490665415,-0.7159178747463691,0.05396636398968308,9150002,0.06213389294051602,-1.222868756938554
0,100001.0,250,563,-0.10641627128122773,0.0827755876607495,-0.6322257509848653,-0.4592313613805602,-0.8757240148601929,0.2270228610943537,-0.353248262757325,0.042379194196139405,9150003,0.059119023654585275,-1.2164974080543445
0,100001.0,250,547,-0.1819298528072147,-0.060553221431989865,-1.3009733953558067,-0.6602764940377084,-2.349700142393364,1.368490633240223,-1.357648227997425,0.06264354849688535,9150004,0.10566608690538863,-2.8994832737623075
0,100001.0,250,701,0.0038302647264312627,0.2368225103057174,0.2840967506491898,-0.13120134489292504,0.3614891668451877,-0.4053674103717637,-0.018590190819161814,0.03798354931754512,9150005,0.05305901023448635,-0.8845002085761278
0,100001.0,250,547,-0.08844872985492103,-0.4818359982636644,-1.1260924687412932,-0.042172002244719016,-1.3241002412547864,0.8814559817998178,-1.599098634497201,0.06998612102824903,9150006,0.08262810705810376,-2.0536045785936423
0,100001.0,250,626,-0.25085201423833964,0.3696588107358432,-1.3017232680219528,-1.1914466296933608,-2.082152816873032,0.5291363742335322,-1.0533884521973065,0.05511673748597938,9150007,0.0833995235561727,-2.5728705508749523
0,100001.0,250,621,-0.18436713524843304,0.2573593153322717,-0.9722444225467136,-0.8667698069962307,-1.6481814054029054,0.4358101250646102,-1.7976760343290197,0.07129868671299945,9150008,0.08786171077270956,-2.500735027105832
0,100001.0,250,551,-0.1676000705824798,0.18012883281862646,-0.9411888784829168,-0.7537406206790166,-1.021696428809904,0.9215409516099616,-1.3016097050673043,0.06481897426320278,9150009,0.0743668971978493,-2.005203455086393
