#/home/enes/bim/BIM.py trees/r8090153.trees,trees/r8090154.trees,trees/r8090155.trees,trees/r8090156.trees,trees/r8090157.trees,trees/r8090158.trees,trees/r8090159.trees,trees/r8090160.trees,trees/r8090161.trees,trees/r8090162.trees,trees/r8090163.trees,trees/r8090164.trees,trees/r8090165.trees,trees/r8090166.trees,trees/r8090167.trees,trees/r8090168.trees,trees/r8090169.trees 250 --stats=all --eta=etas/BC.json --out=outs/175334098.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,FerL,TajD,FulD,FayH,bsfs,ZngE,btree,Colless,path
0,10001.0,250,50,-1.9858018706202485,3.825256457188284,-1.12552383117,0.012778016206187553,4.139805593553162,3.2679837048139024,0.2591154833517667,0.034641792978365074,r8090153.trees
0,10001.0,250,70,-2.006539330297185,3.9887539751266914,-1.6667293489390875,0.025561460095316034,5.31485063243745,3.382600346705134,-0.14512052505595802,0.03112449799196787,r8090154.trees
0,10001.0,250,69,-1.94573778053593,3.793287983760245,-1.6466632487056758,0.018845451019343887,6.530000578864938,3.2461398927264935,0.2236247081832879,0.026480923694779116,r8090155.trees
0,10001.0,250,53,-2.1259319507866716,3.9135130034724614,-1.2307189338712319,-0.00022273321751691938,4.73382816958992,3.4242812643110447,-0.1741922424200939,0.03458997279440342,r8090156.trees
0,10001.0,250,63,-1.8114388780527835,3.5232219473572566,-0.6612269439215189,0.01625256482971939,6.363516967141765,3.0124882070019914,-0.7354934138521533,0.046411452260655524,r8090157.trees
0,10001.0,250,51,-1.5306196197597866,3.266134800225899,-1.1618543292691093,0.03546640206949828,5.908789435088732,2.658884471575193,0.8269015431120513,0.02478372270443782,r8090158.trees
0,10001.0,250,56,-1.7638254797631774,3.294694665796272,-1.008319855025177,0.004126448509276821,4.4072939693263455,2.865718765823257,0.3606114885104951,0.03266830763915878,r8090159.trees
0,10001.0,250,56,-2.37768509342379,4.094484180150651,-2.594071637667774,-0.022022852452495443,1.9442960062990091,3.7110235543619807,-0.5425990957664648,0.042966587758659275,r8090160.trees
0,10001.0,250,57,-1.955224553355118,3.67337029419197,-1.3549983302157256,0.006425647015143616,6.339738499119441,3.1872949137500277,0.1794596516052378,0.02969620417152481,r8090161.trees
0,10001.0,250,70,-2.328360130577764,4.476677831995948,-1.6667293489390875,0.017782222948625255,5.22210432751973,3.8580006375578524,0.3509725603892558,0.026744073066459387,r8090162.trees
0,10001.0,250,62,-1.9602911902674824,3.8796808723869534,-1.2008448661383528,0.02274195863114412,6.231825076441513,3.288327512534966,0.04623109182703372,0.03301223326485666,r8090163.trees
0,10001.0,250,52,-1.5352487349577693,3.0946931734441714,0.8411568710967945,0.0211686293948147,4.670461552478791,2.5890475332356133,0.986999382703952,0.025175972708036443,r8090164.trees
0,10001.0,250,79,-2.1263624111340462,4.402058380171926,-1.596049289109227,0.041543457052978294,4.1217543864293145,3.6710928518135417,0.6063734865328864,0.027320425396601067,r8090165.trees
0,10001.0,250,51,-2.0166160885526625,4.102830387801836,-2.1993075267554065,0.030667964585808644,5.775639691617084,3.4156457233662176,-0.37226135106206587,0.03781876887201411,r8090166.trees
0,10001.0,250,67,-2.01673584552607,3.8178806638922267,-0.531800272367815,0.01037562987216249,6.6160703925430076,3.3122399912373703,-0.1590280449848211,0.0388096163455666,r8090167.trees
0,10001.0,250,36,-2.057687900619281,3.9953728929401846,-2.326841962070838,0.01196227672236307,5.885783255558044,3.3688407564940634,0.45219982396843594,0.03177225029148853,r8090168.trees
0,10001.0,250,54,-2.1330582451010422,3.914192317762104,-0.6073324070137395,-0.0010020673013542535,6.114690831234652,3.431871981194245,0.27913116697999707,0.03063220624433217,r8090169.trees
