#/home/enes/bim/BIM.py trees/ir8010106.trees,trees/ir8010107.trees,trees/ir8010108.trees,trees/ir8010109.trees,trees/ir8010110.trees,trees/ir8010111.trees,trees/ir8010112.trees,trees/ir8010113.trees,trees/ir8010114.trees,trees/ir8010115.trees,trees/ir8010116.trees,trees/ir8010117.trees,trees/ir8010118.trees,trees/ir8010119.trees,trees/ir8010120.trees,trees/ir8010121.trees 250 --stats=all --eta=etas/BC.json --out=outs/847025567.csv --r2t=0.005 --r2s=0.001
start,end,N,SS,bsfs,ZngE,FerL,TajD,FulD,FayH,btree,Colless,path
0,10001.0,250,79,3.4454545672478725,-0.9454103681673478,0.9030614226133907,-0.4871953670504165,0.011624348835882389,0.0897040705479952,-1.2978422531720533,0.05007819295615643,ir8010106.trees
0,10001.0,250,73,1.2640824425187802,0.35511201348032395,0.07660033768440058,0.9416422603855407,-0.2390249714378275,0.08437456719136552,-0.6620420325227973,0.04219517365650285,ir8010107.trees
0,10001.0,250,91,1.1800680128141308,0.04230117876291513,0.32526337060094435,0.6841912247310868,0.01679000987777689,0.0981223790158884,-0.6810176917301629,0.045451969166990555,ir8010108.trees
0,10001.0,250,85,2.4780809853169505,0.7035558015516394,-0.2825229982091491,1.0682882855509968,0.6571624435702038,0.0429574983034765,-1.0552485029104401,0.04920701481648154,ir8010109.trees
0,10001.0,250,73,2.218685603731367,-0.2979169622253241,0.5239642880529731,0.2822247674026959,0.5033742714577466,0.09654967900762011,-0.6178742562009355,0.04628688451074771,ir8010110.trees
0,10001.0,250,72,2.9980036746829604,0.39239628700133666,0.05478779050212106,0.986554689903306,0.5510567706869542,0.08485468980145039,-0.6417421786566306,0.04549282172678985,ir8010111.trees
0,10001.0,250,65,2.422351791249444,-0.12901009169680863,0.5396109582448618,0.694521606899483,-1.5606289139442413,0.13224688135596577,-1.0665088039711064,0.046917058916670265,ir8010112.trees
0,10001.0,250,64,1.7352811963624355,0.2505994226138779,0.4107766051859309,1.3204857971385866,-1.8175825443835922,0.16314889728467422,-0.8609619817220812,0.049083430496178256,ir8010113.trees
0,10001.0,250,82,0.2102658464376309,0.6159041386918078,-0.545387779948277,0.3948131847731678,0.5672912288558183,-0.04618524046270868,-0.7976100347080559,0.051457442673921494,ir8010114.trees
0,10001.0,250,65,1.397525320075759,-0.3616456110778189,0.7470788235650822,0.5464376279354523,-0.45664954981119843,0.15044752890289953,-0.40890578014178425,0.04369575074491514,ir8010115.trees
0,10001.0,250,67,3.1265486451017996,0.3579950245230885,0.2647424619641976,1.2948295640507068,-2.4096347661710062,0.13958265876521717,-1.1192504723034087,0.04871559972609331,ir8010116.trees
0,10001.0,250,69,1.4905896344524598,0.6897992327659622,-0.09692451387905235,1.3840313821322308,0.17999834453392155,0.09453718725285672,-0.8884674338468866,0.049787861121906994,ir8010117.trees
0,10001.0,250,87,1.2045993132191841,0.8973252834597841,-0.38177946841352395,1.3225690773123282,-1.1025143743252253,0.0486604752643089,0.13121768333138262,0.0355580026197982,ir8010118.trees
0,10001.0,250,75,1.306462111321044,0.07459161636748107,0.16663333352130133,0.47180312681281456,0.17037860705041147,0.06039624094367592,-1.607203237716273,0.0614508726148835,ir8010119.trees
0,10001.0,250,88,2.389813407188128,0.6277125403231204,0.03800307845254559,1.4780544961918383,-1.5391871922508324,0.11940274013802883,0.22990187606982937,0.03326208058038606,ir8010120.trees
0,10001.0,250,68,3.4342346530352255,0.27833327660671897,0.09986861992943513,0.8126249726077844,1.2840748633960817,0.07800949027950028,-1.2790353149341007,0.052727037180982,ir8010121.trees
