start,end,N,SS,ZngE,TajD,FulD,bsfs,FayH,FerL,Colless,btree,path,iColless,ibtree
0,100001,50,363,0.10006341627057652,-0.5101978839778657,0.7059882891185515,-0.9282691041322512,-0.0848970049827579,-0.4143956771074585,0.18473895582329314,-1.5298483155812508,3020000,0.2274388478795773,-2.205822139981197
0,100001,50,322,0.3349384007046778,-0.35939787950658875,-0.02608754071857531,-0.5846402276341358,-0.09582796799469684,-0.5935508387468864,0.18303406633971425,-1.0335836775264575,3020001,0.2012707860922146,-1.7342447842118014
0,100001,50,450,0.512735829472159,0.15131373476382232,0.1311273299751574,-0.12028868938795728,-0.048115308795261234,-0.495624222680221,0.1526523177577042,-0.688318682574151,3020002,0.16552579365079367,-1.1119607500850768
0,100001,50,372,0.39584155315620856,0.11852249561182265,0.6492264401297371,0.0939883780643808,-0.037071162846404465,-0.3819322158841422,0.14419564121945064,-0.4564555743269456,3020003,0.16141156462585035,-0.9609131312907
0,100001,50,440,1.3848671152113878,-0.6795524792224251,0.3772846286760304,-1.6414612510564996,-0.2819446475879717,-1.98019774011752,0.2474978497145988,-2.432191899778364,3020004,0.2387881078357269,-2.292525119816659
0,100001,50,421,0.17130663608435578,0.08036358449336656,-0.3015799339928625,-0.032486677412664644,-0.011935899025942049,-0.14806935831592616,0.14262417295685384,-0.5505626875287734,3020005,0.14513506132379966,-0.5476273209469678
0,100001,50,391,0.894638082912308,-0.2905962175147493,-0.10996437553950944,-0.6002504889380922,-0.16171411069042554,-1.1918481149836326,0.18693310657596396,-1.4081424896151882,3020006,0.2277727546714889,-2.1021141602391853
0,100001,50,393,0.2419748134630774,-0.5997146658869622,0.024533579857955304,-0.8986646806769559,-0.11654694645730575,-0.6292213252600879,0.20807941232048385,-1.7217122001244587,3020007,0.1933229813664596,-1.7126050596909843
0,100001,50,332,0.33825577608258345,-0.08627234238949749,0.8555915981923128,0.08543412541436937,-0.058017189879891976,-0.4368091174501515,0.13287798990563968,-0.2954905141655688,3020008,0.19727891156462585,-1.6357438811638565
0,100001,50,388,0.4784557929548771,0.28013417409040325,-0.5813741338659127,0.37594310459028063,-0.02563481247373316,-0.3809656891744736,0.15349689258419424,-0.8087886580153564,3020009,0.1762007833436405,-1.2555291621322835
