#/home/enes/bim/BIM.py trees/ir3070070.trees,trees/ir3070071.trees,trees/ir3070072.trees,trees/ir3070073.trees,trees/ir3070074.trees,trees/ir3070075.trees,trees/ir3070076.trees,trees/ir3070077.trees,trees/ir3070078.trees,trees/ir3070079.trees 50 --stats=all --eta=etas/Fn.json --out=outs/882227218.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,TajD,FayH,ZngE,FulD,bsfs,FerL,btree,Colless,path
0,100001.0,50,413,0.06540567719736097,0.02650164953878263,-0.12841667931254128,0.18668207089402186,-0.0010955422977718882,0.18503005885018606,-0.7093302628384455,0.13435374149659862,ir3070070.trees
0,100001.0,50,398,0.30940996443829977,-0.08357417271217998,0.9369959967186969,-0.6495452960522553,-1.8108022183610543e-05,-0.8868050951099186,-0.2802909227109837,0.142383969716919,ir3070071.trees
0,100001.0,50,453,0.5533143493821748,0.05203031073226915,0.18664818478649584,-0.5784651513601411,0.9772633132185012,0.11332208662107374,0.5688097807933269,0.10861766581632655,ir3070072.trees
0,100001.0,50,369,0.4315091972212959,0.06291982479500553,-0.01917221999782246,-1.043319743452505,0.9363427362118087,0.2758240527866615,-0.30032482178446157,0.12296691403834267,ir3070073.trees
0,100001.0,50,459,-0.5659543847466089,-0.041756382200308126,-0.2758164610619229,1.1939699195428817,-1.4816119582339309,-0.01911254773464552,-1.1602210824246297,0.16010923600209315,ir3070074.trees
0,100001.0,50,412,0.4360001131439379,0.04706641598311601,0.10226712230755201,-0.4159507617950652,0.8462522058309625,0.1401785149252244,0.03135756742116746,0.11851013990501864,ir3070075.trees
0,100001.0,50,457,0.24475358340112766,-0.0187529922839458,0.39195503516659297,0.53264069184974,0.3435549356484155,-0.30274468610114563,-0.5261427188965027,0.13500934725035052,ir3070076.trees
0,100001.0,50,488,-0.47116999462892234,-0.04897993145320424,-0.1242354177306618,1.2313586348909231,-1.2707269499887917,-0.1362579277745136,-0.5726469273125995,0.148062047399605,ir3070077.trees
0,100001.0,50,473,-0.09535617261700849,-0.03424429679105507,0.15518589290699528,0.6226314290833185,-0.7302107773523246,-0.2332245272800942,-1.0389685819568248,0.16625566893424043,ir3070078.trees
0,100001.0,50,512,0.4841040265524851,0.02103617212422279,0.3449278783767937,-0.6891817605505668,0.6220714164833742,-0.10766202403963505,-0.42030867193959626,0.14146869685374133,ir3070079.trees
