#/home/enes/bim/BIM.py trees/r3100030.trees,trees/r3100031.trees,trees/r3100032.trees,trees/r3100033.trees,trees/r3100034.trees,trees/r3100035.trees,trees/r3100036.trees,trees/r3100037.trees,trees/r3100038.trees,trees/r3100039.trees 50 --stats=all --eta=etas/Fn.json --out=outs/204813824.csv --r2t=0.005 --r2s=0.005
start,end,N,SS,FayH,bsfs,TajD,FerL,FulD,ZngE,btree,Colless,path
0,100001.0,50,349,0.04506344529394101,0.7416279563419396,0.45378790613830533,0.11212676217879015,-0.7447064917497435,0.13562525618311239,0.3233235318904575,0.1094825809111522,r3100030.trees
0,100001.0,50,463,0.007314913042670619,0.3457456701355982,0.4224989125386192,-0.1873166011907724,-0.44513431075454085,0.3826672925167213,0.5113528384872147,0.11388170291590821,r3100031.trees
0,100001.0,50,498,0.09022113593431366,1.3079841602630964,0.4562280787401041,0.49399422235994955,-0.02042839748646389,-0.19715393195353595,0.8896960234574449,0.10525201641838174,r3100032.trees
0,100001.0,50,423,0.018401893524227008,-0.914098955491281,-0.4740876399638999,0.434638419319931,0.9448590408261062,-0.6258906092021582,-0.21346427141699717,0.12938330093942338,r3100033.trees
0,100001.0,50,499,0.015461167809596867,0.49791333390857734,0.21784689809936772,0.002259145542538438,0.0027192638300480515,0.11072453353751366,0.18245630259412854,0.12390961169156667,r3100034.trees
0,100001.0,50,419,0.04185438573390338,0.7657042612910511,0.40484186412022033,0.11462792711994231,-0.35799459236314374,0.10860842031998927,0.4344679360445744,0.11755733221123497,r3100035.trees
0,100001.0,50,475,0.004961804238230489,0.2321658146865492,0.2768224328949951,-0.12131846827586866,-0.20513810006044741,0.2495270718788484,0.7410711198303609,0.11013446829509003,r3100036.trees
0,100001.0,50,418,0.054743805373441104,0.8485216627322204,0.3685863658035002,0.24473272433795026,-0.9178923704206826,-0.024170043656908675,0.3864011551232965,0.11679445789615286,r3100037.trees
0,100001.0,50,471,0.03388802412140694,-0.2916363282924282,-0.49731626817569063,0.5797173658369101,0.23017684079923634,-0.7654562844428724,0.08389521434532793,0.11560102764510047,r3100038.trees
0,100001.0,50,484,-0.031065400589430813,-0.7316463333789244,-0.305884027582955,-0.08224664909727185,0.8399410303774378,-0.08609007450094681,-0.6080297137010023,0.13196102909248805,r3100039.trees
